Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Mounting Type","Coil Voltage","Contact Form","Contact Rating (Current)","Switching Voltage","Features","Termination Style","Operating Temperature","Must Operate Voltage","Must Release Voltage"
http://www.altechcorp.com/PDFS/Contactors_MC.pdf,//media.digikey.com/Photos/Altech-Corporation/MC-32A-AC120V.jpg,1920-2078-ND,MC-65A-AC120V,Altech Corporation,CONTACTOR 3P 65A 2 NO/2 NC 120VA,4,1,"134.62000","0","1","Bulk","MC","Active","Chassis Mount, DIN Rail","120VAC","3PST-NO (3 Form A)","65A","600VAC - Max","Auxiliary Contacts","Screw Terminal","-5°C ~ 40°C","-","-"
https://www.gavazzionline.com/pdf/CC75-CC100.pdf,-,1864-1568-ND,CC85SA120,Carlo Gavazzi Inc.,3P CONT S 120V 50/60HZ 2NO2NC,5,0,"134.64000","0","1","Bulk","CC","Active","Chassis Mount, DIN Rail","120VAC","3PST-NO (3 Form A)","85A","690VAC - Max","Auxiliary Contacts","Screw Terminal","-5°C ~ 60°C","102 VAC","36 VAC"
https://www.gavazzionline.com/pdf/CC75-CC100.pdf,-,1864-1569-ND,CC85SA240,Carlo Gavazzi Inc.,3P CONT S 240V 50/60HZ 2NO2NC,5,0,"134.64000","0","1","Bulk","CC","Active","Chassis Mount, DIN Rail","240VAC","3PST-NO (3 Form A)","85A","690VAC - Max","Auxiliary Contacts","Screw Terminal","-5°C ~ 60°C","204 VAC","72 VAC"
https://www.tdk-electronics.tdk.com/inf/100/ds/HVC200A_24S.pdf,-,495-77551-ND,B88269X1070C011,EPCOS (TDK),HVC200A-24S /200A 24V COIL STUCK,10,0,"136.00000","0","1","Bulk","HVC200A","Active","Chassis Mount","24VDC","SPST-NO (1 Form A)","200A","900VDC - Max","Sealed - Hermetically","Stud, Wire Leads","-40°C ~ 85°C","18 VDC","2 VDC"
https://www.tdk-electronics.tdk.com/inf/100/ds/HVC300A_24S.pdf,-,495-77552-ND,B88269X1120C011,EPCOS (TDK),HVC300A-24S / 300A 24V COIL STUC,10,0,"136.00000","0","1","Bulk","HVC300A","Active","Chassis Mount","24VDC","SPST-NO (1 Form A)","300A","900VDC - Max","Sealed - Hermetically","Stud, Wire Leads","-40°C ~ 85°C","18 VDC","2 VDC"
https://www.tdk-electronics.tdk.com/inf/100/ds/HVC500B_24S.pdf,-,495-77554-ND,B88269X1200C011,EPCOS (TDK),HVC500B-24S / 500A 24V COIL STUC,10,0,"136.00000","0","1","Bulk","HVC500B","Active","Chassis Mount","24VDC","SPST-NO (1 Form A)","500A","900VDC - Max","Sealed - Hermetically","Stud, Wire Leads","-40°C ~ 85°C","18 VDC","2 VDC"
https://www.gavazzionline.com/pdf/CC75-CC100.pdf,//media.digikey.com/Photos/Carlo-Gavazzi-Inc/CC50LA240.JPG,1864-1566-ND,CC85LA120,Carlo Gavazzi Inc.,3P CONT L 120V50/60HZ 2NO2NC,5,0,"140.25000","0","1","Bulk","CC","Active","Chassis Mount, DIN Rail","120VAC","3PST-NO (3 Form A)","85A","690VAC - Max","Auxiliary Contacts","Box Lug","-5°C ~ 60°C","102 VAC","36 VAC"
https://www.gavazzionline.com/pdf/CC75-CC100.pdf,-,1864-1567-ND,CC85LA240,Carlo Gavazzi Inc.,3P CONT L 240V50/60HZ 2NO2NC,5,0,"140.25000","0","1","Bulk","CC","Active","Chassis Mount, DIN Rail","240VAC","3PST-NO (3 Form A)","85A","690VAC - Max","Auxiliary Contacts","Box Lug","-5°C ~ 60°C","204 VAC","72 VAC"
https://www.gavazzionline.com/pdf/CC-4%20Pole.pdf,-,1864-1549-ND,CC50/4SA120,Carlo Gavazzi Inc.,4P CONT S 120V 50/60HZ NO AUX,6,0,"150.54000","0","1","Bulk","CC","Active","Chassis Mount, DIN Rail","120VAC","4PST-NO (4 Form A)","50A","690VAC - Max","Auxiliary Contacts","Screw Terminal","-5°C ~ 60°C","102 VAC","36 VAC"
https://www.gavazzionline.com/pdf/DP_contactors14eng.pdf,//media.digikey.com/Photos/Carlo-Gavazzi-Inc/GDP753L120V.jpg,1864-1862-ND,GDP753L120V,Carlo Gavazzi Inc.,3P DPC LUG TERM 75A 120VAC,10,0,"154.28000","0","1","Bulk","GDP","Active","Chassis Mount","120VAC","3PST-NO (3 Form A)","75A","277VAC - Nom","-","Box Lug, Quick Connect - 0.250"" (6.3mm)","-5°C ~ 40°C","102 VAC","24 VAC"
