Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Style","Number of Channels","Connector Type","Mounting Type"
http://www.crydom.com/en/products/catalog/p_b16m.pdf,//media.digikey.com/Photos/Crydom%20Photos/MFG_PB-16.jpg,PB16MV-ND,PB-16M-V,Sensata-Crydom,I/O MODULE RACK 16 CHANNEL,0,0,"Obsolete","0","3","PB","Obsolete","Mini","16","Header, Screw Terminal Blocks","Standoffs"
http://www.crouzet-ssr.com/english/products/download/PB16S.pdf,//media.digikey.com/Photos/Crydom%20Photos/MFG_PB-16.jpg,PB16S-ND,PB-16S,Sensata-Crydom,I/O MODULE RACK 16 CHANNEL,0,0,"Obsolete","0","3","PB","Obsolete","Mini","16","Screw Terminal Blocks","Standoffs"
http://www.crydom.com/en/products/catalog/p_b16sm.pdf,//media.digikey.com/Photos/Crydom%20Photos/MFG_PB-16SM.jpg,PB16SMA-ND,PB-16SM-A,Sensata-Crydom,I/O MODULE RACK 16 CHANNEL,0,0,"Obsolete","0","3","PB","Obsolete","Mini","16","Card Edge, Screw Terminal Blocks","Standoffs"
http://www.crydom.com/en/products/catalog/p_b16sm.pdf,//media.digikey.com/Photos/Crydom%20Photos/MFG_PB-16SM.jpg,PB16SMB-ND,PB-16SM-B,Sensata-Crydom,I/O MODULE RACK 16 CHANNEL,0,0,"Obsolete","0","3","PB","Obsolete","Mini","16","Card Edge, Screw Terminal Blocks","Standoffs"
http://www.crydom.com/en/products/catalog/p_b16sm.pdf,//media.digikey.com/Photos/Crydom%20Photos/MFG_PB-16SM.jpg,PB16SMC-ND,PB-16SM-C,Sensata-Crydom,I/O MODULE RACK 16 CHANNEL,0,0,"Obsolete","0","3","PB","Obsolete","Mini","16","Header, Screw Terminal Blocks","Standoffs"
http://www.crydom.com/en/products/catalog/p_b16sm.pdf,//media.digikey.com/Photos/Crydom%20Photos/MFG_PB-16SM.jpg,PB16SMV-ND,PB-16SM-V,Sensata-Crydom,I/O MODULE RACK 16 CHANNEL,0,0,"Obsolete","0","3","PB","Obsolete","Mini","16","Header, Screw Terminal Blocks","Standoffs"
http://www.crydom.com/en/products/catalog/p_b16.pdf,//media.digikey.com/Photos/Crydom%20Photos/MFG_PB-16.jpg,PB16V-ND,PB-16-V,Sensata-Crydom,I/O MODULE RACK 16 CHANNEL,0,0,"Obsolete","0","3","PB","Obsolete","Standard","16","Header, Screw Terminal Blocks","Standoffs"
http://www.crydom.com/en/products/catalog/p_b24.pdf,//media.digikey.com/Photos/Crydom%20Photos/MFG_PB-16.jpg,PB24C-ND,PB-24-C,Sensata-Crydom,I/O MODULE RACK 24 CHANNEL,0,0,"Obsolete","0","3","PB","Obsolete","Standard","24","Header, Screw Terminal Blocks","Standoffs"
http://www.crydom.com/en/products/catalog/p_b24hq.pdf,//media.digikey.com/photos/Crouzet%20Photos/PB24Q.jpg,PB24HQ-ND,PB-24HQ,Sensata-Crydom,I/O MODULE RACK 24 CHANNEL,0,0,"Obsolete","0","3","PB","Obsolete","Quad","24","Header, Screw Terminal Blocks","Standoffs"
http://www.crydom.com/en/products/catalog/p_b24m.pdf,//media.digikey.com/Photos/Crydom%20Photos/MFG_PB-16.jpg,PB24M-ND,PB-24M,Sensata-Crydom,I/O MODULE RACK 24 CHANNEL,0,0,"Obsolete","0","3","PB","Obsolete","Mini","24","Card Edge, Screw Terminal Blocks","Standoffs"
