Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Number of Lines","Cable Length - Unexposed","Features"
-,-,20884510100-ND,20884510100,HARTING,SYPCEM CABLE HAN-BRID/FOC MET,0,0,"200.79000","0","1","Han-Brid®","Active","Heavy Duty Connector, Female to Heavy Duty Connector, Male","2 Power, 4 Signal","32.81' (10.00m) 394""","-"
//media.digikey.com/pdf/Data%20Sheets/Tyco%20Electonics%20AMP%20PDFs/557958.pdf,-,1-557958-1-ND,1-557958-1,TE Connectivity AMP Connectors,CABLE ASSY-POWER STRIP 79.63"",0,0,"201.76000","0","1","-","Active","Power Contacts to Power Strip","3","3.00' (0.91m) 36.0""","43.63"" Power Strip, 6 - 15/20A Outlets"
//media.digikey.com/pdf/Data%20Sheets/Tyco%20Electonics%20AMP%20PDFs/557958.pdf,-,1-557958-2-ND,1-557958-2,TE Connectivity AMP Connectors,CABLE ASSY-POWER STRIP 79.63"",0,0,"201.76000","0","1","-","Active","Power Contacts to Power Strip","3","3.00' (0.91m) 36.0""","43.63"" Power Strip, 6 - 15/20A Outlets"
//media.digikey.com/pdf/Data%20Sheets/Tyco%20Electonics%20AMP%20PDFs/557958.pdf,-,1-557958-3-ND,1-557958-3,TE Connectivity AMP Connectors,CABLE ASSY-POWER STRIP 79.63"",0,0,"201.76000","0","1","-","Active","Power Contacts to Power Strip","3","3.00' (0.91m) 36.0""","43.63"" Power Strip, 6 - 15/20A Outlets"
//media.digikey.com/pdf/Data%20Sheets/Tyco%20Electonics%20AMP%20PDFs/557958.pdf,-,1-557958-4-ND,1-557958-4,TE Connectivity AMP Connectors,CABLE ASSY-POWER STRIP 109.63"",0,0,"201.76000","0","1","-","Active","Power Contacts to Power Strip","3","5.50' (1.68m) 66.0""","43.63"" Power Strip, 6 - 15/20A Outlets"
//media.digikey.com/pdf/Data%20Sheets/Tyco%20Electonics%20AMP%20PDFs/557958.pdf,-,1-557958-5-ND,1-557958-5,TE Connectivity AMP Connectors,CABLE ASSY-POWER STRIP 109.63"",0,0,"201.76000","0","1","-","Active","Power Contacts to Power Strip","3","5.50' (1.68m) 66.0""","43.63"" Power Strip, 6 - 15/20A Outlets"
//media.digikey.com/pdf/Data%20Sheets/Tyco%20Electonics%20AMP%20PDFs/557958.pdf,-,1-557958-6-ND,1-557958-6,TE Connectivity AMP Connectors,CABLE ASSY-POWER STRIP 109.63"",0,0,"201.76000","0","1","-","Active","Power Contacts to Power Strip","3","5.50' (1.68m) 66.0""","43.63"" Power Strip, 6 - 15/20A Outlets"
https://b2b.harting.com/files/download/PRD/PDF_TS/3357211XXX5001_100183341DRW021A.pdf,-,33572110055001-ND,33572110055001,HARTING,"HYBR.CABLE ASSY,AC,5M,FO+POW-MM-",0,0,"205.29000","0","1","*","Active","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=D-500-0455-1-XXX-ZZZ&DocType=Customer+Drawing&DocLang=English,-,D-500-0455-1-613-012-ND,D-500-0455-1-613-012,"TE Connectivity Aerospace, Defense and Marine",IN LINE COUPLERS,0,0,"205.92000","0","9","*","Active","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Tyco%20Electonics%20AMP%20PDFs/2274955_Dwg.pdf,-,2274955-2-ND,2274955-2,TE Connectivity AMP Connectors,CABLE ASSEMBLY STRADA 10"",0,0,"206.62500","0","10","STRADA Whisper","Active","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Tyco%20Electonics%20AMP%20PDFs/557958.pdf,-,1-557958-8-ND,1-557958-8,TE Connectivity AMP Connectors,CABLE ASSY-POWER STRIP 98.13"",0,0,"208.98667","0","3","-","Active","Power Contacts to Power Strip","3","4.50' (1.37m) 54.0""","44.13"" Power Strip, 6 - 15/20A Outlets"
//media.digikey.com/pdf/Data%20Sheets/Tyco%20Electonics%20AMP%20PDFs/557958.pdf,-,1-557958-7-ND,1-557958-7,TE Connectivity AMP Connectors,CABLE ASSY-POWER STRIP 98.13"",0,0,"208.99000","0","1","-","Active","Power Contacts to Power Strip","3","4.50' (1.37m) 54.0""","44.13"" Power Strip, 6 - 15/20A Outlets"
//media.digikey.com/pdf/Data%20Sheets/Tyco%20Electonics%20AMP%20PDFs/557958.pdf,-,1-557958-9-ND,1-557958-9,TE Connectivity AMP Connectors,CABLE ASSY-POWER STRIP 98.13"",0,0,"208.99000","0","1","-","Active","Power Contacts to Power Strip","3","4.50' (1.37m) 54.0""","44.13"" Power Strip, 6 - 15/20A Outlets"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=D-500-046X-1-XXX-ZZZ&DocType=Customer+Drawing&DocLang=English,-,D-500-0465-1-613-012-ND,D-500-0465-1-613-012,"TE Connectivity Aerospace, Defense and Marine",IN LINE COUPLERS,0,0,"210.01500","0","8","*","Active","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=558057&DocType=Customer+Drawing&DocLang=English,-,2-558057-6-ND,2-558057-6,TE Connectivity AMP Connectors,CABLE ASSY PWR-PWR 8 WIRE 240"",0,0,"210.36000","0","1","AMPINNERGY","Active","Power Contacts to Power Contacts","8","20.00' (6.10m) 240""","-"
https://b2b.harting.com/files/download/PRD/PDF_TS/33572110XX000X_100154019DRW013C.pdf,-,33572110100002-ND,33572110100002,HARTING,"HYBR.CABLE ASSY, DC, 10M -2 X HA",0,0,"211.27600","0","5","*","Active","-","-","-","-"
-,-,09457251549-ND,09457251549,HARTING,RJI CORD IP67/CAT6META HYBRID OU,0,0,"212.99100","0","10","*","Active","-","-","-","-"
-,-,33574510200002-ND,33574510200002,HARTING,H.CA.AS-1XHAN3A-20M-LC-D-AC;1XSC,0,0,"214.49000","0","1","*","Active","-","-","-","-"
