Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Configuration","Length","Specifications","Wire Gauge","Shielding","Style"
http://cnctech.us/pdfs/102-1392-BL-00050.pdf,//media.digikey.com/Photos/CnC%20Tech/102-1392-BL-00xxx.jpg,1175-1694-ND,102-1392-BL-00050,CNC Tech,CABLE USB-A TO MICRO USB-B .5M,2834,0,"4.18000","0","1","-","Active","A Male to Micro B Male, Up Angle","1.64' (500.0mm)","USB 2.0","28 AWG, 28 AWG","Shielded","-"
https://assets.tripplite.com/product-pdfs/en/u022006.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_U022%20Series.jpg,TL402-ND,U022-006,Tripp Lite,CABLE USB 2.0 A-MALE B-MALE 6',1404,0,"4.19000","0","1","-","Active","A Male to B Male","6.00' (1.83m)","USB 2.0","24 AWG, 28 AWG","Shielded","-"
https://assets.tripplite.com/product-pdfs/en/ur05006n.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_UR050-06N.jpg,TL1234-ND,UR050-06N,Tripp Lite,USB CABLE,917,0,"4.37000","0","1","-","Active","A Male to Micro B Male","0.50' (152.4mm)","USB 2.0","28 AWG, 28 AWG","-","Reversible"
http://www.cnctech.us/pdfs/102-1030-BL-F0200.pdf,//media.digikey.com/Photos/CnC%20Tech/102-1030-BL-F0x00.jpg,1175-1416-ND,102-1030-BL-F0200,CNC Tech,CABLE USB A MALE - B MALE 2M BLK,6222,0,"4.38000","0","1","-","Active","A Male to B Male","6.56' (2.00m)","USB 2.0","24 AWG, 28 AWG","Shielded","-"
http://www.assmann-wsw.com/fileadmin/datasheets/ASS_7249_CA.pdf,//media.digikey.com/photos/Assmann%20Photos/MFG_AK67501-x-R.jpg,AE10424-ND,AK67501-0.5,Assmann WSW Components,CABLE MICRO USB A-B M-M 0.5M,2542,0,"4.41000","0","1","-","Active","Micro A Male to Micro B Male","1.64' (500.0mm)","USB 2.0","28 AWG, 28 AWG","Shielded","-"
https://assets.tripplite.com/product-pdfs/en/ur022001.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_UR022-001.jpg,TL1205-ND,UR022-001,Tripp Lite,USB A-MALE TO B-MALE CABLE 1',7627,0,"4.42000","0","1","-","Active","A Male to B Male","1.00' (304.8mm)","USB 2.0","24 AWG, 28 AWG","Shielded","Reversible"
https://assets.tripplite.com/product-pdfs/en/ur02406n.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_UR024-06N.jpg,TL1783-ND,UR024-06N,Tripp Lite,USB A-M TO A-F EXT CABLE,2573,0,"4.49000","0","1","-","Active","A Female to A Male","0.50' (152.4mm)","USB 2.0","24 AWG, 28 AWG","Shielded","Reversible"
http://cnctech.us/pdfs/102-1031-BL-F0200.pdf,//media.digikey.com/Photos/CnC%20Tech/102-1031-BL-F0x00.jpg,1175-1453-ND,102-1031-BL-F0200,CNC Tech,CABLE USB A M-B MINI 2M/FERRITE,7328,0,"4.50000","0","1","-","Active","A Male to Mini B Male","6.56' (2.00m)","USB 2.0","28 AWG, 28 AWG","Shielded","-"
http://cnctech.us/pdfs/102-1092-BL-00050.pdf,//media.digikey.com/Photos/CnC%20Tech/102-1092-BL%20SERIES.jpg,1175-1127-ND,102-1092-BL-00050,CNC Tech,CBL USB A MALE-B MICRO MALE .5M,3209,0,"4.50000","0","1","-","Active","A Male to Micro B Male","1.64' (500.0mm)","USB 2.0","28 AWG, 28 AWG","Shielded","-"
http://cnctech.us/pdfs/102-1030-BE-F0200.pdf,//media.digikey.com/Photos/CnC%20Tech/102-1030-BE-F0200.jpg,1175-1093-ND,102-1030-BE-F0200,CNC Tech,CABLE USB A TO B MALE FERRITE 2M,3113,0,"4.50000","0","1","-","Active","A Male to B Male","6.56' (2.00m)","USB 2.0","24 AWG, 28 AWG","Shielded","-"
