Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","1st Connector","2nd Connector","Cable Diameter","Cable Type","Features","Fiber Type","Length - Overall","Type","Ratings"
//media.digikey.com/pdf/Data%20Sheets/CNC%20Tech%20PDFs/912M-2-3-0XXXX-G.pdf,//media.digikey.com/Photos/CnC%20Tech/912M-2-3-0xx00-PL.jpg,1175-1904-ND,912M-2-3-01000-G,CNC Tech,FIBER OPTIC CBL LC-SC DUPLEX 10M,10,0,"28.49000","0","1","-","Active","LC Duplex","SC Duplex","0.08"" (2.0mm)","-","-","50/125","32.8' (10.0m)","Multimode, Duplex, OM3","-"
//media.digikey.com/pdf/Data%20Sheets/CNC%20Tech%20PDFs/913M-2-3-0XXXX-G.pdf,//media.digikey.com/Photos/CnC%20Tech/913M-2-3-0xx00-PL.jpg,1175-1913-ND,913M-2-3-01000-G,CNC Tech,FIBER OPTIC CBL LC-ST DUPLEX 10M,10,0,"28.49000","0","1","-","Active","LC Duplex","ST (2)","0.08"" (2.0mm)","-","-","50/125","32.8' (10.0m)","Multimode, Duplex, OM3","-"
//media.digikey.com/pdf/Data%20Sheets/CNC%20Tech%20PDFs/911M-2-3-0XXXX-PL.pdf,//media.digikey.com/Photos/CnC%20Tech/911M-2-3-00300-PL.jpg,1175-2002-ND,911M-2-3-00700-PL,CNC Tech,FIBER OPTIC CBL LC-LC DUPLEX 7M,10,0,"28.86000","0","1","-","Active","LC Duplex","LC Duplex","0.08"" (2.0mm)","-","Plenum","50/125","23.0' (7.0m)","Multimode, Duplex, OM3","OFNP"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/16-1264-001-CSU.pdf,-,1436-2597-ND,VFA3LCSCOS2,HellermannTyton,FT LC - SC DUPLEX OS2 FIBER ASSE,10,0,"29.00000","0","1","-","Active","LC Duplex","SC Duplex","0.08"" (2.0mm)","-","-","62.5/125","9.8' (3.0m)","Multimode, Duplex, OS2","-"
//media.digikey.com/pdf/Data%20Sheets/CNC%20Tech%20PDFs/911S-2-5-0XXXX-PL.pdf,//media.digikey.com/Photos/CnC%20Tech/911S-2-5-0xx00-PL.jpg,1175-2037-ND,911S-2-5-01000-PL,CNC Tech,FIBER OPTIC CBL LC-LC DUPLEX 10M,15,0,"29.05000","0","1","-","Active","LC Duplex","LC Duplex","0.08"" (2.0mm)","-","Plenum","9/125","32.8' (10.0m)","Singlemode, Duplex","OFNP"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/16-1264-001-CSU.pdf,-,1436-2593-ND,VFA3LCLCOM2,HellermannTyton,FT LC - LC DUPLEX OM2 FIBER ASSE,10,0,"29.14000","0","1","-","Active","LC Duplex","LC Duplex","0.08"" (2.0mm)","-","-","62.5/125","9.8' (3.0m)","Multimode, Duplex, OM2","-"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/16-1351-001-CSU.pdf,//media.digikey.com/Photos/HellermannTyton%20Photos/MFG_VFA3STSTOS2.jpg,1436-2009-ND,VFA3STSTOS2,HellermannTyton,FIBER OPTIC CBL LC-ST DUPLEX 3M,8,0,"29.18000","0","1","-","Active","LC Duplex","ST (2)","0.12"" (3.0mm)","-","-","62.5/125","9.8' (3.0m)","Singlemode, Duplex, OS2","-"
-,//media.digikey.com/Photos/Tripplite%20Photos/MFG_N820-02M-OM5.jpg,TL2501-ND,N820-02M-OM5,Tripp Lite,LC TO LC MULTIMODE DUPLEX FIBER,10,0,"29.34000","0","1","-","Active","LC Duplex","LC Duplex","-","Twin Zip","Zipcord","50/125","6.6' (2.0m)","Multimode, Duplex, OM5","-"
https://assets.tripplite.com/product-pdfs/en/n52010m.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_N520%20M%20Series.jpg,TL1536-ND,N520-10M,Tripp Lite,FIBER OPTIC CBL LC-LC DUPLEX 10M,33,0,"29.52000","0","1","-","Active","LC Duplex","LC Duplex","0.03"" (0.9mm)","Twin Zip","Zipcord","50/125","32.8' (10.0m)","Multimode, Duplex","FDDI, OFNR"
//media.digikey.com/pdf/Data%20Sheets/CNC%20Tech%20PDFs/912M-2-1-0XXXX.pdf,//media.digikey.com/Photos/CnC%20Tech/912M-2-1-0xx00-PL.jpg,1175-1950-ND,912M-2-1-01500,CNC Tech,FIBER OPTIC CBL LC-SC DUPLEX 15M,10,0,"29.60000","0","1","-","Active","LC Duplex","SC Duplex","0.08"" (2.0mm)","-","-","62.5/125","49.2' (15.0m)","Multimode, Duplex, OM1","-"
