Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Configuration","Length","Cable Type","Shielding","Style"
http://multimedia.3m.com/mws/media/585358O/3mtm-shrunk-delta-ribbon-sdr-cable-assembly-ts2286.pdf,//media.digikey.com/photos/3M%20Photos/1MD26-3560-00C-A00.jpg,1MD26-3560-00C-A00-ND,1MD26-3560-00C-A00,3M,CABLE POCL SDR MDR 1000CM GRAY,0,0,"192.04800","0","5","Shrunk Delta Ribbon (SDR)","Active","Centronics 26 pos Male to Male","32.81' (10.0m)","Round, Black","Shielded","Bidirectional"
http://multimedia.3m.com/mws/media/343875O/3mtm-shrunk-delta-ribbon-sdr-cable-assembly-ts2122.pdf,-,1MF26-L587-00C-200-ND,1MF26-L587-00C-200,3M,26 POS SHRNK DLTA RIB CBL ASSY 2,0,0,"196.04200","0","50","Shrunk Delta Ribbon (SDR)","Active","Centronics 26 pos Male to Male, Right Angle","6.56' (2.00m)","Round, Beige","Shielded","Bidirectional"
http://multimedia.3m.com/mws/media/43907O/3mtm-mdr-cable-assy-050-100-pos-141a0-sz5b-xxx-0dc-ts0966.pdf,-,141A0-SZ5B-100-0DC-ND,141A0-SZ5B-100-0DC,3M,CABLE ASSY MDR 100POS M-M 1M,0,0,"196.72600","0","5","Mini D Ribbon (MDR)","Active","Centronics 100 pos Male to Male","3.28' (1.00m)","Round, Beige","Shielded","Bidirectional"
http://multimedia.3m.com/mws/media/343875O/3mtm-shrunk-delta-ribbon-sdr-cable-assembly-ts2122.pdf,-,1MF26-L586-00C-A00-ND,1MF26-L586-00C-A00,3M,26 POS SHRNK DLTA RIB CBL ASSY 1,0,0,"209.71440","0","50","Shrunk Delta Ribbon (SDR)","Active","Centronics 26 pos Male to Male, Right Angle","32.81' (10.0m)","Round, Beige","Shielded","Bidirectional"
http://multimedia.3m.com/mws/media/84413O/3mtm-mdr-cable-assy-050-26-pos-14x26-szlb-xxx-0lc-ts1001.pdf,-,14T26-SZLB-F00-0LC-ND,14T26-SZLB-F00-0LC,3M,MINI D RIBBON CBL ASSY 26POS,0,0,"213.34800","0","5","Mini D Ribbon (MDR), CameraLink®","Active","Centronics 26 pos Male to Male","49.21' (15.0m)","Round, Beige","Shielded","Bidirectional"
http://multimedia.3m.com/mws/media/343875O/3mtm-shrunk-delta-ribbon-sdr-cable-assembly-ts2122.pdf,-,1MF26-L587-00C-A00-ND,1MF26-L587-00C-A00,3M,26 POS SHRNK DLTA RIB CBL ASSY 1,0,0,"214.13000","0","50","Shrunk Delta Ribbon (SDR)","Active","Centronics 26 pos Male to Male, Right Angle","32.81' (10.0m)","Round, Beige","Shielded","Bidirectional"
http://multimedia.3m.com/mws/media/343873O/3mtm-shrunk-delta-ribbon-sdr-cable-assembly-ts2120.pdf,//media.digikey.com/photos/3M%20Photos/1SF26-L136-00C-200.jpg,1SF26-L136-00C-A00-ND,1SF26-L136-00C-A00,3M,26 POS SHRNK DLTA RIB CBL ASSY 1,0,0,"227.61000","0","5","Shrunk Delta Ribbon (SDR)","Active","Centronics 26 pos Male to Male, Right Angle","32.81' (10.0m)","Round, Beige","Shielded","Bidirectional"
-,-,1MF26-L576-00C-A00(RC)-ND,1MF26-L576-00C-A00 (RC),3M,26 POS SHRNK DLTA RIB CBL ASSY 1,0,0,"230.22000","0","5","Shrunk Delta Ribbon (SDR)","Active","Centronics 26 pos Male to Male, Right Angle","32.81' (10.0m)","Round, Beige","Shielded","Bidirectional"
http://multimedia.3m.com/mws/media/585358O/3mtm-shrunk-delta-ribbon-sdr-cable-assembly-ts2286.pdf,-,1MD26-R560-00C-A00-ND,1MD26-R560-00C-A00,3M,26 POS FLX DLTA RIB CBL ASY 1000,0,0,"236.22000","0","5","Shrunk Delta Ribbon (SDR)","Active","Centronics 26 pos Male to Male","32.81' (10.0m)","Round, Black","Shielded","Bidirectional"
-,-,1MF26-L577-00C-A00(RC)-ND,1MF26-L577-00C-A00 (RC),3M,26 POS SHRNK DLTA RIB CBL ASSY 1,0,0,"236.85000","0","5","Shrunk Delta Ribbon (SDR)","Active","Centronics 26 pos Male to Male, Right Angle","32.81' (10.0m)","Round, Beige","Shielded","Bidirectional"
http://multimedia.3m.com/mws/media/343873O/3mtm-shrunk-delta-ribbon-sdr-cable-assembly-ts2120.pdf,//media.digikey.com/photos/3M%20Photos/1SF26-L136-00C-200.jpg,1SF26-L136-00C-500-ND,1SF26-L136-00C-500,3M,26 POS SHRNK DLTA RIB CBL ASSY 5,0,0,"246.01200","0","5","Shrunk Delta Ribbon (SDR)","Active","Centronics 26 pos Male to Male, Right Angle","16.40' (5.00m)","Round, Beige","Shielded","Bidirectional"
http://multimedia.3m.com/mws/media/43907O/3mtm-mdr-cable-assy-050-100-pos-141a0-sz5b-xxx-0dc-ts0966.pdf,-,141A0-SZ5B-300-0DC-ND,141A0-SZ5B-300-0DC,3M,CABLE ASSY MDR 100POS M-M 3M,0,0,"249.73200","0","5","Mini D Ribbon (MDR)","Active","Centronics 100 pos Male to Male","9.84' (3.00m)","Round, Beige","Shielded","Bidirectional"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/TS-2262-A.pdf,//media.digikey.com/Photos/3M%20Photos/14H26-SZLM-500-0LC.JPG,MCA125-5-ND,14H26-SZLM-500-0LC,3M,MDR CAMERA CABLE 26POS M-RA/M 5M,0,0,"258.13200","0","5","Mini D Ribbon (MDR)","Active","Centronics 26 pos Male to Male, Right Angle","16.40' (5.00m)","Round, Beige","Shielded","Bidirectional"
http://multimedia.3m.com/mws/media/343873O/3mtm-shrunk-delta-ribbon-sdr-cable-assembly-ts2120.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_1SF26-L137-00C--xxx.jpg,1SF26-L137-00C-200(RC)-ND,1SF26-L137-00C-200 (RC),3M,26 POS SHRNK DLTA RIB CBL ASSY 2,0,0,"267.72000","0","5","Shrunk Delta Ribbon (SDR)","Active","Centronics 26 pos Male to Male, Right Angle","6.56' (2.00m)","-","Shielded","Bidirectional"
http://multimedia.3m.com/mws/media/343882O/3mtm-shrunk-delta-ribbon-sdr-cable-assembly-ts2128.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_1MG26-LFW0-00C-x00.jpg,1MG26-LFW0-00C-A00-ND,1MG26-LFW0-00C-A00,3M,26 POS SHRNK DLTA RIB CBL ASSY 1,0,0,"282.79200","0","5","1MG","Active","Centronics 26 pos Female to Male","32.81' (10.0m)","Round, Beige","Shielded","Bidirectional"
http://multimedia.3m.com/mws/media/343873O/3mtm-shrunk-delta-ribbon-sdr-cable-assembly-ts2120.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_1SF26-L120-00C-xxx.jpg,1SF26-L120-00C-A00(RC)-ND,1SF26-L120-00C-A00 (RC),3M,26 POS SHRNK DLTA RIB CBL ASSY 1,0,0,"284.71200","0","5","Shrunk Delta Ribbon (SDR)","Active","Centronics 26 pos Male to Male","32.81' (10.0m)","-","Shielded","Bidirectional"
http://multimedia.3m.com/mws/media/22589O/3mtm-mdr-cable-assy-26-pos-14526-ezhb-xxx-0qc-ts0891.pdf,-,14526-EZHB-A00-0QC-ND,14526-EZHB-A00-0QC,3M,CABLE ASSY MDR 26POS M-M 10M,0,0,"294.13600","0","5","Mini D Ribbon (MDR)","Active","Centronics 26 pos Male to Male","32.81' (10.0m)","Round, Beige","Shielded","Bidirectional"
http://multimedia.3m.com/mws/media/343873O/3mtm-shrunk-delta-ribbon-sdr-cable-assembly-ts2120.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_1SF26-L137-00C--xxx.jpg,1SF26-L137-00C-500-ND,1SF26-L137-00C-500,3M,26 POS SHRNK DLTA RIB CBL ASSY 5,0,0,"300.91200","0","5","Shrunk Delta Ribbon (SDR)","Active","Centronics 26 pos Male to Male, Right Angle","16.40' (5.00m)","Round, Beige","Shielded","Bidirectional"
