Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Contact End","Length","Wire Gauge","Contact Finish","Color","Contact Finish Thickness"
https://www.hirose.com/product/download/?distributor=digikey&type=2d&lang=en&num=DF13-2630SCFA,//media.digikey.com/photos/Hirose%20Elect%20Photos/H2BBG-10102-A8.jpg,H4BBT-10108-A6-ND,H4BBT-10108-A6,Hirose Electric Co Ltd,JUMPER-H9992TR/1853OR/H9992TR 8"",160,0,"0.65900","0","10","DF13","Active","Socket to Socket","8.00"" (203.20mm)","26 AWG","Tin","Orange","-"
https://www.hirose.com/product/download/?distributor=digikey&type=2d&lang=en&num=DF13-2630SCFA,//media.digikey.com/photos/Hirose%20Elect%20Photos/H2BBG-10102-G4.jpg,H4BBT-10108-G6-ND,H4BBT-10108-G6,Hirose Electric Co Ltd,JUMPER-H9992TR/1853GR/H9992TR 8"",160,0,"0.65900","0","10","DF13","Active","Socket to Socket","8.00"" (203.20mm)","26 AWG","Tin","Green","-"
https://www.hirose.com/product/download/?distributor=digikey&type=2d&lang=en&num=DF13-2630SCFA,//media.digikey.com/photos/Hirose%20Elect%20Photos/H2BBG-10102-Y4.jpg,H4BBT-10108-Y6-ND,H4BBT-10108-Y6,Hirose Electric Co Ltd,JUMPER-H9992TR/1853YL/H9992TR 8"",160,0,"0.65900","0","10","DF13","Active","Socket to Socket","8.00"" (203.20mm)","26 AWG","Tin","Yellow","-"
//media.digikey.com/pdf/Data%20Sheets/Hirose%20PDFs/DF3.pdf,//media.digikey.com/photos/Hirose%20Elect%20Photos/H2BXG-10102-R6.jpg,H2BXT-10105-R8-ND,H2BXT-10105-R8,Hirose Electric Co Ltd,JUMPER-H1500TR/A3048R/X 5"",590,0,"0.66000","0","10","DF3","Active","Socket to Cable (Round)","5.00"" (127.00mm)","28 AWG","Tin","Red","-"
https://www.molex.com/pdm_docs/sd/500798000_sd.pdf,//media.digikey.com/Photos/Molex/0500798000-xx-Ax-D.jpg,0500798000-06-A6-D-ND,0500798000-06-A6-D,Molex,6"" PRE-CRIMP 1853 ORANGE,880,0,"0.66100","0","10","PicoBlade","Active","Socket to Socket","6.00"" (152.40mm)","26 AWG","Tin","Orange","35.4µin (0.90µm)"
https://www.molex.com/pdm_docs/sd/500798000_sd.pdf,//media.digikey.com/Photos/Molex/0500798000-xx-Lx-D.jpg,0500798000-06-L6-D-ND,0500798000-06-L6-D,Molex,6"" PRE-CRIMP 1853 BLUE,840,0,"0.66100","0","10","PicoBlade","Active","Socket to Socket","6.00"" (152.40mm)","26 AWG","Tin","Blue","35.4µin (0.90µm)"
https://www.molex.com/pdm_docs/sd/500798000_sd.pdf,//media.digikey.com/Photos/Molex/0500798000-xx-Bx-D.jpg,0500798000-06-B6-D-ND,0500798000-06-B6-D,Molex,6"" PRE-CRIMP 1853 BLACK,830,0,"0.66100","0","10","PicoBlade","Active","Socket to Socket","6.00"" (152.40mm)","26 AWG","Tin","Black","35.4µin (0.90µm)"
https://www.molex.com/pdm_docs/sd/500798000_sd.pdf,//media.digikey.com/Photos/Molex/0500798000-xx-Yx-D.jpg,0500798000-06-Y6-D-ND,0500798000-06-Y6-D,Molex,6"" PRE-CRIMP 1853 YELLOW,810,0,"0.66100","0","10","PicoBlade","Active","Socket to Socket","6.00"" (152.40mm)","26 AWG","Tin","Yellow","35.4µin (0.90µm)"
https://www.molex.com/pdm_docs/sd/500798000_sd.pdf,//media.digikey.com/Photos/Molex/0500798000-xx-Rx-D.jpg,0500798000-06-R6-D-ND,0500798000-06-R6-D,Molex,6"" PRE-CRIMP 1853 RED,760,0,"0.66100","0","10","PicoBlade","Active","Socket to Socket","6.00"" (152.40mm)","26 AWG","Tin","Red","35.4µin (0.90µm)"
https://www.molex.com/pdm_docs/sd/500798000_sd.pdf,//media.digikey.com/Photos/Molex/0500798000-xx-Gx-D.jpg,0500798000-06-G6-D-ND,0500798000-06-G6-D,Molex,6"" PRE-CRIMP 1853 GREEN,670,0,"0.66100","0","10","PicoBlade","Active","Socket to Socket","6.00"" (152.40mm)","26 AWG","Tin","Green","35.4µin (0.90µm)"
