Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Number of Terminal Strips","Number of Distribution Buses","Number of Tie Points (Total)","Number of 5-Tie Point Terminals","Number of Binding Posts","Size / Dimension"
//media.digikey.com/pdf/Data%20Sheets/DFRobot%20PDFs/FIT0008-R_Web.pdf,//media.digikey.com/Photos/DFRobot/MFG_FIT0008-R.jpg,1738-1325-ND,FIT0008-R,DFRobot,BREADBOARD TERM STRIP 1.80X1.40"",165,0,"2.99000","0","1","-","Active","Terminal Strip (No Frame)","1","-","170","34","-","1.80"" x 1.40"" (45.7mm x 35.6mm)"
//media.digikey.com/pdf/Data%20Sheets/DFRobot%20PDFs/FIT0008-G_Web.pdf,//media.digikey.com/Photos/DFRobot/MFG_FIT0008-G.jpg,1738-1324-ND,FIT0008-G,DFRobot,BREADBOARD TERM STRIP 1.80X1.40"",158,0,"2.99000","0","1","-","Active","Terminal Strip (No Frame)","1","-","170","34","-","1.80"" x 1.40"" (45.7mm x 35.6mm)"
http://www.globalspecialties.com/media/k2/attachments/GS-351_datasheet.pdf,//media.digikey.com/Photos/BK%20Precision%20Photos/GS-351.jpg,BKGS-351-ND,GS-351,Global Specialties,BREADBRD TERM STRIP 4.00X1.38"",117,0,"3.85000","0","1","GS","Active","Terminal Strip (No Frame)","1","-","350","70","-","4.00"" L x 1.38"" W (101.6mm x 34.9mm)"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/PRT-09567_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_PRT-09567.JPG,1568-1599-ND,PRT-09567,SparkFun Electronics,BREADBOARD TERM STRIP 3.29X2.15"",231,0,"4.95000","0","1","-","Active","Terminal Strip (No Frame)","1","2","400","60","-","3.29"" x 2.15"" (83.6mm x 54.6mm)"
http://www.globalspecialties.com/solderless-breadboards/breadboards-singles/download/1509_a524ea85e05863fd9f89c01249ad903f.html,//media.digikey.com/Photos/BK%20Precision%20Photos/EXP-350E.jpg,BKEXP-350E-ND,EXP-350E,Global Specialties,BREADBRD TERM STRIP 3.25X1.75"",231,0,"5.15000","0","1","-","Active","Terminal Strip (No Frame)","1","2","270","46","-","3.25"" L x 1.75"" W (82.6mm x 44.5mm)"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/239_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_239.jpg,1528-2143-ND,239,Adafruit Industries LLC,BREADBRD TERM STRIP 2.20""-7.00"",2136,0,"5.95000","0","1","-","Active","Terminal Strip (No Frame)","1","2","830","126","-","2.20"" ~ 7.00"" (55.9mm ~ 177.8mm)"
//media.digikey.com/pdf/Data%20Sheets/Parallax%20PDFs/700-00078_Web.pdf,//media.digikey.com/Photos/Parallax%20Photos/700-00078.jpg,700-00078-ND,700-00078,Parallax Inc.,BREADBOARD TERM STRIP 6.88X2.56"",175,0,"6.86000","0","1","-","Active","Terminal Strip (No Frame)","1","2","640","128","-","6.88"" x 2.56"" (174.8mm x 65.1mm)"
http://twinind.com/files/8114/0734/7900/Twin_Industries_Solderless_Breadboards.pdf,//media.digikey.com/photos/Twin%20Industries%20Photos/TW-E40-1020.jpg,438-1045-ND,TW-E40-1020,Twin Industries,BREADBOARD TERM STRIP 6.50X2.14"",714,0,"6.99000","0","1","-","Active","Terminal Strip (No Frame)","1","2","830","126","-","6.50"" x 2.14"" (165.1mm x 54.4mm)"
https://www.budind.com/pdf/BB-32655.pdf,//media.digikey.com/Photos/BUD%20Industries%20Photos/MFG_BB-32655.jpg,377-2645-ND,BB-32655,Bud Industries,BREADBOARD TERM STRIP 6.50X2.15"",136,268,"7.32000","0","1","BG, Board-Ganizer","Active","Terminal Strip (No Frame)","1","4","830","126","-","6.50"" x 2.15"" (165.1mm x 54.5mm)"
//media.digikey.com/pdf/Data%20Sheets/Pi%20Supply%20PDFs/PIS-0049_Web.pdf,//media.digikey.com/Photos/Pi-Supply/MFG_PIS-0049.jpg,1910-1047-ND,PIS-0049,Pi Supply,BREADBRD TERM STRIP 1.77X1.38"",101,0,"7.39000","0","1","-","Active","Terminal Strip (No Frame)","1","-","170","34","-","1.77"" L x 1.38"" W (45.0mm x 35.0mm)"
http://www.budind.com/pdf/hbBB32620.pdf,//media.digikey.com/Photos/BUD%20Industries%20Photos/BB-32621.JPG,377-2091-ND,BB-32620,Bud Industries,BREADBOARD TERM STRIP 3.40X3.20"",163,471,"8.40000","0","1","BG, Board-Ganizer","Active","Terminal Strip (No Frame)","-","-","600","-","-","3.40"" x 3.20"" (86.4mm x 81.3mm)"
http://twinind.com/files/8114/0734/7900/Twin_Industries_Solderless_Breadboards.pdf,//media.digikey.com/photos/Twin%20Industries%20Photos/TW-E41-1020.jpg,438-1046-ND,TW-E41-1020,Twin Industries,BREADBRD TERM STRP 6.5X2.14 70PC,1258,0,"10.99000","0","1","-","Active","Terminal Strip (No Frame)","1","2","830","126","-","6.50"" x 2.14"" (165.1mm x 54.4mm)"
http://twinind.com/files/8114/0734/7900/Twin_Industries_Solderless_Breadboards.pdf,//media.digikey.com/photos/Twin%20Industries%20Photos/TW-E41-102B.jpg,438-1047-ND,TW-E41-102B,Twin Industries,BREADBOARD ASSEM 6.5X2.14"" 70PC,368,0,"15.99000","0","1","-","Active","Assembly (On Frame)","1","2","830","126","3","6.50"" x 2.14"" (165.1mm x 54.4mm)"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/443_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_443.jpg,1528-1888-ND,443,Adafruit Industries LLC,BREADBOARD ASSEMBLY 8.70X7.20"",766,0,"19.95000","0","1","-","Active","Assembly (On Frame)","3","10","2390","378","4","8.70"" x 7.20"" (221.0mm x 183.0mm)"
http://twinind.com/files/8114/0734/7900/Twin_Industries_Solderless_Breadboards.pdf,//media.digikey.com/photos/Twin%20Industries%20Photos/TW-E41-1060.jpg,438-1048-ND,TW-E41-1060,Twin Industries,BREADBOARD ASSEM 6.9X5.7"" 140PC,188,0,"29.98000","0","1","-","Active","Assembly (On Frame)","3","4","2390","378","4","6.90"" x 5.70"" (175.3mm x 144.8mm)"
http://www.globalspecialties.com/media/k2/attachments/PB-105M_datasheet.pdf,//media.digikey.com/Photos/Global%20Specialties/MFG_PB-105M.jpg,GSPB-105M-ND,PB-105M,Global Specialties,BREADBOARD ASSEMBLY 12.01X9.45"",29,0,"103.00000","0","1","PB","Active","Assembly (On Frame)","6","11","4560","708","5","12.01"" L x 9.45"" W (305.0mm x 240.0mm)"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/Solderless%20Breadboard%20Acces.pdf,//media.digikey.com/photos/3M%20Photos/922336.jpg,922336-ND,922336,3M,BREADBRD ASSEMBLY 10.25X9.25"",38,0,"157.27000","0","1","300","Active","Assembly (On Frame)","4","10","3648","512","4","10.25"" x 9.25"" (260.4mm x 235.0mm)"
