Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Style","Length","Color","Wire Gauge"
http://schmartboard.com/content/Brochures/920-0005-01.pdf,"//media.digikey.com/Photos/Schmartboard,%20Inc/920-0005-01.jpg",1988-1005-ND,920-0005-01,"Schmartboard, Inc.",QTY. 10 3"" RED FEMALE JUMPERS AN,154,0,"6.00000","0","1","-","-","Active","Female to Female","3.00"" (76.20mm)","Red","28 AWG"
http://schmartboard.com/content/Brochures/920-0006-01.pdf,"//media.digikey.com/Photos/Schmartboard,%20Inc/920-0006-01.jpg",1988-1006-ND,920-0006-01,"Schmartboard, Inc.",QTY. 10 5"" YELLOW FEMALE JUMPERS,151,0,"6.00000","0","1","-","-","Active","Female to Female","5.00"" (127.00mm)","Yellow","28 AWG"
http://schmartboard.com/content/Other/schmartboard_pd_920-00xx-01_terminal_f.pdf,"//media.digikey.com/Photos/Schmartboard,%20Inc/920-0065-01.jpg",1988-1010-ND,920-0065-01,"Schmartboard, Inc.",QTY. 10 9"" BLACK FEMALE JUMPERS,179,0,"7.00000","0","1","-","-","Active","Female to Female","9.00"" (228.60mm)","Black","28 AWG"
http://schmartboard.com/content/Brochures/920-0022-01.pdf,-,1988-1009-ND,920-0022-01,"Schmartboard, Inc.",QTY. 10 5"" MALE TO FEMALE JUMPER,173,0,"7.00000","0","1","-","-","Active","Male to Female","5.00"" (127.00mm)","Violet","28 AWG"
http://schmartboard.com/content/Brochures/920-0020-01.pdf,"//media.digikey.com/Photos/Schmartboard,%20Inc/MFG_920-0020-01.jpg",1988-1008-ND,920-0020-01,"Schmartboard, Inc.",QTY. 10 12"" FEMALE JUMPERS AND 4,159,0,"7.00000","0","1","-","-","Active","Female to Female","12.00"" (304.80mm)","Green","28 AWG"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/PRT-10898_Web.pdf,//media.digikey.com/photos/Sparkfun%20Elec%20%20Photos/MFG_PRT-10898.JPG,1568-1591-ND,PRT-10898,SparkFun Electronics,JUMPER WIRE F/F 6"" 100PCS,100,0,"24.95000","0","1","100 per Pkg","-","Active","Female to Female","6.00"" (152.40mm)","Various","-"
-,//media.digikey.com/photos/3M%20Photos/923351-I.jpg,923351-ND,923351-I,3M,JUMPER WIRE KIT VARIOUS 22AWG,89,0,"52.62000","0","1","-","-","Active","Kit - Pre-Formed for Breadboard","Various","Various","22 AWG"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/PRT-10366_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_PRT-10366.jpg,1568-1928-ND,PRT-10366,SparkFun Electronics,JUMPER WIRE 0.1\"" 6-PIN 4\"",486,0,"0.95000","0","1","1 per Pkg","-","Active","Female to Female","4.00"" (101.60mm)","Various","-"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/PRT-10363_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_PRT-10363.jpg,1568-1925-ND,PRT-10363,SparkFun Electronics,JUMPER WIRE 0.1\"" 3-PIN 4\"",215,0,"0.95000","0","1","1 per Pkg","-","Active","Female to Female","4.00"" (101.60mm)","Various","-"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/PRT-10365_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_PRT-10365.jpg,1568-1927-ND,PRT-10365,SparkFun Electronics,JUMPER WIRE 0.1\"" 5-PIN 4\"",195,0,"0.95000","0","1","1 per Pkg","-","Active","Female to Female","4.00"" (101.60mm)","Various","-"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/PRT-10362_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_PRT-10362.jpg,1568-1924-ND,PRT-10362,SparkFun Electronics,JUMPER WIRE 0.1\"" 2-PIN 4\"",112,0,"0.95000","0","1","1 per Pkg","-","Active","Female to Female","4.00"" (101.60mm)","Various","-"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/PRT-10364_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_PRT-10364.jpg,1568-1926-ND,PRT-10364,SparkFun Electronics,JUMPER WIRE 0.1\"" 4-PIN 4\"",50,0,"0.95000","0","1","1 per Pkg","-","Active","Female to Female","4.00"" (101.60mm)","Various","-"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/PRT-11026_Web.pdf,//media.digikey.com/photos/Sparkfun%20Elec%20%20Photos/MFG_PRT-11026.JPG,1568-1642-ND,PRT-11026,SparkFun Electronics,JUMPER M/M 7"" 30AWG 30PCS,259,0,"1.95000","0","1","30 per Pkg","-","Active","Male to Male","7.00"" (177.80mm)","Various","30 AWG"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/PRT-10374_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_PRT-10374.jpg,1568-1936-ND,PRT-10374,SparkFun Electronics,JUMPER WIRE 0.1\"" 4-PIN 12\"",232,0,"1.95000","0","1","1 per Pkg","-","Active","Female to Female","12.00"" (304.80mm)","Various","-"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/PRT-10373_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_PRT-10373.jpg,1568-1935-ND,PRT-10373,SparkFun Electronics,JUMPER WIRE 0.1\"" 3-PIN 12\"",210,0,"1.95000","0","1","1 per Pkg","-","Active","Female to Female","12.00"" (304.80mm)","Various","-"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/PRT-14284.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_PRT-14284.jpg,1568-1633-ND,PRT-14284,SparkFun Electronics,JUMPER M/M 4"" 26AWG 30PCS,191,0,"1.95000","0","1","30 per Pkg","-","Active","Male to Male","4.000"" (101.60mm)","Various","26 AWG"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/PRT-10376_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_PRT-10376.jpg,1568-1938-ND,PRT-10376,SparkFun Electronics,JUMPER WIRE 0.1\"" 6-PIN 12\"",155,0,"1.95000","0","1","1 per Pkg","-","Active","Female to Female","12.00"" (304.80mm)","Various","-"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/PRT-10375_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_PRT-10375.jpg,1568-1937-ND,PRT-10375,SparkFun Electronics,JUMPER WIRE 0.1\"" 5-PIN 12\"",147,0,"1.95000","0","1","1 per Pkg","-","Active","Female to Female","12.00"" (304.80mm)","Various","-"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/PRT-09140_Web.pdf,//media.digikey.com/photos/Sparkfun%20Elec%20%20Photos/MFG_PRT-09140.JPG,1568-1792-ND,PRT-09140,SparkFun Electronics,JUMPER WIRE M/F 6"" 10PCS,87,0,"3.95000","0","1","10 per Pkg","-","Active","Male to Female","6.00"" (152.40mm)","Various","-"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/PRT-08430_Web.pdf,//media.digikey.com/photos/Sparkfun%20Elec%20%20Photos/MFG_PRT-08430.JPG,1568-1577-ND,PRT-08430,SparkFun Electronics,JUMPER WIRE F/F 6"" 10PCS,68,0,"3.95000","0","1","10 per Pkg","-","Active","Female to Female","6.00"" (152.40mm)","Various","-"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/PRT-08431_Web.pdf,//media.digikey.com/photos/Sparkfun%20Elec%20%20Photos/MFG_PRT-08431.JPG,1568-1585-ND,PRT-08431,SparkFun Electronics,JUMPER WIRE M/M 6"" 10PCS,52,0,"3.95000","0","1","10 per Pkg","-","Active","Male to Male","6.00"" (152.40mm)","Various","-"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/PRT-09389_Web.pdf,//media.digikey.com/photos/Sparkfun%20Elec%20%20Photos/MFG_PRT-09389.JPG,1568-1815-ND,PRT-09389,SparkFun Electronics,JUMPER WIRE F/F 12"" 10PCS,57,0,"4.50000","0","1","10 per Pkg","-","Active","Female to Female","12.00"" (304.80mm)","Various","-"
