Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Data Rate","Voltage - Supply","Idle Current, Typ @ 25°C","Link Range, Low Power","Orientation","Operating Temperature","Size","Standards","Shutdown"
//media.digikey.com/pdf/Data%20Sheets/Rohm%20PDFs/RPM871-H12.pdf,//media.digikey.com/Photos/Rohm%20Photos/RPM871-H12E4A.JPG,RPM871-H12E4ADKR-ND,RPM871-H12E4A,Rohm Semiconductor,MODULE IRDA 115.2KBPS 8-SMD,2155,0,"Digi-Reel","0","1","Digi-Reel®","-","Obsolete","115.2kbs (SIR)","2.6V ~ 3.6V","73µA","20cm, 60cm","Top View","-20°C ~ 85°C","8.00mm x 3.00mm x 2.92mm","IrDA 1.2","-"
//media.digikey.com/pdf/Data%20Sheets/Rohm%20PDFs/RPM871-H14.pdf,//media.digikey.com/Photos/Rohm%20Photos/RPM871-H14E2.JPG,RPM871-H14E2TR-ND,RPM871-H14E2,Rohm Semiconductor,MODULE IRDA 115.2KBPS 8SMD,0,0,"Obsolete","0","1000","Tape & Reel (TR)","-","Obsolete","115.2kbs (SIR)","2.6V ~ 3.6V","73µA","20cm, 60cm","Side View","-20°C ~ 85°C","8.00mm x 2.90mm x 2.40mm","IrDA 1.2","-"
//media.digikey.com/pdf/Data%20Sheets/Rohm%20PDFs/RPM871-H14.pdf,//media.digikey.com/Photos/Rohm%20Photos/RPM871-H14E2.JPG,RPM871-H14E2CT-ND,RPM871-H14E2,Rohm Semiconductor,MODULE IRDA 115.2KBPS 8SMD,428,0,"6.47000","0","1","Cut Tape (CT)","-","Obsolete","115.2kbs (SIR)","2.6V ~ 3.6V","73µA","20cm, 60cm","Side View","-20°C ~ 85°C","8.00mm x 2.90mm x 2.40mm","IrDA 1.2","-"
//media.digikey.com/pdf/Data%20Sheets/Rohm%20PDFs/RPM871-H14.pdf,//media.digikey.com/Photos/Rohm%20Photos/RPM871-H14E2.JPG,RPM871-H14E2DKR-ND,RPM871-H14E2,Rohm Semiconductor,MODULE IRDA 115.2KBPS 8SMD,428,0,"Digi-Reel","0","1","Digi-Reel®","-","Obsolete","115.2kbs (SIR)","2.6V ~ 3.6V","73µA","20cm, 60cm","Side View","-20°C ~ 85°C","8.00mm x 2.90mm x 2.40mm","IrDA 1.2","-"
//media.digikey.com/pdf/Data%20Sheets/Rohm%20PDFs/RPM973-H11.pdf,//media.digikey.com/Photos/Rohm%20Photos/RPM973-H11E2A.JPG,RPM973-H11E2ATR-ND,RPM973-H11E2A,Rohm Semiconductor,MODULE IRDA 4MBPS FIR COMPATBL S,0,0,"Obsolete","0","2500","Tape & Reel (TR)","-","Obsolete","4Mbs (FIR)","2.4V ~ 3.6V","1mA","-","Side View","-25°C ~ 85°C","6.80mm x 2.44mm x 1.70mm","IrDA 1.4","-"
//media.digikey.com/pdf/Data%20Sheets/Rohm%20PDFs/RPM973-H11.pdf,//media.digikey.com/Photos/Rohm%20Photos/RPM973-H11E2A.JPG,RPM973-H11E2ACT-ND,RPM973-H11E2A,Rohm Semiconductor,MODULE IRDA 4MBPS FIR COMPATBL S,105,0,"3.21000","0","1","Cut Tape (CT)","-","Obsolete","4Mbs (FIR)","2.4V ~ 3.6V","1mA","-","Side View","-25°C ~ 85°C","6.80mm x 2.44mm x 1.70mm","IrDA 1.4","-"
//media.digikey.com/pdf/Data%20Sheets/Rohm%20PDFs/RPM973-H11.pdf,//media.digikey.com/Photos/Rohm%20Photos/RPM973-H11E2A.JPG,RPM973-H11E2ADKR-ND,RPM973-H11E2A,Rohm Semiconductor,MODULE IRDA 4MBPS FIR COMPATBL S,105,0,"Digi-Reel","0","1","Digi-Reel®","-","Obsolete","4Mbs (FIR)","2.4V ~ 3.6V","1mA","-","Side View","-25°C ~ 85°C","6.80mm x 2.44mm x 1.70mm","IrDA 1.4","-"
http://www.vishay.com/docs/81965/tfdu4301.pdf,//media.digikey.com/Photos/Vishay%20Semiconductors/TFDU4301-TT3.JPG,TFDU4301-TT3TR-ND,TFDU4301-TT3,Vishay Semiconductor Opto Division,TXRX IRDA 115.2KB 2.5MM 8SMD,0,0,"2.66000","0","2500","Tape & Reel (TR)","-","Active","115.2kbs (SIR)","2.4V ~ 5.5V","100µA","70cm","Top View","-30°C ~ 85°C","8.5mm x 2.5mm x 3.1mm","IrPHY 1.0","Yes"
http://www.vishay.com/docs/81965/tfdu4301.pdf,//media.digikey.com/Photos/Vishay%20Semiconductors/TFDU4301-TT3.JPG,TFDU4301-TT3CT-ND,TFDU4301-TT3,Vishay Semiconductor Opto Division,TXRX IRDA 115.2KB 2.5MM 8SMD,83,0,"5.46000","0","1","Cut Tape (CT)","-","Active","115.2kbs (SIR)","2.4V ~ 5.5V","100µA","70cm","Top View","-30°C ~ 85°C","8.5mm x 2.5mm x 3.1mm","IrPHY 1.0","Yes"
http://www.vishay.com/docs/81965/tfdu4301.pdf,//media.digikey.com/Photos/Vishay%20Semiconductors/TFDU4301-TT3.JPG,TFDU4301-TT3DKR-ND,TFDU4301-TT3,Vishay Semiconductor Opto Division,TXRX IRDA 115.2KB 2.5MM 8SMD,83,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","115.2kbs (SIR)","2.4V ~ 5.5V","100µA","70cm","Top View","-30°C ~ 85°C","8.5mm x 2.5mm x 3.1mm","IrPHY 1.0","Yes"
http://www.vishay.com/docs/84597/tfbr4650.pdf,//media.digikey.com/Photos/Vishay%20Semiconductors/TFBS4650-TR1.JPG,TFBR4650-TR1TR-ND,TFBR4650-TR1,Vishay Semiconductor Opto Division,TXRX IRDA 9.6 TO 115.2KBIT 7-SMD,0,0,"2.80000","0","1000","Tape & Reel (TR)","-","Active","115.2kbps (SIR)","2.4V ~ 3.6V","75µA","50cm","Side View","-25°C ~ 85°C","6.8mm x 2.8mm x 1.6mm","IrPHY 1.4","Yes"
http://www.vishay.com/docs/84597/tfbr4650.pdf,//media.digikey.com/Photos/Vishay%20Semiconductors/TFBS4650-TR1.JPG,TFBR4650-TR1CT-ND,TFBR4650-TR1,Vishay Semiconductor Opto Division,TXRX IRDA 9.6 TO 115.2KBIT 7-SMD,82,0,"5.46000","0","1","Cut Tape (CT)","-","Active","115.2kbps (SIR)","2.4V ~ 3.6V","75µA","50cm","Side View","-25°C ~ 85°C","6.8mm x 2.8mm x 1.6mm","IrPHY 1.4","Yes"
http://www.vishay.com/docs/84597/tfbr4650.pdf,//media.digikey.com/Photos/Vishay%20Semiconductors/TFBS4650-TR1.JPG,TFBR4650-TR1DKR-ND,TFBR4650-TR1,Vishay Semiconductor Opto Division,TXRX IRDA 9.6 TO 115.2KBIT 7-SMD,82,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","115.2kbps (SIR)","2.4V ~ 3.6V","75µA","50cm","Side View","-25°C ~ 85°C","6.8mm x 2.8mm x 1.6mm","IrPHY 1.4","Yes"
