Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Wire Duct Type","Height","Length","Width","Mounting Type","Features","Material","Color"
http://www.panduit.com/heiler/PartDrawings/C-WDFS4X3-36897-908-R2--ENG.pdf,"//media.digikey.com/photos/Panduit%20Corp%20Photos/S4X3LG6NM,FS4X3LG6NM.jpg",298-18320-ND,FS4X3LG6NM,Panduit Corp,WIRE DUCT SOLID BASE GRAY 6',25,0,"54.92000","0","1","PANDUCT® Type FS","Active","Solid (Raceway), Base","2.992"" (76.00mm)","6.00' (1.83m)","4.250"" (107.95mm)","-","No Mounting Holes","Poly-Vinyl Chloride (PVC)","Gray, Light"
http://www.panduit.com/heiler/PartDrawings/C-WDD2X3-36897-831-R2--ENG.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_D-RndHoleDuct.jpg,298-18242-ND,D2X3LG6,Panduit Corp,WIRE DUCT ROUND SCREW GRAY 6',30,0,"55.55000","0","1","PANDUCT® Type D","Active","Round Hole (Raceway), Base","3.120"" (79.25mm)","6.00' (1.83m)","2.250"" (57.15mm)","Screw","-","Poly-Vinyl Chloride (PVC)","Gray, Light"
http://www.panduit.com/heiler/PartDrawings/C-WDF1X3WH6--ENG.PDF,-,298-18262-ND,F1X3LG6-A,Panduit Corp,WIRE DUCT SLOTTED ADH SCRW GY 6',74,0,"56.81000","0","1","PANDUCT® Type F","Active","Slotted (Raceway), Base","3.020"" (76.71mm)","6.00' (1.83m)","1.260"" (32.00mm)","Adhesive, Screw","-","Poly-Vinyl Chloride (PVC)","Gray, Light"
http://www.panduit.com/heiler/PartDrawings/C-WDFS3X3LG6NM--ENG.PDF,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_FS-Series_LG.jpg,298-18315-ND,FS3X3LG6,Panduit Corp,WIRE DUCT SOLID BASE SCRW GRY 6',40,0,"57.33000","0","1","PANDUCT® Type FS","Active","Solid (Raceway), Base","3.000"" (76.20mm)","6.00' (1.83m)","3.251"" (82.58mm)","Screw","-","Poly-Vinyl Chloride (PVC)","Gray, Light"
http://www.panduit.com/heiler/PartDrawings/C-WDMC25X75-36897-813-R2--ENG.pdf,-,298-18472-ND,MC25X75IG2,Panduit Corp,WIRE DUCT SLOTTED 2PC SCRW 6.56',27,0,"57.37000","0","1","PANDUCT® Type MC","Active","Slotted (Raceway), 2 Piece","2.850"" (72.40mm)","6.56' (2.00m)","0.970"" (24.64mm)","Screw","Separate Snap in Lid (Included)","Poly-Vinyl Chloride (PVC)","Gray, Light"
http://www.panduit.com/heiler/PartDrawings/C-WDMC37X62-36897-809-R2--ENG.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_MC-WiringDuct.jpg,298-12005-ND,MC37X62IG2,Panduit Corp,WIRE DUCT SLOTTED 2PC SCRW 6.56',20,0,"58.03000","0","1","PANDUCT® Type MC","Active","Slotted (Raceway), 2 Piece","2.350"" (59.69mm)","6.56' (2.00m)","1.461"" (37.10mm)","Screw","Separate Snap in Lid (Included)","Poly-Vinyl Chloride (PVC)","Gray, Light"
http://www.panduit.com/heiler/CatalogCutSheets/G.5X.5LG6%20Product%20Page.pdf,-,298-18344-ND,G2.5X3LG6,Panduit Corp,WIRE DUCT SLOTTED SCREW GRAY 6',40,0,"58.17000","0","1","PANDUCT® Type G","Active","Slotted (Raceway), Base","2.990"" (75.95mm)","6.00' (1.83m)","2.750"" (69.85mm)","Screw","-","Poly-Vinyl Chloride (PVC)","Gray, Light"
http://www.panduit.com/heiler/PartDrawings/C-WDG2-5X3-36897-708-R2--ENG.pdf,-,298-18345-ND,G2.5X3WH6,Panduit Corp,WIRE DUCT SLOTTED SCREW WHITE 6',40,0,"58.17000","0","1","PANDUCT® Type G","Active","Slotted (Raceway), Base","2.990"" (75.95mm)","6.00' (1.83m)","2.750"" (69.85mm)","Screw","-","Poly-Vinyl Chloride (PVC)","White"
http://www.panduit.com/heiler/PartDrawings/C-WDG2-5X3-36897-708-R2--ENG.pdf,-,298-18343-ND,G2.5X3BL6,Panduit Corp,WIRE DUCT SLOTTED SCREW BLACK 6',38,0,"58.17000","0","1","PANDUCT® Type G","Active","Slotted (Raceway), Base","2.990"" (75.95mm)","6.00' (1.83m)","2.750"" (69.85mm)","Screw","-","Poly-Vinyl Chloride (PVC)","Black"
http://www.panduit.com/heiler/PartDrawings/C-WDF2-5X3LG6--ENG.PDF,-,298-18265-ND,F2.5X3LG6,Panduit Corp,WIRE DUCT SLOTTED SCREW GRAY 6',80,0,"58.38000","0","1","PANDUCT® Type F","Active","Slotted (Raceway), Base","2.992"" (76.00mm)","6.00' (1.83m)","2.750"" (69.85mm)","Screw","-","Poly-Vinyl Chloride (PVC)","Gray, Light"
http://www.panduit.com/heiler/PartDrawings/C-WDF2-5X3LG6--ENG.PDF,-,298-18266-ND,F2.5X3WH6,Panduit Corp,WIRE DUCT SLOTTED SCREW WHITE 6',20,0,"58.38000","0","1","PANDUCT® Type F","Active","Slotted (Raceway), Base","2.992"" (76.00mm)","6.00' (1.83m)","2.750"" (69.85mm)","Screw","-","Poly-Vinyl Chloride (PVC)","White"
