Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Kit Type","Quantity"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-2612-ND,ADNB-2612,Broadcom Limited,OPTICAL SENSOR WITH TRIMMED LENS,0,0,"Obsolete","0","4000","-","-","Obsolete","-","-"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-2621-ND,ADNB-2621,Broadcom Limited,OPTICAL SENSOR WITH ROUND LENS,0,0,"Obsolete","0","4000","-","-","Obsolete","-","-"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-2622-ND,ADNB-2622,Broadcom Limited,OPTICAL SENSOR WITH TRIMMED LENS,0,0,"Obsolete","0","4000","-","-","Obsolete","-","-"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-5021-ND,ADNB-5021,Broadcom Limited,OPT SENSOR BUNDLE W/ROUND LENS,0,0,"Obsolete","0","3000","-","-","Obsolete","-","-"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-5022-ND,ADNB-5022,Broadcom Limited,OPT SENSOR BUNDLE W/TRIMMED LENS,0,0,"Obsolete","0","3000","-","-","Obsolete","-","-"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-2032-TLP-ND,ADNB-2032-TLP,Broadcom Limited,OPT SENSOR TRIM LENS P BIN LED,0,0,"Obsolete","0","2000","-","-","Obsolete","-","-"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-2031-RLK-ND,ADNB-2031-RLK,Broadcom Limited,OPT SENSOR ROUND LENS K BIN LED,0,0,"Obsolete","0","2000","-","-","Obsolete","-","-"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-2032-TLK-ND,ADNB-2032-TLK,Broadcom Limited,OPT SENSOR TRIM LENS K BIN LED,0,0,"Obsolete","0","2000","-","-","Obsolete","-","-"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-2031-RLP-ND,ADNB-2031-RLP,Broadcom Limited,OPT SENSOR ROUND LENS P BIN LED,0,0,"Obsolete","0","2000","-","-","Obsolete","-","-"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-6001-ND,ADNB-6001,Broadcom Limited,OPT SENSOR BUNDLE W/ROUND LENS,0,0,"Obsolete","0","1000","-","-","Obsolete","-","-"
