Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Kit Type","Style","Material - Core","Quantity","Inductance Range","Mounting Type","Packages Included","Features","Shielding"
-,-,PCD3-KIT-ND,Q333186,Panasonic Electronic Components,KIT INDUCTOR TYPE RF SMD,0,0,"Discontinued at Digi-Key","0","1","-","ELJ-RF","Discontinued at Digi-Key","Fixed","Multilayer","Non-Magnetic","200 Pieces (20 Values - 10 Each)","1nH ~ 39nH","Surface Mount","0402 (1005 Metric)","-","-"
-,-,PCD4-KIT-ND,Q352662,Panasonic Electronic Components,KIT INDUCTOR TYPE RE SMD,0,0,"Discontinued at Digi-Key","0","1","-","ELJ-RE","Discontinued at Digi-Key","Fixed","Multilayer","Non-Magnetic","230 Pieces (23 Values - 10 Each)","1.5nH ~ 100nH","Surface Mount","0603 (1608 Metric)","-","-"
http://www.delevan.com/seriesPDFs/1008.pdf,-,1008KIT-ND,1008KIT,API Delevan Inc.,INDUCTOR KIT 1008 SERIES 270 PC,0,0,"Obsolete","0","1","-","1008","Obsolete","Fixed","-","Phenolic","270 Pieces (54 Values - 5 Each)","1.8nH ~ 47µH","Surface Mount","1008","-","-"
http://www.delevan.com/seriesPDFs/S1008.pdf,-,S1008KIT-ND,S1008KIT,API Delevan Inc.,INDUCTOR KIT SHIELD S1008 180 PC,0,0,"Obsolete","0","1","-","S1008","Obsolete","Fixed","-","Ferrite","180 Pieces (36 Values - 5 Each)","100nH ~ 47µH","Surface Mount","1008","-","Shielded"
http://www.delevan.com/seriesPDFs/1210.pdf,-,1210KIT-ND,1210KIT,API Delevan Inc.,INDUCTOR KIT 1210 SERIES 290 PC,0,0,"Obsolete","0","1","-","1210","Obsolete","Fixed","-","Ferrite, Iron, Phenolic","290 Pieces (58 Values - 5 Each)","1.8nH ~ 100µH","Surface Mount","1210 (3225 Metric)","-","-"
http://www.delevan.com/seriesPDFs/S1210.pdf,-,S1210KIT-ND,S1210KIT,API Delevan Inc.,INDUCTOR KIT SHIELD S1210 185 PC,0,0,"Obsolete","0","1","-","S1210","Obsolete","Fixed","-","-","185 Pieces (37 Values - 5 Each)","100nH ~ 100µH","Surface Mount","1210 (3225 Metric)","-","Shielded"
http://www.delevan.com/seriesPDFs/1812.pdf,-,1812KIT-ND,1812KIT,API Delevan Inc.,INDUCTOR KIT 1812 SERIES 305 PC,0,0,"Obsolete","0","1","-","1812","Obsolete","Fixed","-","Ferrite, Phenolic","305 Pieces (61 Values - 5 Each)","10nH ~ 1mH","Surface Mount","1812 (4532 Metric)","-","-"
http://www.delevan.com/seriesPDFs/S1812.pdf,-,S1812KIT-ND,S1812KIT,API Delevan Inc.,INDUCTOR KIT SHIELD S1812 245 PC,0,0,"Obsolete","0","1","-","S1812","Obsolete","Fixed","-","Ferrite","245 Pieces (49 Values - 5 Each)","100nH ~ 1mH","Surface Mount","1812 (4532 Metric)","-","Shielded"
http://www.delevan.com/seriesPDFs/4426.pdf,//media.digikey.com/photos/API%20Delevan%20Photos/4426-4.jpg,4426KIT-ND,4426KIT,API Delevan Inc.,INDUCTOR KIT 4426 SERIES 50 PC,0,0,"Obsolete","0","1","Plastic Box with Bin Guide","4426","Obsolete","Fixed","Wirewound","Air","50 Pieces (10 Values - 5 Each)","2.5nH ~ 43nH","Surface Mount","4426","-","-"
https://en.tdk.eu/inf/30/db/ind_2008/b82442h.pdf,//media.digikey.com/photos/Epcos%20Photos/B82442X1.JPG,495-1682-ND,B82442X0001,EPCOS (TDK),KIT INDUCTOR 2220 SERIES,0,0,"Obsolete","0","1","Plastic Box with Bin Guide","2220-A, 2220-H","Obsolete","Fixed","Wirewound","Ferrite","66 Pieces (11 Values - 6 Each)","1µH ~ 10mH","Surface Mount","2220 (5750 Metric)","AEC-Q200","-"
