Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Kit Type","Resistance (Ohms)","Resistive Material","Taper","Tolerance","Power (Watts)","Number of Turns","Quantity","Termination Style"
https://www.bourns.com/docs/Product-Datasheets/3329.pdf,//media.digikey.com/photos/Bourns%20Photos/Q23662.jpg,3329W-KIT-ND,Q23662,Bourns Inc.,KIT POT TRIMMER 50-1M OHM 70PCS,0,0,"Discontinued at Digi-Key","0","1","Notebook","Trimpot® 3329 - Sealed","Discontinued at Digi-Key","Trimmer","50 ~ 1M","Cermet","-","±10%","1/2W","1","70 Pieces (14 Values - 5 Each)","PC Pins"
https://www.bourns.com/docs/Product-Datasheets/3329.pdf,//media.digikey.com/photos/Bourns%20Photos/Q23660.jpg,3329H-KIT-ND,Q23660,Bourns Inc.,KIT POT TRIMMER 50-1M OHM 70PCS,0,0,"Discontinued at Digi-Key","0","1","Notebook","Trimpot® 3329 - Sealed","Discontinued at Digi-Key","Trimmer","50 ~ 1M","Cermet","-","±10%","1/2W","1","70 Pieces (14 Values - 5 Each)","PC Pins"
https://www.bourns.com/docs/Product-Datasheets/3339.pdf,//media.digikey.com/photos/Bourns%20Photos/Q23670.jpg,3339W-KIT-ND,Q23670,Bourns Inc.,KIT POT TRIMMER 50-1M OHM 70PCS,0,0,"Discontinued at Digi-Key","0","1","Notebook","Trimpot® 3339 - Sealed","Discontinued at Digi-Key","Trimmer","50 ~ 1M","Cermet","-","±10%","1/2W","4","70 Pieces (14 Values - 5 Each)","PC Pins"
https://www.bourns.com/docs/Product-Datasheets/3296.pdf,-,3296P-KIT-ND,Q23518,Bourns Inc.,KIT POT TRIMMER 10-2M OHM 75PCS,0,0,"Discontinued at Digi-Key","0","1","Notebook","Trimpot® 3296 - Sealed","Discontinued at Digi-Key","Trimmer","10 ~ 2M","Cermet","-","±10%","1/2W","25","75 Pieces (15 Values - 5 Each)","PC Pins"
https://www.bourns.com/docs/Product-Datasheets/3296.pdf,//media.digikey.com/photos/Bourns%20Photos/Q23530.jpg,3296W-KIT-ND,Q23530,Bourns Inc.,KIT POT TRIMMER 10-2M OHM 75PCS,0,0,"Discontinued at Digi-Key","0","1","Notebook","Trimpot® 3296 - Sealed","Discontinued at Digi-Key","Trimmer","10 ~ 2M","Cermet","-","±10%","1/2W","25","75 Pieces (15 Values - 5 Each)","PC Pins"
https://www.bourns.com/docs/Product-Datasheets/3296.pdf,//media.digikey.com/photos/Bourns%20Photos/Q23559.jpg,3296X-KIT-ND,Q23559,Bourns Inc.,KIT POT TRIMMER 10-2M OHM 75PCS,0,0,"Discontinued at Digi-Key","0","1","Notebook","Trimpot® 3296 - Sealed","Discontinued at Digi-Key","Trimmer","10 ~ 2M","Cermet","-","±10%","1/2W","25","75 Pieces (15 Values - 5 Each)","PC Pins"
https://www.bourns.com/docs/Product-Datasheets/3296.pdf,-,3296Y-KIT-ND,Q23560,Bourns Inc.,KIT POT TRIMMER 10-2M OHM 75PCS,0,0,"Discontinued at Digi-Key","0","1","Notebook","Trimpot® 3296 - Sealed","Discontinued at Digi-Key","Trimmer","10 ~ 2M","Cermet","-","±10%","1/2W","25","75 Pieces (15 Values - 5 Each)","PC Pins"
https://www.bourns.com/docs/Product-Datasheets/3345.pdf,//media.digikey.com/photos/Bourns%20Photos/Q23713.jpg,3345P-KIT-ND,Q23713,Bourns Inc.,KIT POT TRIMMER 50-20K OHM 45PCS,0,0,"Discontinued at Digi-Key","0","1","Notebook","Trimpot® 3345 - Sealed","Discontinued at Digi-Key","Trimmer","50 ~ 20k","Wirewound","-","±5%","1W","1","45 Pieces (9 Values - 5 Each)","PC Pins"
https://www.bourns.com/docs/Product-Datasheets/3296.pdf,//media.digikey.com/photos/Bourns%20Photos/Q23568.jpg,3296Z-KIT-ND,Q23568,Bourns Inc.,KIT POT TRIMMER 10-2M OHM 75PCS,0,0,"Discontinued at Digi-Key","0","1","Notebook","Trimpot® 3296 - Sealed","Discontinued at Digi-Key","Trimmer","10 ~ 2M","Cermet","-","±10%","1/2W","25","75 Pieces (15 Values - 5 Each)","PC Pins"
https://www.bourns.com/docs/Product-Datasheets/3352.pdf,//media.digikey.com/photos/Bourns%20Photos/Q23715.jpg,3352E-KIT-ND,Q23715,Bourns Inc.,KIT POT THUMBWHL 100-1M OHM 75PC,0,0,"Discontinued at Digi-Key","0","1","Notebook","Trimpot® 3352 - Open Frame","Discontinued at Digi-Key","Thumbwheel","100 ~ 1M","Cermet","-","±20%","1/2W","1","75 Pieces (15 Values - 5 Each)","PC Pins"
https://www.bourns.com/docs/Product-Datasheets/3386.pdf,-,3386F-KIT-ND,Q23575,Bourns Inc.,KIT POT TRIMMER 50-2M OHM 75PCS,0,0,"Discontinued at Digi-Key","0","1","Notebook","Trimpot® 3386 - Sealed","Discontinued at Digi-Key","Trimmer","50 ~ 2M","Cermet","-","±10%","1/2W","1","75 Pieces (15 Values - 5 Each)","PC Pins"
https://www.bourns.com/docs/Product-Datasheets/3352.pdf,//media.digikey.com/photos/Bourns%20Photos/Q23717.jpg,3352H-KIT-ND,Q23717,Bourns Inc.,KIT POT THUMBWHL 100-1M OHM 75PC,0,0,"Discontinued at Digi-Key","0","1","Notebook","Trimpot® 3352 - Open Frame","Discontinued at Digi-Key","Thumbwheel","100 ~ 1M","Cermet","-","±20%","1/2W","1","75 Pieces (15 Values - 5 Each)","PC Pins"
https://www.bourns.com/docs/Product-Datasheets/3352.pdf,-,3352P-KIT-ND,Q23721,Bourns Inc.,KIT POT THUMBWHL 100-1M OHM 75PC,0,0,"Discontinued at Digi-Key","0","1","Notebook","Trimpot® 3352 - Open Frame","Discontinued at Digi-Key","Thumbwheel","100 ~ 1M","Cermet","-","±20%","1/2W","1","75 Pieces (15 Values - 5 Each)","PC Pins"
https://www.bourns.com/docs/Product-Datasheets/3386.pdf,//media.digikey.com/photos/Bourns%20Photos/Q23577.jpg,3386P-KIT-ND,Q23577,Bourns Inc.,KIT POT TRIMMER 50-2M OHM 75PCS,0,0,"Discontinued at Digi-Key","0","1","Notebook","Trimpot® 3386 - Sealed","Discontinued at Digi-Key","Trimmer","50 ~ 2M","Cermet","-","±10%","1/2W","1","75 Pieces (15 Values - 5 Each)","PC Pins"
https://www.bourns.com/docs/Product-Datasheets/3352.pdf,//media.digikey.com/photos/Bourns%20Photos/Q23723.jpg,3352T-KIT-ND,Q23723,Bourns Inc.,KIT POT THUMBWHL 100-1M OHM 75PC,0,0,"Discontinued at Digi-Key","0","1","Notebook","Trimpot® 3352 - Open Frame","Discontinued at Digi-Key","Thumbwheel","100 ~ 1M","Cermet","-","±20%","1/2W","1","75 Pieces (15 Values - 5 Each)","PC Pins"
https://www.bourns.com/docs/Product-Datasheets/3352.pdf,//media.digikey.com/photos/Bourns%20Photos/Q23724.jpg,3352W-KIT-ND,Q23724,Bourns Inc.,KIT POT THUMBWHL 100-1M OHM 75PC,0,0,"Discontinued at Digi-Key","0","1","Notebook","Trimpot® 3352 - Open Frame","Discontinued at Digi-Key","Thumbwheel","100 ~ 1M","Cermet","-","±20%","1/2W","1","75 Pieces (15 Values - 5 Each)","PC Pins"
https://www.bourns.com/docs/Product-Datasheets/3386.pdf,//media.digikey.com/photos/Bourns%20Photos/Q23580.jpg,3386X-KIT-ND,Q23580,Bourns Inc.,KIT POT TRIMMER 50-2M OHM 75PCS,0,0,"Discontinued at Digi-Key","0","1","Notebook","Trimpot® 3386 - Sealed","Discontinued at Digi-Key","Trimmer","50 ~ 2M","Cermet","-","±10%","1/2W","1","75 Pieces (15 Values - 5 Each)","PC Pins"
