Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type"
https://multimedia.3m.com/mws/media/924139O/3m-hearing-solutions-catalog-2015.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_VP312-1260.jpg,3M162421-ND,VP312-1260,3M,3M E-A-RSOFT FX CORD 1=5PAIR,200,0,"9.16000","0","1","E-A-R™","Active","Earplugs"
http://multimedia.3m.com/mws/media/701919O/3m-protective-coveralls.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_407%20hairnet.jpg,3M159184-ND,407,3M,DISPOSABLE HAIR NET 1=100PC,139,0,"10.36000","0","1","-","Active","Hair Net"
http://multimedia.3m.com/mws/media/944896O/protective-eyewear-line-card.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_12180-10000-20.jpg,3M158432-ND,12180-10000-20,3M,3M QX PROTECTIVE EYEWEAR 1=1PC,188,0,"14.73000","0","1","-","Active","Safety Glasses"
http://multimedia.3m.com/mws/media/342303O/3m-6000-series-half-facepiece-reusable-respirator.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_6300.jpg,3M160448-ND,6300,3M,HALF FACEPIECE REUSABLE 1=1PC,167,0,"15.79000","0","1","*","Active","-"
https://multimedia.3m.com/mws/media/279138O/3m-6000-7000-and-ff-400-series-respirator-technical-information-matrix.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_6100.JPG,3M159746-ND,6100,3M,3M HALF FACEPIECE REUSABLE 1=1PC,120,0,"15.79000","0","1","*","Active","-"
-,-,3M161602-ND,H9A,3M,3M PELTOR OPTIME 98 1=1PC,140,0,"16.60000","0","1","*","Active","Earmuffs"
http://multimedia.3m.com/mws/media/351960O/1100-data-sheet.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_1100.jpg,3M158282-ND,1100,3M,UNCORDED FOAM EARPLUGS 1=200PAIR,262,0,"26.64000","0","1","1100","Active","Earplugs"
https://multimedia.3m.com/mws/media/418650O/assigned-protection-factors-for-hoods-and-helmets-technical-data-bulletin-175.pdf,-,3M161553-ND,H-410-10,3M,HOOD H-410-10/07037(AAD) 1=1PC,330,0,"29.51000","0","1","-","Active","Hood"
http://multimedia.3m.com/mws/media/673229O/1100-and-1110-3m-hearing-protection-earplugs.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_1110.jpg,3M158297-ND,1110,3M,CORDED FOAM EARPLUGS 1=100PC,106,0,"29.56000","0","1","-","Active","Earplugs"
-,-,3M162078-ND,S-805-5,3M,REPLACEMENT HOOD WITH SEA 1=1PC,105,0,"75.07000","0","1","Versaflo™ S-Series","Active","Hood"
http://multimedia.3m.com/mws/media/678843O/3m-peltor-ht-series-listen-only-headsets-communication-solutions.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_HTM79P3E.jpg,3M161635-ND,HTM79P3E,3M,HARD HAT MOUNT PELTOR HEADSET,103,0,"112.77000","0","1","-","Active","Earmuffs"
https://multimedia.3m.com/mws/media/678843O/3m-peltor-ht-series-listen-only-headsets-communication-solutions.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_HTM79A-25.jpg,3M162698-ND,HTM79A,3M,3M PELTOR HT SERIES,48,0,"112.77000","0","1","-","Active","Earmuffs"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/6900DIN_Ds.pdf,-,3M160482-ND,6900DIN,3M,FULLFACE RESPIRATOR MASK 1=1PC,36,0,"200.15000","0","1","6000","Active","Particulate Respirator"
//media.digikey.com/pdf/Data%20Sheets/Easy%20Braid%20PDFs/2013_QRP_Catalog.pdf,//media.digikey.com/Photos/Easy%20Braid%20Photos/BQY09.JPG,EB1263-ND,BQY09 LARGE,MENDA/EasyBraid,DISPSBLE GLOVES NITRILE LG 100PC,343,0,"13.78000","0","1","Qualatrile® Indy","Obsolete","Disposable Gloves"
//media.digikey.com/pdf/Data%20Sheets/Easy%20Braid%20PDFs/2013_QRP_Catalog.pdf,//media.digikey.com/Photos/Easy%20Braid%20Photos/4BQF09%20LARGE.JPG,EB1253-ND,4BQF09 LARGE,MENDA/EasyBraid,DISPSBLE GLOVES NITRILE LG 100PC,410,0,"14.88000","0","1","Qualatrile®","Obsolete","Disposable Gloves"
//media.digikey.com/pdf/Data%20Sheets/Easy%20Braid%20PDFs/2013_QRP_Catalog.pdf,//media.digikey.com/Photos/Easy%20Braid%20Photos/609BPF-LARGE.jpg,EB1250-ND,609BPF LARGE,MENDA/EasyBraid,DISPSBLE GLOVES LATEX LRG 100PC,170,0,"15.31000","0","1","Biotek®","Obsolete","Disposable Gloves"
//media.digikey.com/pdf/Data%20Sheets/Easy%20Braid%20PDFs/2013_QRP_Catalog.pdf,//media.digikey.com/Photos/Easy%20Braid%20Photos/BQF09%20LARGE.JPG,EB1255-ND,BQF09 LARGE,MENDA/EasyBraid,DISPSBLE GLOVES NITRILE LG 100PC,164,0,"16.84000","0","1","Qualatrile®","Obsolete","Disposable Gloves"
