Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Features","For Use With/Related Products"
http://www.panduit.com/heiler/CatalogCutSheets/PTS%20Product%20Page.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_PPH10.jpg,298-14020-ND,PPH10,Panduit Corp,HOSE ASSY*PPTS NON-TRK ACC,9,0,"136.45000","0","1","-","Active","Accessory, Hose","-","Panduit PTS, PTH"
-,-,298-19571-ND,TM28970A01,Panduit Corp,GS4MT-E BLADE REPLC. KIT,4,0,"148.45000","0","1","-","Active","Accessory, Blade","-","GS4MT-E"
http://www.essentracomponents.com.sg/images-line/pdfs/MTG-1.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_MTG-1.JPG,RPC4421-ND,MTG-1,Essentra Components,STAINLESS STEEL TIE INSTALL TOOL,4,0,"160.53000","0","1","MT","Active","Gun","-","MT Cable Ties up to 0.310"" (7.9mm) Width"
http://www.panduit.com/heiler/PartDrawings/C-SSBT75SDT--ENG.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_BT75SDT.jpg,298-14225-ND,BT75SDT,Panduit Corp,TOOL FOR MS75 STRAPPING,4,0,"176.52000","0","1","Pan-Steel®","Active","Installation Tool","Lever Cut-Off","Pan-Steel® MS75 Strapping; 0.750"" (19.05mm) Width"
https://cl-pdfv10.ae-admin.com/hellermanntyton/files/110-95291.pdf,-,1436-2480-ND,110-95291,HellermannTyton,"MK9SST FRONT NOSEPIECE, SS, 1/BA",4,0,"199.64000","0","1","EVO®","Active","Accessory, Nosepiece","Adjustable Tension","MK9SST"
https://www.panduit.com/content/dam/panduit/en/products/assets/g/gs/gs2/gs2b/gs2be/media/C-CTGS2B-E--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_GS2B-E.jpg,298-16865-ND,GS2B-E,Panduit Corp,METAL HOUSING ERGONOMIC CABLE TI,16,0,"330.00000","0","1","-","Active","Gun","Ergonomic, Adjustable Tension, Automatic Tie Cutter","Subminiature, Miniature, Intermediate and Standard Cable Ties"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/13-0516-004-CSU.PDF,-,1436-2424-ND,110-80004,HellermannTyton,EVO 9HT HIGH TENSION MECHANICAL,8,0,"472.22000","0","1","EVO®","Active","Gun","Adjustable Tension, Ergonomic, Tension Lock, Tie Cutter","Cable Ties 120-250 lbs; up to 0.5"" (12.7mm) Width"
https://www.panduit.com/content/dam/panduit/en/products/assets/g/gs/gs4/gs4h/gs4he/media/C-CTGS4H-E--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_GS4H-E.jpg,298-16867-ND,GS4H-E,Panduit Corp,ERGONOMIC METAL HOUSING CABLE TI,20,0,"495.00000","0","1","-","Active","Gun","Ergonomic, Adjustable Tension, Automatic Tie Cutter","Standard, Heavy Standard, Light Heavy, and Heavy Ties"
https://www.panduit.com/content/dam/panduit/en/products/assets/g/gs/gs4/gs4e/gs4ehe/media/C-CTGS4EH-E--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_GS4EH-E.jpg,298-16866-ND,GS4EH-E,Panduit Corp,METAL HOUSING ERGONOMIC CABLE TI,10,0,"532.95000","0","1","-","Active","Gun","Ergonomic, Adjustable Tension, Automatic Tie Cutter","Light Heavy, Heavy, and Extra Heavy Ties"
http://www.panduit.com/heiler/PartDrawings/RT2HTN%20CD_TM25753A01_00.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_RT2HTN.jpg,298-16909-ND,RT2HTN,Panduit Corp,INSTALLATION TOOL MLT TIES CONTR,4,0,"883.26000","0","1","Pan-Steel®","Active","Gun","Adjustable Tension","Pan-Steel® MLTEH, MLTEH15, MLTSH Ties"
http://www.panduit.com/heiler/InstallInstructions/N-SSPA25770A01--REV02--ENG.pdf,-,298-18823-ND,BT2HTI,Panduit Corp,"INSTALLATION TOOL, MS STRAP, LEV",2,0,"883.26000","0","1","Pan-Steel®","Active","Strapping Tool","Adjustable Tension, Lever Cut-Off","Pan-Steel® MS Strapping; 0.375"" (9.50mm), 0.500"" (12.70mm), 0.625"" (15.90mm) Width"
