Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Tool Type","Handle Type","Face Type"
-,-,69-542-ND,69-542,Apex Tool Group,HMR DEAD BLO SLIMLINE 18OZ,0,0,"55.80000","0","1","-","Not For New Designs","Hammer, Dead Blow","Steel","-"
-,-,69-542G-ND,69-542G,Apex Tool Group,HMR DEAD BLO SLIMLINE 22 OZ,0,0,"55.80000","0","1","-","Active","Hammer, Non-Sparking","Steel, Cushioned Grip","-"
-,-,CINDEX18-ND,CINDEX18,Apex Tool Group,18OZ INDEXING CLAW HAMMER,0,0,"58.84000","0","4","-","Active","Hammer, Claw","Rubber","-"
-,-,69-501G-ND,69-501G,Apex Tool Group,HMR DEAD BLO 1LB FGL HDL,0,0,"61.41000","0","1","-","Active","Hammer, Dead Blow","Fiberglass, Cushioned Grip","-"
-,-,82243-ND,82243,Apex Tool Group,HMR PU DEAD BLOW 49OZ,0,0,"62.56000","0","6","-","Active","Hammer, Dead Blow","Rubber","-"
-,-,69-532G-ND,69-532G,Apex Tool Group,HMR DEAD BLO STD 26 OZ,0,0,"62.88000","0","1","-","Active","Hammer, Non-Sparking","Steel, Cushioned Grip","-"
-,-,69-543-ND,69-543,Apex Tool Group,HMR DEAD BLO SLIMLINE 21OZ,0,0,"68.82000","0","1","-","Not For New Designs","Hammer, Dead Blow","Steel","-"
-,-,69-543G-ND,69-543G,Apex Tool Group,HMR DEAD BLO SLIMLINE 26 OZ,0,0,"68.82000","0","1","-","Active","Hammer, Non-Sparking","Steel, Cushioned Grip","-"
-,-,81-112G-ND,81-112G,Apex Tool Group,HMR BRS HICKORY HNDL 2LB L,0,0,"69.65000","0","1","-","Active","Hammer, Non-Sparking","Wood, Hickory","-"
-,-,69-503G-ND,69-503G,Apex Tool Group,HMR DEAD BLO 2LB FGL HDL,0,0,"72.09000","0","1","-","Active","Hammer, Dead Blow","Fiberglass, Cushioned Grip","-"
-,-,69-485G-ND,69-485G,Apex Tool Group,HMR CPR 2LB WD HDL,0,0,"75.17000","0","1","-","Active","Hammer, Dead Blow","Wood, Hickory","-"
"//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Dead%20Blow,%20Sledge%20Hammers.pdf",//media.digikey.com/Photos/Wiha/MFG_80260.jpg,431-1763-ND,80250,Wiha,HAMMER DEAD BLOW STEEL TUBE,5,0,"75.80000","0","1","-","Active","Hammer, Dead Blow","Steel Tube, Cushioned Grip","Medium-Hard, 50mm Dia"
-,-,431-83256-ND,83256,Wiha,SPLIT HEAD MALLET 7PC. SET,0,0,"76.96000","0","1","-","Active","Mallet, Split Head Set","Wood, Hickory","-"
-,-,69-513G-ND,69-513G,Apex Tool Group,HMR BRS 1.5LB W/GRP,0,0,"77.60000","0","1","-","Active","Hammer, Non-Sparking","Fiberglass, Cushioned Grip","-"
-,-,69-649G-ND,69-649G,Apex Tool Group,HMR SLDG 6LB WD HDL,0,0,"83.95000","0","1","-","Active","Hammer, Sledge","Wood, Hickory","-"
-,-,69-533G-ND,69-533G,Apex Tool Group,HMR DEAD BLO STD 45 OZ,0,0,"88.75000","0","1","-","Active","Hammer, Non-Sparking","Steel, Cushioned Grip","-"
