Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Tool Type","Accessory Type","Temperature Range","Voltage","Current","Power - Rated","Includes","For Use With/Related Products","Compatible Tools","Features","Approval Marks","Approved Countries","Nozzle Opening","Air Flow","Color"
-,-,2-2280624-0-ND,2-2280624-0,TE Connectivity AMP Connectors,"CONTROL RELAY, 230 VAC",0,0,"64.60000","0","1","Model 17","Active","-","Relay","-","230V","-","-","-","2280355-1, 2280355-2","Model 17 Belt Heaters","-","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Tyco%20Electronics%20Raychem%20PDFs/IR_1759.pdf,-,8-1192056-6-ND,8-1192056-6,TE Connectivity Raychem Cable Protection,FILTER SPRING,0,0,"64.90513","0","39","MiniRay","Active","-","Filter Spring","-","-","-","-","-","-","IR-1759","-","-","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1481262&DocType=Customer+Drawing&DocLang=English,-,IR-1900-MAINT-PIN-W/BRKT-ND,IR-1900-MAINT-PIN-W/BRKT,TE Connectivity AMP Connectors,MOUNTING PIN W/BRACKET,0,0,"64.96000","0","1","Model 19","Active","-","Mounting Pin","-","-","-","-","-","-","Model 19 Belt Heaters (Standard, Wide and Narrow)","-","-","-","-","-","-"
-,-,133-30093-ND,30093,Master Appliance Co,CIRCUIT BOARD VT-751D 120V,0,0,"65.75571","0","7","HG, Varitemp® VT","Active","-","Circuit Board","-","120V","-","-","-","Heat Gun","VT-751D","-","cULus","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Master%20Appliance%20PDFs/Master_Appliance_Full_Cat.pdf,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_35542.jpg,35542-ND,35542,Master Appliance Co,HEAT GUN STORAGE/CARRYING CASE,0,0,"66.10000","0","1","Proheat® STC PH","Active","-","Storage Case","-","-","-","-","-","Heat Gun","PH-1600, PH-1610","-","-","-","-","-","Black"
http://www.steinel.net/Customized/uploads/PDFs/HB1750OwnersManaul.pdf,-,06110-ND,06110,Steinel America,HEATING ELEMENT FOR HB1750,0,0,"66.95000","0","1","-","Active","-","Heating Element","-","120V","-","1750W","-","-","HB1750","-","-","-","-","-","Silver"
-,-,133-30074-ND,30074,Master Appliance Co,HEAT GUN MOTOR 220V,0,0,"67.45167","0","6","HG, Varitemp® VT","Active","-","Motor","-","220 ~ 240V","-","-","-","Heat Gun","HG/VT Models","-","cULus","-","-","-","-"
-,-,133-30094-ND,30094,Master Appliance Co,CIRCUIT BOARD VT-752D 220V,0,0,"67.45167","0","6","HG, Varitemp® VT","Active","-","Circuit Board","-","220V","-","-","-","Heat Gun","VT-751D","-","cULus","-","-","-","-"
-,-,CLTEQ-81-TSTR-SPNGS-ND,CLTEQ-81-TSTR-SPNGS,TE Connectivity AMP Connectors,BELT HEATER ACCESSORY,0,0,"69.70000","0","1","-","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,AA-400-P-REG-GAGE-ASSY-ND,AA-400-P-REG-GAGE-ASSY,"TE Connectivity Aerospace, Defense and Marine",AA-400-P-REG-GAGE-ASSY,0,0,"72.03300","0","10","AA-400","Active","-","-","-","-","-","-","-","-","AA-400","-","-","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=9-1773447-9_SEC2_APPL_EQUIPMENT&DocType=CS&DocLang=English,-,PR-24-REFLECTOR-ND,PR-24-REFLECTOR,TE Connectivity Raychem Cable Protection,PR-24-REFLECTOR,0,0,"73.99696","0","23","PR","Active","-","Nozzle, Reflector","-","-","-","-","-","Heat Shrink Tubing/Molded Products from 1.00"" up to 1.38""","CV-1981, CV-1983","-","-","-","-","-","-"
-,-,AES-S1125-APPLICATION-GN-ND,AES-S1125-APPLICATION-GN,TE Connectivity Raychem Cable Protection,ADHESIVES & SEALANTS,0,0,"76.21524","0","21","-","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
