Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Tip - Type","Range of Values","Drive Size","Includes","Features","Quantity"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Socket%20Sets%20on%20Molded%20Rails.pdf,//media.digikey.com/photos/Wiha/mfg71392.jpg,431-2025-ND,71392,Wiha,SOCKET SET HEX 3/8"" 8PC,1,0,"46.08000","0","1","-","Active","Socket Set","Hex","1/8"" ~ 3/8""","3/8""","Storage Rail","Replaceable Bits","8 Pieces"
https://cdn.wihatoolsus.com/pdfs/WihaBitsCatalog.pdf,//media.digikey.com/Photos/Wiha/MFG_71797.jpg,431-1610-ND,71797,Wiha,SOCKET SET HEX 1/4"" 7PC,0,0,"46.08000","0","1","-","Active","Socket Set","Hex","1.5mm ~ 6mm","1/4""","Storage Rail","Replaceable Bits","7 Pieces"
-,-,CSWS7N-ND,CSWS7N,Apex Tool Group,"SOCKET WRENCH SET,20PC,3/8"" DR,S",0,0,"46.13000","0","10","-","Active","-","-","-","-","-","-","-"
-,-,CIMS2N-ND,CIMS2N,Apex Tool Group,"8 PC,1/2"" DRIVE IMP SOCKET SET,D",0,0,"46.13000","0","1","-","Active","Socket Set","6 Point Socket","-","1/2""","-","-","8 Pieces"
-,-,CIMS3N-ND,CIMS3N,Apex Tool Group,"8 PC,1/2"" DRIVE IMP SOCKET SET,D",0,0,"46.13000","0","1","-","Active","Socket Set","6 Point Socket","-","1/2""","-","-","8 Pieces"
-,-,81196-ND,81196,Apex Tool Group,SET BIT DRIVER TORX STUB 1/4 3/8,0,0,"47.18000","0","20","-","Active","Socket Set","Torx®","-","1/4"", 3/4""","-","-","-"
-,-,80302D-ND,80302D,Apex Tool Group,SET SKT 1/4DR ST 6PT MT 13PC,0,0,"47.80000","0","10","-","Active","Socket Set","6 Point Socket","-","1/4""","-","-","13 Pieces"
-,-,80321-ND,80321,Apex Tool Group,SET SKT HEX BIT MET 1/4DR 6PC,0,0,"48.74000","0","6","-","Active","Socket Set","Hex","-","1/4""","-","-","6 Pieces"
https://cdn.wihatoolsus.com/pdfs/WihaBitsCatalog.pdf,//media.digikey.com/Photos/Wiha/MFG_71798.jpg,431-2482-ND,71798,Wiha,SOCKET SET HEX 1/4"" 8PC,5,0,"49.96000","0","1","-","Active","Socket Set","Hex","3/32"" ~ 1/4""","1/4""","Storage Rail","Replaceable Bits","8 Pieces"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Socket%20Sets%20on%20Molded%20Rails.pdf,//media.digikey.com/Photos/Wiha/MFG_76191.jpg,431-2083-ND,76191,Wiha,SOCKET SET TORX 1/4"" 10PC,0,0,"50.72000","0","1","-","Active","Socket Set","Torx®","T7 ~ T40","1/4""","Storage Rail","Replaceable Bits","10 Pieces"
-,-,80322-ND,80322,Apex Tool Group,SET SKT DP EXT TRX 1/4DR 6PC,0,0,"51.34000","0","6","-","Active","Socket Set","6 Point Socket","-","1/4""","-","-","6 Pieces"
https://cdn.wihatoolsus.com/pdfs/WihaTorxCatalog.pdf,//media.digikey.com/Photos/Wiha/77193.jpg,77193-ND,77193,Wiha,SOCKET SET TORX 1/4"" 7PC,0,0,"52.06000","0","1","Torx®","Active","Socket Set","Torx®","T10 ~ T40","1/4""","Storage Rail","Replaceable Bits","7 Pieces"
-,-,87802-ND,87802,Apex Tool Group,3/8DR BREAKER BAR 18"",0,0,"53.23000","0","8","-","Active","-","-","-","-","-","-","-"
