Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Tool Type","End - Size","Features","Length"
//media.digikey.com/pdf/Data%20Sheets/Paladin%20PDFs/0354-21.pdf,//media.digikey.com/Photos/Greenlee%20Communications/MFG_0354-21.jpg,0354-21-ND,0354-21,Greenlee Communications,WRENCH COMBINATION 7/8"" 11.13"",0,0,"27.54000","0","1","-","Active","Combination, Ratcheting","7/8""","Polished Chrome Finish","11.13"" (282.6mm)"
-,-,AC28VS-ND,AC28VS,Apex Tool Group,"ADJUSTABLE WRENCH,8"",CHROME,CARD",0,0,"27.55000","0","3","-","Active","Adjustable","-","Chrome Finish","8.00"" (203.2mm)"
-,-,85518-ND,85518,Apex Tool Group,WR RAT OPEN END 18MM,0,0,"27.59000","0","5","-","Active","Combination, Ratcheting","18mm","Angled 15°","9.32"" (236.7mm)"
-,-,86410-ND,86410,Apex Tool Group,WR RAT COMB 120XP 10MM,0,0,"27.61000","0","1","-","Active","Combination, Ratcheting","10mm","Polished Chrome Finish","7.09"" (180.0mm)"
-,-,2128-7R15-ND,2297132,"Gedore Tools, Inc.",COMBINATION RATCHET SPANNER 15 M,0,0,"27.72000","0","1","*","Active","-","-","-","-"
-,-,9114D-ND,9114D,Apex Tool Group,WR RAT COMB 14MM,0,0,"27.73000","0","50","-","Active","Combination, Ratcheting","14mm","Angled 15°, Polished Chrome Finish","7.50"" (190.5mm)"
-,-,9503D-ND,9503D,Apex Tool Group,WR RAT COMB STBY 9/16,0,0,"27.73000","0","1","-","Active","Combination, Ratcheting","9/16""","-","4.49"" (114.0mm)"
-,-,9514D-ND,9514D,Apex Tool Group,WR RAT COMB STBY 14MM,0,0,"27.73000","0","1","-","Active","Combination, Ratcheting","14mm","-","4.49"" (114.0mm)"
-,-,9018D-ND,9018D,Apex Tool Group,WR RAT COMB 9/16,0,0,"27.73013","0","80","-","Active","Combination, Ratcheting","9/16""","Polished Chrome Finish","7.50"" (190.5mm)"
-,-,81891-ND,81891,Apex Tool Group,WR ADJ CUSH GRIP 8,0,0,"27.75000","0","6","-","Active","Adjustable","-","Polished Chrome Finish, Soft Grip","8.00"" (203.2mm)"
-,-,85908-ND,85908,Apex Tool Group,WR RAT XL GEARBOX DBL BOX 8MM,0,0,"27.75000","0","1","-","Active","Box End, Ratcheting","8mm","Offset","8.70"" (221.0mm)"
-,-,85950-ND,85950,Apex Tool Group,WR RAT XL GEARBX DBL BX 5/16,0,0,"27.75000","0","1","-","Active","Box End, Ratcheting","5/16""","Offset","8.70"" (221.0mm)"
-,-,86436-ND,86436,Apex Tool Group,WR RAT COMB 120XP 7/16"",0,0,"27.84000","0","1","-","Active","Combination, Ratcheting","7/16""","Polished Chrome Finish","7.68"" (195.1mm)"
-,-,86411-ND,86411,Apex Tool Group,WR RAT COMB 120XP 11MM,0,0,"27.88000","0","1","-","Active","Combination, Ratcheting","11mm","Polished Chrome Finish","7.68"" (195.1mm)"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Metric%20Open-Ended%20Spanners.pdf,//media.digikey.com/Photos/Wiha/MFG_20006.jpg,431-2353-ND,20007,Wiha,WRENCH OPEN END 7MM 3.86"",5,0,"27.96000","0","1","-","Active","Open End (Single)","7mm","Angled 15°, Insulated to 1000V","3.86"" (98.0mm)"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Metric%20Open-Ended%20Spanners.pdf,//media.digikey.com/Photos/Wiha/MFG_20006.jpg,20008-ND,20008,Wiha,WRENCH OPEN END 8MM 4.09"",0,0,"27.96000","0","1","-","Active","Open End (Single)","8mm","Angled 15°, Insulated to 1000V","4.09"" (104.0mm)"
