Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Tool Type","Tip - Type","Tip - Shape","Jaw - Type","Features","Length"
//media.digikey.com/pdf/Data%20Sheets/Swanstrom%20Tools%20PDFs/Spartans_Tool_Flyer.pdf,//media.digikey.com/photos/Swanstrom%20Photos/351.jpg,232-1012-ND,351,Swanstrom Tools USA,PLIERS COMBO FLAT NOSE 6"",10,0,"39.76000","0","1","-","Active","Electronics","Long Nose","Straight","Serrated","Includes Cutter, Soft Grips","6.00"" (152.4mm)"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Insulated%20Pliers%20&%20Cutters%20p106.pdf,//media.digikey.com/Photos/Wiha/MFG_32808.jpg,431-1078-ND,32808,Wiha,PLIERS LONG NOSE 8"",13,0,"39.96000","0","1","-","Active","Standard","Long Nose","Straight","Serrated","Ergonomic, Includes Cutter, Insulated to 1000V, Non-Slip, Soft Grips","8.00"" (203.2mm)"
http://www.swanstromtools.com/SwanstromCatalog.pdf#page=12,//media.digikey.com/photos/Swanstrom%20Photos/MFG_S221E.jpg,232-1032-ND,S221E,Swanstrom Tools USA,PLIERS ELEC LONG NOSE 6.13"",10,0,"43.90000","0","1","-","Active","Electronics","Long Nose","Straight","Serrated","Ergonomic, ESD Safe, Soft Grips","6.13"" (155.7mm)"
http://www.swanstromtools.com/SwanstromCatalog.pdf#page=12,//media.digikey.com/photos/Swanstrom%20Photos/MFG_S220E.jpg,232-1035-ND,S220E,Swanstrom Tools USA,PLIERS ELEC LONG NOSE 6.13"",8,0,"43.90000","0","1","-","Active","Electronics","Long Nose","Straight","Smooth","Ergonomic, ESD Safe, Soft Grips","6.13"" (155.7mm)"
http://www.swanstromtools.com/SwanstromCatalog.pdf#page=12,//media.digikey.com/photos/Swanstrom%20Photos/S325E.jpg,232-1008-ND,S325E,Swanstrom Tools USA,PLIERS ELEC CHAIN NOSE 6.21"",7,0,"43.90000","0","1","-","Active","Electronics","Snipe (Chain) Nose","Straight","Serrated","Ergonomic, ESD Safe, Soft Grips","6.21"" (157.7mm)"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/ESD%20Safe%20Pliers%20and%20Cutters.pdf,//media.digikey.com/photos/Wiha/32748.jpg,431-1032-ND,32748,Wiha,PLIERS ELEC NEEDLE NOSE 5.75"",6,0,"58.56000","0","1","-","Active","Electronics","Needle Nose","Angled 90°","Smooth","ESD Safe, Non-Slip, Soft Grips","5.75"" (146.0mm)"
http://v.fastcdn.co/u/7e4e9c2d/12104938-0-Xcelite-Catalog-5506.pdf,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_51NCG.jpg,51CGNN-ND,51CGNN,Apex Tool Group,PLIER 6"" LONG NOSE WITH SIDE,11,0,"22.40000","0","1","Xcelite®","Active","Standard","Needle Nose","Straight","Serrated","Includes Cutter, Soft Grips","6.00"" (152.4mm)"
http://v.fastcdn.co/u/7e4e9c2d/12104938-0-Xcelite-Catalog-5506.pdf,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_LN542N.jpg,LN542N-ND,LN542N,Apex Tool Group,LONG NOSE PLIER SEER JAW LN542,18,0,"22.70000","0","1","Xcelite®","Active","Electronics","Long Nose","Straight","Serrated","Soft Grips","5.00"" (127.0mm)"
http://v.fastcdn.co/u/7e4e9c2d/12104938-0-Xcelite-Catalog-5506.pdf,//media.digikey.com/Photos/Apex%20Tool%20Photos/L4G.jpg,L4GN-ND,L4GN,Apex Tool Group,PLIERS ELEC NEEDLE NOSE 4"",26,0,"23.90000","0","1","Xcelite®","Active","Electronics","Needle Nose","Straight","Smooth","ESD Safe, Soft Grips","4.00"" (101.6mm)"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_Pliers.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_D502-6.jpg,1742-1450-ND,D502-6,"Klein Tools, Inc.",PLIERS ADJUST FLAT NOSE 6.50"",6,0,"24.57000","0","1","-","Active","Adjustable (Water Pump)","Flat Nose","Straight","Serrated","Non-Slip, Slide Lock","6.50"" (165.1mm)"
http://v.fastcdn.co/u/7e4e9c2d/12104938-0-Xcelite-Catalog-5506.pdf,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_NN7776VN.jpg,NN7776VN-ND,NN7776VN,Apex Tool Group,PLIER 6 LONG NEEDLE NN777-6V,8,0,"26.30000","0","1","Xcelite®","Active","Electronics","Long Nose","Straight","Smooth","Soft Grips","6.00"" (152.4mm)"
http://v.fastcdn.co/u/7e4e9c2d/12104938-0-Xcelite-Catalog-5506.pdf,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_SN55VN.jpg,SN-ND55VN-ND,SN55VN,Apex Tool Group,PLIER 5 1/2 LNG NOSE SN55V,22,0,"27.40000","0","1","Xcelite®","Active","Electronics","Long Nose","Straight","Serrated","Includes Cutter, Soft Grips","5.50"" (139.7mm)"
http://v.fastcdn.co/u/7e4e9c2d/12104938-0-Xcelite-Catalog-5506.pdf,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_LN775512V.jpg,LN775512VN-ND,LN775512VN,Apex Tool Group,PLIER 5-1/2"" SLIM LINE FINE TIP,13,0,"27.40000","0","1","Xcelite®","Active","Electronics","Needle Nose","Straight","Serrated","Soft Grips","5.50"" (139.7mm)"
http://v.fastcdn.co/u/7e4e9c2d/12104938-0-Xcelite-Catalog-5506.pdf,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_CN7776N.jpg,CN7776N-ND,CN7776N,Apex Tool Group,PLIER 6"" CURVED LONG NOSE,11,0,"27.60000","0","1","Xcelite®","Active","Electronics","Long Nose","Angled 60°","Serrated","Soft Grips","6.00"" (152.4mm)"
http://v.fastcdn.co/u/7e4e9c2d/12104938-0-Xcelite-Catalog-5506.pdf,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_NN54.jpg,NN54GVN-ND,NN54GVN,Apex Tool Group,PLIER 5 NEEDLE SMOOTH NN54GV,7,0,"28.20000","0","1","Xcelite®","Active","Electronics","Needle Nose","Straight","Smooth","Soft Grips","5.00"" (127.0mm)"
http://v.fastcdn.co/u/7e4e9c2d/12104938-0-Xcelite-Catalog-5506.pdf,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_CN255VN.jpg,CN255VN-ND,CN255VN,Apex Tool Group,PLIER 5"" CURVED NOSE CDD,17,0,"28.90000","0","1","Xcelite®","Active","Electronics","Bent Nose","Angled 60°","Serrated","Soft Grips","5.00"" (127.0mm)"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_Pliers.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_D502-10.jpg,1742-1373-ND,D502-10,"Klein Tools, Inc.",PLIERS ADJUST FLAT NOSE 10"",10,0,"30.64000","0","1","-","Active","Adjustable (Water Pump)","Flat Nose","Straight","Serrated","Non-Slip, Slide Lock","10.00"" (254.0mm)"
-,//media.digikey.com/Photos/Klein-Tools/MFG_D502-6TT.jpg,1742-1409-ND,D502-6TT,"Klein Tools, Inc.",PUMP PLIERS 6"" QUICK ADJUST,21,0,"34.54000","0","1","-","Active","Adjustable (Water Pump)","Flat Nose","Straight","Serrated","Non-Slip","8.0"" (203.2mm)"
-,//media.digikey.com/Photos/Klein-Tools/MFG_D502-10TT.jpg,1742-1405-ND,D502-10TT,"Klein Tools, Inc.",PUMP PLIERS 10"" QUICK ADJUST,10,0,"41.63000","0","1","-","Active","Adjustable (Water Pump)","Flat Nose","Straight","Serrated","Non-Slip","11.25"" (285.8 mm)"
https://www.ideal-tek.com/public/doc/Ergo-tek-leaflet.pdf,//media.digikey.com/Photos/Ideal-Tek/MFG_ES6011.CR.BG.jpg,ES6011.CR.BG-1118-ND,ES6011.CR.BG,Ideal-tek S.A.,CUTTERS SLIM ESD HIGH PRESCION,19,0,"45.00000","0","1","-","Active","Electronics","Flat Nose","Straight","Smooth","ESD Safe","5.12"" (130.0mm)"
//media.digikey.com/pdf/Data%20Sheets/Weidmuller%20PDFs/Pliers.pdf,-,281-6163-ND,9046350000,Weidmüller,PLIERS FLAT NOSE 6.3"",10,0,"46.65000","0","1","-","Active","Standard","Flat Nose","Straight","Serrated","Ergonomic, Insulated to 1000V, Non-Slip, Soft Grips","6.30"" (160.0mm)"
https://www.ideal-tek.com/public/doc/Ergo-tek-leaflet.pdf,//media.digikey.com/Photos/Ideal-Tek/MFG_ES6013.CR.BG.jpg,ES6013.CR.BG-1119-ND,ES6013.CR.BG,Ideal-tek S.A.,CUTTERS SLIM ESD HIGH PRESCION,18,0,"47.25000","0","1","-","Active","Electronics","Flat Nose","Straight","Smooth","ESD Safe","5.51"" (140.0mm)"
