Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Battery Type, Function","Style","Battery Cell Size","Number of Cells","Battery Series","Mounting Type","Termination Style","Height Above Board","Operating Temperature"
http://www.memoryprotectiondevices.com/datasheets/BS6I-MC-datasheet.pdf,//media.digikey.com/Photos/Memory%20Protection%20Photos/BS6I-MC.jpg,BS6I-MC-ND,BS6I-MC,MPD (Memory Protection Devices),BATTERY CONNECT SNAP 9V 6"" LEADS,8404,6200,"1.03000","0","1","-","Active","9V, Snap Connector","Connector, Snap","9V","1","-","Free Hanging","Wire Leads - 6"" (152.4mm)","-","-"
http://www.memoryprotectiondevices.com/datasheets/BU2450SM-JJ-GTR-datasheet.pdf,//media.digikey.com/Photos/Memory%20Protection%20Photos/BU2450SM-JJ-GTR.jpg,BU2450SM-JJ-GTR-ND,BU2450SM-JJ-GTR,MPD (Memory Protection Devices),BATTERY HOLDER COIN 24.5MM SMD,20500,24000,"1.04720","0","250","-","Active","Coin Cell, Holder","Holder (Open)","Coin, 24.5mm","1","2450","PCB, Surface Mount","SMD (SMT) Tab","0.276"" (7.01mm)","-40°C ~ 315°C"
http://www.memoryprotectiondevices.com/datasheets/BU2450SM-JJ-GTR-datasheet.pdf,//media.digikey.com/Photos/Memory%20Protection%20Photos/BU2450SM-JJ-GTR.jpg,BU2450SM-JJ-GCT-ND,BU2450SM-JJ-GTR,MPD (Memory Protection Devices),BATTERY HOLDER COIN 24.5MM SMD,20629,24245,"1.79000","0","1","-","Active","Coin Cell, Holder","Holder (Open)","Coin, 24.5mm","1","2450","PCB, Surface Mount","SMD (SMT) Tab","0.276"" (7.01mm)","-40°C ~ 315°C"
http://www.memoryprotectiondevices.com/datasheets/BU2450SM-JJ-GTR-datasheet.pdf,//media.digikey.com/Photos/Memory%20Protection%20Photos/BU2450SM-JJ-GTR.jpg,BU2450SM-JJ-GDKR-ND,BU2450SM-JJ-GTR,MPD (Memory Protection Devices),BATTERY HOLDER COIN 24.5MM SMD,20629,24245,"Digi-Reel","0","1","-","Active","Coin Cell, Holder","Holder (Open)","Coin, 24.5mm","1","2450","PCB, Surface Mount","SMD (SMT) Tab","0.276"" (7.01mm)","-40°C ~ 315°C"
http://www.memoryprotectiondevices.com/datasheets/BS12I-MC-datasheet.pdf,//media.digikey.com/Photos/Memory%20Protection%20Photos/BS6I-MC.jpg,BS12I-MC-ND,BS12I-MC,MPD (Memory Protection Devices),BATTERY CONNECT SNAP 9V 12"" LEAD,7109,9000,"1.14000","0","1","-","Active","9V, Snap Connector","Connector, Snap","9V","1","-","Free Hanging","Wire Leads - 12"" (304.8mm)","-","-"
http://www.memoryprotectiondevices.com/datasheets/BCAAAPC-datasheet.pdf,//media.digikey.com/Photos/Memory%20Protection%20Photos/BCAAAPC.JPG,BCAAAPC-ND,BCAAAPC,MPD (Memory Protection Devices),BATTERY HOLDER AAA PC PIN,1006,0,"1.14000","0","1","-","Active","Cylindrical, Holder","Holder (Open)","AAA","1","-","PCB, Through Hole","PC Pin","0.440"" (11.18mm)","-"
http://www.keyelco.com/product-pdf.cfm?p=1026,//media.digikey.com/photos/Keystone%20Elect%20Photos/2461.jpg,36-2461-ND,2461,Keystone Electronics,BATTERY HOLDER AA 6"" LEADS,27697,500,"1.16000","0","1","-","Active","Cylindrical, Holder","Holder (Open)","AA","1","-","Chassis Mount","Wire Leads - 6"" (152.4mm)","0.547"" (13.89mm)","-"
http://www.keyelco.com/product-pdf.cfm?p=1025,//media.digikey.com/photos/Keystone%20Elect%20Photos/2460.jpg,36-2460-ND,2460,Keystone Electronics,BATTERY HOLDER AA PC PIN,18355,45800,"1.16000","0","1","-","Active","Cylindrical, Holder","Holder (Open)","AA","1","-","PCB, Through Hole","PC Pin","0.547"" (13.89mm)","-"
http://www.keyelco.com/product-pdf.cfm?p=1031,//media.digikey.com/photos/Keystone%20Elect%20Photos/2466.jpg,36-2466-ND,2466,Keystone Electronics,BATTERY HOLDER AAA PC PIN,16178,0,"1.16000","0","1","-","Active","Cylindrical, Holder","Holder (Open)","AAA","1","-","PCB, Through Hole","PC Pin","0.500"" (12.70mm)","-"
http://www.memoryprotectiondevices.com/datasheets/BS-3-datasheet.pdf,//media.digikey.com/photos/Memory%20Protection%20Photos/BS-3.jpg,BS-3-ND,BS-3,MPD (Memory Protection Devices),BATTERY HOLDER COIN 20MM PC PIN,79569,82000,"1.18000","0","1","-","Active","Coin Cell, Holder","Holder (Open)","Coin, 20.0mm","1","2032","PCB, Through Hole","PC Pin","-","-55°C ~ 105°C"
http://www.memoryprotectiondevices.com/datasheets/BS-5-datasheet.pdf,//media.digikey.com/photos/Memory%20Protection%20Photos/BS-5.jpg,BS-5-ND,BS-5,MPD (Memory Protection Devices),BATTERY HOLDER COIN 20MM PC PIN,48402,0,"1.18000","0","1","-","Active","Coin Cell, Holder","Holder (Open)","Coin, 20.0mm","1","2032","PCB, Through Hole","PC Pin","0.700"" (17.78mm)","-55°C ~ 105°C"
http://www.memoryprotectiondevices.com/datasheets/BS-2450-datasheet.pdf,//media.digikey.com/Photos/Memory%20Protection%20Photos/MFG_BS-2450.jpg,BS-2450-ND,BS-2450,MPD (Memory Protection Devices),BATTERY HOLDER COIN PC PIN,20141,8300,"1.18000","0","1","-","Active","Coin Cell, Holder","Holder (Open)","Coin, 24.5mm","1","2450","PCB, Through Hole","PC Pin","0.360"" (9.14mm)","-55°C ~ 105°C"
http://www.memoryprotectiondevices.com/datasheets/BC501SM-datasheet.pdf,//media.digikey.com/Photos/Memory%20Protection%20Photos/BC501SM.JPG,BC501SM-TR-ND,BC501SM-TR,MPD (Memory Protection Devices),BATTERY HOLDER COIN 12MM SMD,13000,0,"1.19030","0","500","-","Active","Coin Cell, Holder","Holder (Open)","Coin, 12.0mm","1","1220","PCB, Surface Mount","SMD (SMT) Tab","0.157"" (4.00mm)","-40°C ~ 85°C"
http://www.memoryprotectiondevices.com/datasheets/BC501SM-datasheet.pdf,//media.digikey.com/Photos/Memory%20Protection%20Photos/BC501SM.JPG,BC501SM-TRCT-ND,BC501SM-TR,MPD (Memory Protection Devices),BATTERY HOLDER COIN 12MM SMD,13515,0,"2.17000","0","1","-","Active","Coin Cell, Holder","Holder (Open)","Coin, 12.0mm","1","1220","PCB, Surface Mount","SMD (SMT) Tab","0.157"" (4.00mm)","-40°C ~ 85°C"
http://www.memoryprotectiondevices.com/datasheets/BC501SM-datasheet.pdf,//media.digikey.com/Photos/Memory%20Protection%20Photos/BC501SM.JPG,BC501SM-TRDKR-ND,BC501SM-TR,MPD (Memory Protection Devices),BATTERY HOLDER COIN 12MM SMD,13525,0,"Digi-Reel","0","1","-","Active","Coin Cell, Holder","Holder (Open)","Coin, 12.0mm","1","1220","PCB, Surface Mount","SMD (SMT) Tab","0.157"" (4.00mm)","-40°C ~ 85°C"
