Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Tool Type","For Use With/Related Products","Specifications","Compatible Tools","Cable Group"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=408-9965&DocType=SS&DocLang=EN,//media.digikey.com/photos/Tyco%20Photos/90870-2.JPG,A9956-ND,90870-2,TE Application Tooling,"DIE SET FOR PROC III 30-28,26-24",2,0,"194.22000","0","1","Pro-Crimper III, Commercial .062"","Active","Die Set","Rectangular Contacts, 24-30 AWG","-","1213890-1, 1213890-2, 1490076-2, 354940-1, 679304-1, 9-1478240-0","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=408-9886&DocType=SS&DocLang=EN,//media.digikey.com/photos/Tyco%20Photos/90574-2.JPG,A9940-ND,90574-2,TE Application Tooling,TOOL DIESET 18-24AWG COM-MATE,10,0,"221.96000","0","1","Pro-Crimper III, Commercial MATE-N-LOK","Active","Die Set","Rectangular Contacts, 18-24 AWG","-","1213890-1, 1213890-2, 1490076-2, 354940-1, 679304-1, 9-1478240-0","-"
https://www.bulgin.com/products/pub/media/bulgin/data/4000_series_power.pdf,//media.digikey.com/Photos/Bulgin%20Photos/14025%5E5AMP.JPG,708-2073-ND,14025/1820,Bulgin,TOOL CRIMP POSITIONER,9,0,"259.19000","0","1","Buccaneer® 4000","Active","Positioner","Circular Contacts, 18-20 AWG","-","14025","-"
https://www.bulgin.com/products/pub/media/bulgin/data/4000_series_power.pdf,//media.digikey.com/Photos/Bulgin%20Photos/14025%5E2224.jpg,708-2074-ND,14025/2224,Bulgin,TOOL CRIMP POSITIONER,5,0,"259.19000","0","1","Buccaneer® 4000","Active","Positioner","Circular Contacts, 22-24 AWG","-","14025","-"
https://www.bulgin.com/products/pub/media/bulgin/data/4000_series_power.pdf,//media.digikey.com/Photos/Bulgin%20Photos/14025%5E1618.JPG,708-2072-ND,14025/1618,Bulgin,TOOL CRIMP POSITIONER,3,0,"259.19000","0","1","Buccaneer® 4000","Active","Positioner","Circular Contacts, 16-18 AWG","-","14025","-"
https://www.molex.com/pdm_docs/ats/ATS-6382328HM.pdf,//media.digikey.com/Photos/Molex/0638232870.JPG,WM4494-ND,0638232870,Molex,CRIMP HEAD FOR HAND CRIMP TOOL,2,0,"263.66000","0","1","PremiumGrade, Sabre","Active","Crimp Head","43375-3001","-","63816-0100, 63816-0200, 63823-2800","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=82021_CPC_sections1-5&DocType=CS&DocLang=English,//media.digikey.com/Photos/Tyco%20Photos/1-601967-6.jpg,1-601967-6-ND,1-601967-6,TE Application Tooling,TOOL TURRET FOR PINS 14AWG,2,0,"283.71000","0","1","Multimate II","Active","Turret Head","Contacts, 14-32 AWG","-","58305-1, 601967-1, 45098, 90136-1, 2031846-1","-"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=1212240,//media.digikey.com/Photos/Phoenix%20Photos/1212240.JPG,277-12739-ND,1212240,Phoenix Contact,MACHINE CRIMP ACCY,2,0,"318.98000","0","1","-","Active","Die Set","Terminals, 10-20 AWG","-","1208351","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=408-8691&DocType=SS&DocLang=EN,//media.digikey.com/Photos/Tyco%20Photos/1490413-1.jpg,1490413-1-ND,1490413-1,TE Application Tooling,NEST U-DIE SOLISTRAND #8,5,0,"388.50000","0","1","Solistrand, Strato-Therm","Active","Nest","Terminals, 8 AWG","-","1490745-1, 1490746-1, 1490747-1, 1490748-1, 1490749-1, 1901820-1, 1901821-1, 1976230-1","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=408-8691&DocType=SS&DocLang=EN,//media.digikey.com/Photos/Tyco%20Amp%20Photos/1490413-2.jpg,1490413-2-ND,1490413-2,TE Application Tooling,TOOL NEST U-DIE SOLISTRAND #6,5,0,"388.50000","0","1","Solistrand, Strato-Therm","Active","Nest","Terminals, 6 AWG","-","1490745-1, 1490746-1, 1490747-1, 1490748-1, 1490749-1, 1901820-1, 1901821-1, 1976230-1","-"
