Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Connector Type","Length","Cable Type","Color","Shielding","Usage"
https://www.winchesterelectronics.com/wp-content/uploads/2015/12/patchcord_mid_flex_K-9075.pdf,-,K-9075-024-09-ND,K-9075-024-09,Winchester Interconnect,PATCH CORD MID SZ 2' WHITE,0,0,"19.43000","0","1","KINGS® K-9075","Active","DIN (5.08mm Dia) Male to DIN (5.08mm Dia) Male","2.00' (609.60mm)","Round","White","Unshielded","Patch"
https://www.winchesterelectronics.com/wp-content/uploads/2015/12/patchcord_mid_flex_K-9075.pdf,-,K-9075-024-10-ND,K-9075-024-10,Winchester Interconnect,PATCH CORD MID SZ 2' BLACK,0,0,"19.43000","0","1","KINGS® K-9075","Active","DIN (5.08mm Dia) Male to DIN (5.08mm Dia) Male","2.00' (609.60mm)","Round","Black","Unshielded","Patch"
http://www.switchcraft.com/Documents/EDG4.pdf#page=271,-,SC3650-ND,VP1GYX,Switchcraft Inc.,PATCHCORD VIDEO STD 1' GRAY,0,0,"19.59000","0","1","VP","Active","WECo Male to WECo Male","1.00' (304.80mm)","Round","Gray","Unshielded","Patch"
-,-,BEL9385-ND,HDM001MB,Belden Inc.,1000+/-20MM MINI HDMICBLASSEMB,0,0,"19.65000","0","1","*","Active","-","-","-","-","-","-"
-,-,BEL11417-ND,HDE006FB,Belden Inc.,6FT HS HDMI W/ENET CBLASSEMBL,0,0,"19.65000","0","1","*","Active","-","-","-","-","-","-"
https://assets.tripplite.com/product-pdfs/en/p569016cl3.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_P569-016-CL3.jpg,P569-016-CL3-ND,P569-016-CL3,Tripp Lite,HIGH-SPEED HDMI CABLE WITH ETHER,0,0,"19.73000","0","1","-","Active","HDMI-A Male to HDMI-A Male","16.0' (4.88m)","Round","Black","Shielded","High Definition Multimedia Interface"
https://www.winchesterelectronics.com/wp-content/uploads/2015/12/rfcatalog_web.pdf,-,K-8845-012-01-ND,K-8845-012-01,Winchester Interconnect,PATCH CORD STD SZ 1' BRN,0,0,"19.98000","0","1","KINGS® 8845","Active","DIN (5.08mm Dia) Male to DIN (5.08mm Dia) Male","1.00' (304.80mm)","Round","Brown","Unshielded","Patch"
https://www.winchesterelectronics.com/wp-content/uploads/2015/12/rfcatalog_web.pdf,-,K-8845-012-02-ND,K-8845-012-02,Winchester Interconnect,PATCH CORD STD SZ 1' RED,0,0,"19.98000","0","1","KINGS® 8845","Active","DIN (5.08mm Dia) Male to DIN (5.08mm Dia) Male","1.00' (304.80mm)","Round","Red","Unshielded","Patch"
https://www.winchesterelectronics.com/wp-content/uploads/2015/12/rfcatalog_web.pdf,-,K-8845-012-03-ND,K-8845-012-03,Winchester Interconnect,PATCH CORD STD SZ 1' ORANGE,0,0,"19.98000","0","1","KINGS® 8845","Active","DIN (5.08mm Dia) Male to DIN (5.08mm Dia) Male","1.00' (304.80mm)","Round","Orange","Unshielded","Patch"
https://www.winchesterelectronics.com/wp-content/uploads/2015/12/rfcatalog_web.pdf,-,K-8845-012-04-ND,K-8845-012-04,Winchester Interconnect,PATCH CORD STD SZ 1' YELLOW,0,0,"19.98000","0","1","KINGS® 8845","Active","DIN (5.08mm Dia) Male to DIN (5.08mm Dia) Male","1.00' (304.80mm)","Round","Yellow","Unshielded","Patch"
