Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Frequency Range","Type","Current Rating (Amps)","Inductance","ET (Volt-Time)","Turns Ratio - Primary:Secondary","Current Ratio","DC Resistance (DCR)","Ratings","Mounting Type","Size / Dimension","Height - Seated (Max)","Termination Style"
http://www.crmagnetics.com/Products/Assets/ProductPDFs/CR8300%20Series.pdf,"//media.digikey.com/photos/CR%20Magnetics%20Photos/CR8349-1500,%20CR8349-2500-N.jpg",582-1013-ND,CR8349-2500-N,CR Magnetics Inc.,CURR SENSE XFMR 75A T/H,1416,0,"13.13000","0","1","Bulk","CR8300","Active","20Hz ~ 1kHz","Non-Invasive (Solid Core)","75A","-","-","-","2500:1","190Ohm","-","Through Hole","1.024"" L x 0.670"" W (26.00mm x 17.00mm)","1.102"" (28.00mm)","PC Pin"
http://www.crmagnetics.com/Assets/ProductPDFs/cur_I_a.pdf,//media.digikey.com/Photos/CR%20Magnetics%20Photos/MODEL_19-230.JPG,582-1037-ND,MODEL 19,CR Magnetics Inc.,CURR SENSE XFMR IN-LINE,260,0,"13.27000","0","1","Bulk","PH","Active","50Hz ~ 1kHz","Non-Invasive (Solid Core)","-","-","-","-","-","-","-","Free Hanging (In-Line)","1.039"" L x 0.949"" W (26.40mm x 24.10mm)","0.461"" (11.70mm)","Wire Leads"
http://www.crmagnetics.com/Assets/ProductPDFs/CR8400%20Series.pdf,//media.digikey.com/Photos/CR%20Magnetics%20Photos/CR8420-1000.jpg,582-1162-ND,CR8420-1000,CR Magnetics Inc.,CURR SENSE XFMR 50A IN-LINE,137,0,"13.70000","0","1","Bulk","CR8400","Active","20Hz ~ 1kHz","Non-Invasive (Solid Core)","50A","-","-","-","1000:1","22Ohm","-","Free Hanging (In-Line)","1.417"" L x 1.181"" W (36.00mm x 30.00mm)","0.362"" (9.20mm)","Wire Leads"
http://www.crmagnetics.com/Assets/ProductPDFs/CR8400%20Series.pdf,//media.digikey.com/photos/CR%20Magnetics%20Photos/CR8450-1000.JPG,582-1179-ND,CR8450-1000,CR Magnetics Inc.,CURR SENSE XFMR 100A IN-LINE,1223,0,"13.84000","0","1","Bulk","CR8400","Active","20Hz ~ 1kHz","Non-Invasive (Solid Core)","100A","-","-","-","1000:1","21Ohm","-","Free Hanging (In-Line)","1.700"" L x 1.450"" W (43.18mm x 36.83mm)","0.550"" (13.97mm)","Wire Leads"
http://www.crmagnetics.com/Products/Assets/ProductPDFs/CR8300%20Series.pdf,//media.digikey.com/photos/CR%20Magnetics%20Photos/CR8349-1000-N.JPG,582-1084-ND,CR8349-1000-N,CR Magnetics Inc.,CURR SENSE XFMR 50A T/H,1030,0,"14.61000","0","1","Bulk","CR8300","Active","20Hz ~ 1kHz","Non-Invasive (Solid Core)","50A","-","-","-","1000:1","32Ohm","-","Through Hole","1.024"" L x 0.670"" W (26.00mm x 17.00mm)","1.102"" (28.00mm)","PC Pin"
http://www.crmagnetics.com/Assets/ProductPDFs/CR8400%20Series.pdf,//media.digikey.com/photos/CR%20Magnetics%20Photos/CR8420-1000-G.jpg,582-1018-ND,CR8420-1000-G,CR Magnetics Inc.,CURR SENSE XFMR 20A IN-LINE,4756,0,"15.31000","0","1","Bulk","CR8400","Active","20Hz ~ 1kHz","Non-Invasive (Solid Core)","20A","-","-","-","1000:1","44Ohm","-","Free Hanging (In-Line)","1.417"" L x 1.181"" W (36.00mm x 30.00mm)","0.362"" (9.20mm)","Wire Leads"
http://www.crmagnetics.com/Assets/ProductPDFs/CR3100.pdf,//media.digikey.com/photos/CR%20Magnetics%20Photos/CR3110-3000.jpg,582-1004-ND,CR3110-3000,CR Magnetics Inc.,CURR SENSE XFMR IN-LINE,2724,0,"16.55000","0","1","Bulk","CR3100","Active","20Hz ~ 1kHz","Non-Invasive (Split Core)","-","-","-","-","-","515mOhm","-","Free Hanging (In-Line)","1.004"" L x 1.043"" W (25.50mm x 26.50mm)","1.575"" (40.00mm)","Wire Leads"
http://www.crmagnetics.com/Products/Assets/ProductPDFs/CR8300%20Series.pdf,//media.digikey.com/photos/CR%20Magnetics%20Photos/CR8350-2500-N.jpg,582-1015-ND,CR8350-2500-N,CR Magnetics Inc.,CURR SENSE XFMR 100A T/H,940,0,"17.54000","0","1","Bulk","CR8300","Active","20Hz ~ 1kHz","Non-Invasive (Solid Core)","100A","-","-","-","2500:1","57Ohm","-","Through Hole","1.476"" L x 0.551"" W (37.50mm x 14.00mm)","1.535"" (39.00mm)","PC Pin"
http://www.crmagnetics.com/Assets/ProductPDFs/CR3100.pdf,//media.digikey.com/Photos/CR%20Magnetics%20Photos/CR3111-3000.jpg,582-1178-ND,CR3111-3000,CR Magnetics Inc.,CURR SENSE XFMR 100A IN-LINE,194,0,"19.47000","0","1","Bulk","CR3100","Active","20Hz ~ 1kHz","Non-Invasive (Split Core)","100A","-","-","-","-","390Ohm","-","Free Hanging (In-Line)","1.236"" L x 1.220"" W (31.40mm x 31.00mm)","1.772"" (45.00mm)","Wire Leads"
http://www.crmagnetics.com/Assets/ProductPDFs/CR8400%20Series.pdf,//media.digikey.com/photos/CR%20Magnetics%20Photos/CR8459-2000-N.jpg,582-1019-ND,CR8459-2000-N,CR Magnetics Inc.,CURR SENSE XFMR 200A IN-LINE,614,0,"22.57000","0","1","Bulk","CR8400","Active","20Hz ~ 1kHz","Non-Invasive (Solid Core)","200A","-","-","-","2000:1","74Ohm","-","Free Hanging (In-Line)","2.362"" L x 1.890"" W (60.00mm x 48.00mm)","0.689"" (17.50mm)","Wire Leads"
