Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Inductance","For Use With/Related Products","Mounting Type","Size / Dimension","Height - Seated (Max)"
http://www.excelitas.com/Downloads/DTS_TR180BExternalTriggerTransformer.pdf,//media.digikey.com/Photos/Excelitas%20Cermax/202-0180B.jpg,202-0180B-ND,202-0180B,Excelitas Technologies,TRANSFORMER TR-180B TRIGGER,35,0,"148.40000","0","1","-","Active","-","-","Free Hanging","0.984"" Dia (25.00mm)","-"
http://www.excelitas.com/downloads/ZS1052H.pdf,//media.digikey.com/Photos/Excelitas%20Cermax/ZS1052%28H%29.JPG,ZS1052(H)-ND,ZS1052(H),Excelitas Technologies,TRIGGER COIL,2107,0,"2.05000","0","1","-","Active","20µH","Xenon Flash","Through Hole","0.315"" L x 0.630"" W (8.00mm x 16.00mm)","0.315"" (8.00mm)"
https://www.murata-ps.com/data/magnetics/kmp_78250.pdf,//media.digikey.com/Photos/Murata%20Photos/78250S-SERIES.jpg,811-3530-2-ND,78250MC-R,Murata Power Solutions Inc.,XFRMR MAX250 1.5KVDC 2.5 MH SMD,500,0,"2.10000","0","500","78250","Not For New Designs","2mH","MAX250/MAX251","Surface Mount","0.354"" L x 0.375"" W (9.00mm x 9.52mm)","0.250"" (6.35mm)"
https://www.murata-ps.com/data/magnetics/kmp_78250.pdf,//media.digikey.com/Photos/Murata%20Photos/78250S-SERIES.jpg,811-3530-1-ND,78250MC-R,Murata Power Solutions Inc.,XFRMR MAX250 1.5KVDC 2.5 MH SMD,565,0,"3.89000","0","1","78250","Not For New Designs","2mH","MAX250/MAX251","Surface Mount","0.354"" L x 0.375"" W (9.00mm x 9.52mm)","0.250"" (6.35mm)"
https://www.murata-ps.com/data/magnetics/kmp_78250.pdf,//media.digikey.com/Photos/Murata%20Photos/78250S-SERIES.jpg,811-3530-6-ND,78250MC-R,Murata Power Solutions Inc.,XFRMR MAX250 1.5KVDC 2.5 MH SMD,565,0,"Digi-Reel","0","1","78250","Not For New Designs","2mH","MAX250/MAX251","Surface Mount","0.354"" L x 0.375"" W (9.00mm x 9.52mm)","0.250"" (6.35mm)"
http://productfinder.pulseeng.com/products/datasheets/P708.pdf,//media.digikey.com/Photos/Pulse%20Photos/PH9185.jpg,553-2052-2-ND,PH9185.011NLT,Pulse Electronics Power,TRANSFORMER 750UH 1:1 SMD,1650,0,"2.32900","0","150","PH9185","Active","750µH","MAX253","Surface Mount","0.394"" L x 0.394"" W (10.00mm x 10.00mm)","0.492"" (12.50mm)"
http://productfinder.pulseeng.com/products/datasheets/P708.pdf,//media.digikey.com/Photos/Pulse%20Photos/PH9185.jpg,553-2052-1-ND,PH9185.011NLT,Pulse Electronics Power,TRANSFORMER 750UH 1:1 SMD,1902,0,"4.37000","0","1","PH9185","Active","750µH","MAX253","Surface Mount","0.394"" L x 0.394"" W (10.00mm x 10.00mm)","0.492"" (12.50mm)"
http://productfinder.pulseeng.com/products/datasheets/P708.pdf,//media.digikey.com/Photos/Pulse%20Photos/PH9185.jpg,553-2052-6-ND,PH9185.011NLT,Pulse Electronics Power,TRANSFORMER 750UH 1:1 SMD,1902,0,"Digi-Reel","0","1","PH9185","Active","750µH","MAX253","Surface Mount","0.394"" L x 0.394"" W (10.00mm x 10.00mm)","0.492"" (12.50mm)"
http://productfinder.pulseeng.com/products/datasheets/P708.pdf,//media.digikey.com/Photos/Pulse%20Photos/PH9185.jpg,553-2053-2-ND,PH9185.012NLT,Pulse Electronics Power,TRANSFORMER 450UH 1:2 SMD,300,0,"2.32900","0","150","PH9185","Active","450µH","MAX253","Surface Mount","0.394"" L x 0.394"" W (10.00mm x 10.00mm)","0.492"" (12.50mm)"
http://productfinder.pulseeng.com/products/datasheets/P708.pdf,//media.digikey.com/Photos/Pulse%20Photos/PH9185.jpg,553-2053-1-ND,PH9185.012NLT,Pulse Electronics Power,TRANSFORMER 450UH 1:2 SMD,330,0,"4.37000","0","1","PH9185","Active","450µH","MAX253","Surface Mount","0.394"" L x 0.394"" W (10.00mm x 10.00mm)","0.492"" (12.50mm)"
http://productfinder.pulseeng.com/products/datasheets/P708.pdf,//media.digikey.com/Photos/Pulse%20Photos/PH9185.jpg,553-2053-6-ND,PH9185.012NLT,Pulse Electronics Power,TRANSFORMER 450UH 1:2 SMD,330,0,"Digi-Reel","0","1","PH9185","Active","450µH","MAX253","Surface Mount","0.394"" L x 0.394"" W (10.00mm x 10.00mm)","0.492"" (12.50mm)"
http://productfinder.pulseeng.com/products/datasheets/P708.pdf,//media.digikey.com/Photos/Pulse%20Photos/PH9185.jpg,553-2054-2-ND,PH9185.013NLT,Pulse Electronics Power,TRANSFORMER 200UH 1:3 SMD,300,0,"2.32900","0","150","PH9185","Active","200µH","MAX253","Surface Mount","0.394"" L x 0.394"" W (10.00mm x 10.00mm)","0.492"" (12.50mm)"
http://productfinder.pulseeng.com/products/datasheets/P708.pdf,//media.digikey.com/Photos/Pulse%20Photos/PH9185.jpg,553-2054-1-ND,PH9185.013NLT,Pulse Electronics Power,TRANSFORMER 200UH 1:3 SMD,334,0,"4.37000","0","1","PH9185","Active","200µH","MAX253","Surface Mount","0.394"" L x 0.394"" W (10.00mm x 10.00mm)","0.492"" (12.50mm)"
http://productfinder.pulseeng.com/products/datasheets/P708.pdf,//media.digikey.com/Photos/Pulse%20Photos/PH9185.jpg,553-2054-6-ND,PH9185.013NLT,Pulse Electronics Power,TRANSFORMER 200UH 1:3 SMD,334,0,"Digi-Reel","0","1","PH9185","Active","200µH","MAX253","Surface Mount","0.394"" L x 0.394"" W (10.00mm x 10.00mm)","0.492"" (12.50mm)"
https://www.murata-ps.com/data/magnetics/kmp_78250.pdf,//media.digikey.com/Photos/Murata%20Photos/78250S-SERIES.jpg,811-1276-5-ND,78250MC,Murata Power Solutions Inc.,XFRMR MAX250 1.5KVDC 2.5 MH SMD,7966,0,"2.66000","0","1","78250","Not For New Designs","2mH","MAX250, MAX251","Surface Mount","0.354"" L x 0.375"" W (9.00mm x 9.52mm)","0.260"" (6.60mm)"
https://www.murata-ps.com/data/magnetics/kmp_78253j.pdf,//media.digikey.com/Photos/Murata%20Photos/DA103MC.JPG,811-2416-ND,78253/55JVC,Murata Power Solutions Inc.,XFRMR 1:1.33 4KV SMD MAX253,5556,0,"3.43000","0","1","78253J","Active","360µH","MAX253","Surface Mount","0.354"" L x 0.375"" W (9.00mm x 9.52mm)","0.260"" (6.60mm)"
https://www.murata-ps.com/data/magnetics/kmp_78250.pdf,//media.digikey.com/Photos/Murata%20Photos/78250T-SERIES.jpg,811-1274-5-ND,78250VC,Murata Power Solutions Inc.,XFRMR MAX250 4KVDC 2.5 MH DIP,775,0,"3.43000","0","1","78250","Active","2mH","MAX250, MAX251","Through Hole","0.354"" L x 0.375"" W (9.00mm x 9.52mm)","0.260"" (6.60mm)"
http://productfinder.pulseeng.com/products/datasheets/P708.pdf,//media.digikey.com/Photos/Pulse%20Photos/PH9185.jpg,553-2686-ND,PH9185.012NL,Pulse Electronics Power,TRANSFORMER 450UH 1:2 SMD,1315,0,"3.97000","0","1","PH9185","Active","450µH","MAX253","Surface Mount","0.394"" L x 0.394"" W (10.00mm x 10.00mm)","0.492"" (12.50mm)"
//media.digikey.com/pdf/Data%20Sheets/Pulse%20PDFs/PE-65x12_Rev2006.pdf,//media.digikey.com/Photos/Pulse%20Photos/MFG_PE-65812NL.JPG,553-1578-5-ND,PE-65812NL,Pulse Electronics Network,XFRMR DIGITAL AUDIO 1:1 2.5MH,1450,1240,"4.73000","0","1","-","Active","2.5mH","-","Surface Mount","0.475"" L x 0.460"" W (12.07mm x 11.68mm)","0.340"" (8.64mm)"
