Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Applications","Edition","License Length","License - User Details","Operating System","For Use With/Related Products","Media Delivery Type"
https://www.panduit.com/content/dam/panduit/en/products/assets/c/c2/c20/c200/c200x400a51/media/D-IDCB61--SA-ENG-ArcFlashLabelingSolutions.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/PROG-EM2GO.jpg,298-13059-ND,PROG-EM2GO,Panduit Corp,EASY-MARK LABEL SOFTWR USB FLASH,1,0,"349.80000","0","1","-","Active","Labeling Software","-","-","-","-","Windows","Easy-Mark™","CD/DVD"
http://cache.freescale.com/files/soft_dev_tools/doc/fact_sheet/BRCWPPI.pdf,//media.digikey.com/photos/NoPhoto/NoPhoto.jpg,CWT-PRO-ND,CWT-PRO,NXP USA Inc.,SUPPORT TECH CW PRO SUITE,1,0,"1057.19000","0","1","CodeWarrior™","Active","Tech Support","Programming","Professional","1 Year Renewal","-","-","Code Warrior™ Software","-"
http://www.literature.molex.com/SQLImages/kelmscott/Molex/PDF_Images/987651-4162.pdf,-,WM21395-ND,1120270005,Molex,SERV:ETHERNET:S/W:SERIAL:1000:SK,1,0,"1145.97000","0","1","-","Active","License","-","-","-","-","-","-","-"
http://www.literature.molex.com/SQLImages/kelmscott/Molex/PDF_Images/987651-4162.pdf,-,WM21396-ND,1120270006,Molex,SERV:ETHERNET:S/W:SERIAL:1000:UK,1,0,"1145.97000","0","1","-","Active","License","-","-","-","-","-","-","-"
https://www.renesas.com/en-us/doc/products/tool/doc/010/r20ut4191ee0100-e2-610-n.pdf,-,YRX-E2STUDIO-PRO-1U-ND,YRX-E2STUDIO-PRO-1U,Renesas Electronics America,CCRX PROFESSIONAL E2 STUDIO INST,0,0,"1222.98000","0","1","-","Active","Integrated Development Environment (IDE)","Programming","-","-","-","-","Renesas","-"
http://www.literature.molex.com/SQLImages/kelmscott/Molex/PDF_Images/987651-4162.pdf,-,WM21394-ND,1120270003,Molex,SERV:ETHERNET:S/W:SERIAL:FULL:UK,1,0,"1637.10000","0","1","-","Active","License","-","-","-","-","-","-","-"
-,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2700192.jpg,LIB-G-PC-A-N-USB-ND,LIB-G-PC-A-N-USB,Microsemi Corporation,GOLD ARCHIVAL LICENSE LOCKED,0,0,"3060.00000","0","1","Libero® SoC Design Suite","Active","Integrated Development Environment (IDE)","-","Gold","20 Years","USB Dongle","-","-","Electronically Delivered"
-,//media.digikey.com/Photos/CD/CD.jpg,SW163051-ND,SW163051,Microchip Technology,AUTHENTICATION BATTERY PIC10/16,0,0,"5.00000","0","1","-","Active","Battery Authentication","Authentication","-","-","-","-","PIC10, PIC16","Electronically Delivered"
-,-,SW163052-ND,SW163052,Microchip Technology,KIT KEELOQ ADVANCED ENCRYPTION,0,0,"5.00000","0","25","KEELOQ®","Active","KeeLoq Security Algorithms","Authentication","-","-","-","-","KeeLoq 3 Development Kit","Electronically Delivered"
-,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2700192.jpg,DRM-EDN-CSM-1YR-ND,DRM-EDN-CSM-1YR,Digi International,SECURITY MONITOR EDITION-1YR,0,0,"12.00000","0","1","-","Active","License","-","-","1 Year","-","-","-","Electronically Delivered"
-,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2700192.jpg,DRM-EDN-DHM-1YR-ND,DRM-EDN-DHM-1YR,Digi International,DEVICE HEALTH MONITOR EDITION-1Y,0,0,"12.00000","0","1","-","Active","License","-","-","1 Year","-","-","-","Electronically Delivered"
