Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status"
-,-,NLA16T245DTR2G-ND,NLA16T245DTR2G,ON Semiconductor,IC LOGIC SMD,0,0,"Last Time Buy","0","0","*","Last Time Buy"
-,-,NLU3G16EMUTCG-ND,NLU3G16EMUTCG,ON Semiconductor,IC LOGIC SMD,0,0,"Last Time Buy","0","0","*","Last Time Buy"
-,-,NLU3G16FMUTCG-ND,NLU3G16FMUTCG,ON Semiconductor,IC LOGIC SMD,0,0,"Last Time Buy","0","0","*","Last Time Buy"
-,-,NLX2G32DMUTCG-ND,NLX2G32DMUTCG,ON Semiconductor,IC LOGIC SMD,0,0,"Last Time Buy","0","0","*","Last Time Buy"
-,-,SC14011BDR2G-ND,SC14011BDR2G,ON Semiconductor,IC PLL CLOCK DRIVER,0,0,"Last Time Buy","0","0","*","Last Time Buy"
-,-,MCP6141-E/SNVAO-ND,MCP6141-E/SNVAO,Microchip Technology,SINGLE 1.6V 100 KHZ OP E TEMP,0,0,"Active","0","0","*","Active"
-,-,MCP6N16-001E/MSVAO-ND,MCP6N16-001E/MSVAO,Microchip Technology,SINGLE ZERO-DRIFT INSTRUMENTATIO,0,0,"Active","0","0","*","Active"
-,-,SCY34151DR2G-ND,SCY34151DR2G,ON Semiconductor,IC OP AMP SOIC,0,0,"Last Time Buy","0","0","*","Last Time Buy"
-,-,NLX2G16CMUTCG-ND,NLX2G16CMUTCG,ON Semiconductor,IC LOGIC SMD,0,0,"Last Time Buy","0","0","*","Last Time Buy"
-,-,LC01707LF-CL-MPB-H-ND,LC01707LF-CL-MPB-H,ON Semiconductor,IC FM DATA TUNER,0,0,"Last Time Buy","0","0","*","Last Time Buy"
-,-,MCP6032T-E/MSVAO-ND,MCP6032T-E/MSVAO,Microchip Technology,DUAL 1.8V 10KHZ OP AMP E TEMP,0,0,"Active","0","0","*","Active"
-,-,LC01707LF-TLM-H-ND,LC01707LF-TLM-H,ON Semiconductor,IC FM DATA TUNER,0,0,"Last Time Buy","0","0","*","Last Time Buy"
-,-,PCA9511ADMR2G-ND,PCA9511ADMR2G,ON Semiconductor,IC BUFF I2C/SMBUS HOTSWAP MICRO8,0,0,"Last Time Buy","0","0","*","Last Time Buy"
-,-,NLX2G17AMUTCG-ND,NLX2G17AMUTCG,ON Semiconductor,IC LOGIC SMD,0,0,"Last Time Buy","0","0","*","Last Time Buy"
-,-,SC14051BDR2G-ND,SC14051BDR2G,ON Semiconductor,IC PLL CLOCK DRIVER,0,0,"Last Time Buy","0","0","*","Last Time Buy"
-,-,MCP6032-E/MSVAO-ND,MCP6032-E/MSVAO,Microchip Technology,DUAL 1.8V 10KHZ OP AMP E TEMP,0,0,"Active","0","0","*","Active"
-,-,SC14046BDWR2G-ND,SC14046BDWR2G,ON Semiconductor,IC PLL CLOCK DRIVER,0,0,"Last Time Buy","0","0","*","Last Time Buy"
-,-,MCP6N16-100E/MSVAO-ND,MCP6N16-100E/MSVAO,Microchip Technology,SINGLE ZERO-DRIFT INSTRUMENTATIO,0,0,"Active","0","0","*","Active"
-,-,SC14046BDWG-ND,SC14046BDWG,ON Semiconductor,IC PLL CLOCK DRIVER,0,0,"Last Time Buy","0","0","*","Last Time Buy"
-,-,MCP6541T-E/OTVAO-ND,MCP6541T-E/OTVAO,Microchip Technology,SINGLE 1.6V PUSH/PULL COMPARATOR,0,0,"Active","0","0","*","Active"
-,-,MCP6N16-010E/MSVAO-ND,MCP6N16-010E/MSVAO,Microchip Technology,SINGLE ZERO-DRIFT INSTRUMENTATIO,0,0,"Active","0","0","*","Active"
-,-,MCP6V12T-E/MSVAO-ND,MCP6V12T-E/MSVAO,Microchip Technology,DUAL ZERO-DRIFT OP AMP E TEMP,0,0,"Active","0","0","*","Active"
-,-,MCP6V32T-E/MSVAO-ND,MCP6V32T-E/MSVAO,Microchip Technology,DUAL ZERO-DRIFT OP AMP E TEMP,0,0,"Active","0","0","*","Active"
-,-,MCP6N16T-001E/MSVAO-ND,MCP6N16T-001E/MSVAO,Microchip Technology,SINGLE ZERO-DRIFT INSTRUMENTATIO,0,0,"Active","0","0","*","Active"
-,-,MCP6V82T-E/MSVAO-ND,MCP6V82T-E/MSVAO,Microchip Technology,DUAL ZERO-DRIFT OP AMP E TEMP,0,0,"Active","0","0","*","Active"
-,-,MCP6V14T-E/STVAO-ND,MCP6V14T-E/STVAO,Microchip Technology,QUAD ZERO-DRIFT OP AMP E TEMP,0,0,"Active","0","0","*","Active"
-,-,MCP6N16T-100E/MSVAO-ND,MCP6N16T-100E/MSVAO,Microchip Technology,SINGLE ZERO-DRIFT INSTRUMENTATIO,0,0,"Active","0","0","*","Active"
