Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Capacitance","Tolerance","Voltage - Rated","Mounting Type","Package / Case","Operating Temperature","Features","Size / Dimension","Height - Seated (Max)"
http://datasheets.avx.com/Accu-P.pdf,//media.digikey.com/Renders/AVX%20Renders/0402-(1005-Metric)-Accu-P-Series.jpg,478-4401-1-ND,04023J1R1ABSTR,AVX Corporation,CAP THIN FILM 1.1PF 25V 0402,8647,0,"0.97000","0","1","Cut Tape (CT)","Accu-P®","Active","1.1pF","±0.05pF","25V","Surface Mount","0402 (1005 Metric)","-55°C ~ 125°C","RF, High Q, Low Loss","0.039"" L x 0.022"" W (1.00mm x 0.55mm)","0.020"" (0.50mm)"
http://datasheets.avx.com/Accu-P.pdf,//media.digikey.com/Renders/AVX%20Renders/0402-(1005-Metric)-Accu-P-Series.jpg,478-4401-6-ND,04023J1R1ABSTR,AVX Corporation,CAP THIN FILM 1.1PF 25V 0402,8647,0,"Digi-Reel","0","1","Digi-Reel®","Accu-P®","Active","1.1pF","±0.05pF","25V","Surface Mount","0402 (1005 Metric)","-55°C ~ 125°C","RF, High Q, Low Loss","0.039"" L x 0.022"" W (1.00mm x 0.55mm)","0.020"" (0.50mm)"
http://datasheets.avx.com/Accu-P.pdf,//media.digikey.com/Renders/AVX%20Renders/0402-(1005-Metric)-Accu-P-Series.jpg,478-7407-2-ND,04023J1R8BBSTR,AVX Corporation,CAP THIN FILM 1.8PF 25V 0402,5000,0,"0.22440","0","500","Tape & Reel (TR)","Accu-P®","Active","1.8pF","±0.1pF","25V","Surface Mount","0402 (1005 Metric)","-55°C ~ 125°C","RF, High Q, Low Loss","0.039"" L x 0.022"" W (1.00mm x 0.55mm)","0.016"" (0.40mm)"
http://datasheets.avx.com/Accu-P.pdf,//media.digikey.com/Renders/AVX%20Renders/0402-(1005-Metric)-Accu-P-Series.jpg,478-7407-1-ND,04023J1R8BBSTR,AVX Corporation,CAP THIN FILM 1.8PF 25V 0402,5304,0,"0.75000","0","1","Cut Tape (CT)","Accu-P®","Active","1.8pF","±0.1pF","25V","Surface Mount","0402 (1005 Metric)","-55°C ~ 125°C","RF, High Q, Low Loss","0.039"" L x 0.022"" W (1.00mm x 0.55mm)","0.016"" (0.40mm)"
http://datasheets.avx.com/Accu-P.pdf,//media.digikey.com/Renders/AVX%20Renders/0402-(1005-Metric)-Accu-P-Series.jpg,478-7407-6-ND,04023J1R8BBSTR,AVX Corporation,CAP THIN FILM 1.8PF 25V 0402,5304,0,"Digi-Reel","0","1","Digi-Reel®","Accu-P®","Active","1.8pF","±0.1pF","25V","Surface Mount","0402 (1005 Metric)","-55°C ~ 125°C","RF, High Q, Low Loss","0.039"" L x 0.022"" W (1.00mm x 0.55mm)","0.016"" (0.40mm)"
http://datasheets.avx.com/Accu-P.pdf,//media.digikey.com/Renders/AVX%20Renders/0402-(1005-Metric)-Accu-P-Series.jpg,478-4407-2-ND,04023J1R7ABSTR,AVX Corporation,CAP THIN FILM 1.7PF 25V 0402,5000,0,"0.26100","0","5000","Tape & Reel (TR)","Accu-P®","Active","1.7pF","±0.05pF","25V","Surface Mount","0402 (1005 Metric)","-55°C ~ 125°C","RF, High Q, Low Loss","0.039"" L x 0.022"" W (1.00mm x 0.55mm)","0.020"" (0.50mm)"
http://datasheets.avx.com/Accu-P.pdf,//media.digikey.com/Renders/AVX%20Renders/0402-(1005-Metric)-Accu-P-Series.jpg,478-4407-1-ND,04023J1R7ABSTR,AVX Corporation,CAP THIN FILM 1.7PF 25V 0402,8350,0,"0.88000","0","1","Cut Tape (CT)","Accu-P®","Active","1.7pF","±0.05pF","25V","Surface Mount","0402 (1005 Metric)","-55°C ~ 125°C","RF, High Q, Low Loss","0.039"" L x 0.022"" W (1.00mm x 0.55mm)","0.020"" (0.50mm)"
http://datasheets.avx.com/Accu-P.pdf,//media.digikey.com/Renders/AVX%20Renders/0402-(1005-Metric)-Accu-P-Series.jpg,478-4407-6-ND,04023J1R7ABSTR,AVX Corporation,CAP THIN FILM 1.7PF 25V 0402,8350,0,"Digi-Reel","0","1","Digi-Reel®","Accu-P®","Active","1.7pF","±0.05pF","25V","Surface Mount","0402 (1005 Metric)","-55°C ~ 125°C","RF, High Q, Low Loss","0.039"" L x 0.022"" W (1.00mm x 0.55mm)","0.020"" (0.50mm)"
http://datasheets.avx.com/Accu-P.pdf,//media.digikey.com/Renders/AVX%20Renders/0402-(1005-Metric)-Accu-P-Series.jpg,478-4402-2-ND,04023J1R2ABSTR,AVX Corporation,CAP THIN FILM 1.2PF 25V 0402,10000,0,"0.27225","0","5000","Tape & Reel (TR)","Accu-P®","Active","1.2pF","±0.05pF","25V","Surface Mount","0402 (1005 Metric)","-55°C ~ 125°C","RF, High Q, Low Loss","0.039"" L x 0.022"" W (1.00mm x 0.55mm)","0.020"" (0.50mm)"
http://datasheets.avx.com/Accu-P.pdf,//media.digikey.com/Renders/AVX%20Renders/0402-(1005-Metric)-Accu-P-Series.jpg,478-4402-1-ND,04023J1R2ABSTR,AVX Corporation,CAP THIN FILM 1.2PF 25V 0402,17764,0,"0.97000","0","1","Cut Tape (CT)","Accu-P®","Active","1.2pF","±0.05pF","25V","Surface Mount","0402 (1005 Metric)","-55°C ~ 125°C","RF, High Q, Low Loss","0.039"" L x 0.022"" W (1.00mm x 0.55mm)","0.020"" (0.50mm)"
