Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Accessory Type","For Use With/Related Products","Device Size","Specifications"
-,-,30434-73-ND,30434-73,Cornell Dubilier Electronics (CDE),AC/DC,0,0,"Obsolete","0","300","30434","Obsolete","Mounting Bracket","Oval Can Types","-","End Mount"
http://www.cde.com/resources/catalogs/hardware.pdf,-,30434-75-ND,30434-75,Cornell Dubilier Electronics (CDE),AC/DC,0,0,"Obsolete","0","300","30434","Obsolete","Mounting Bracket","Oval Can Types","4.750"" H (120.65mm)","End Mount"
-,-,30434-77-ND,30434-77,Cornell Dubilier Electronics (CDE),AC/DC,0,0,"Obsolete","0","300","30434","Obsolete","Mounting Bracket","Oval Can Types","-","End Mount"
http://www.cde.com/resources/catalogs/hardware.pdf,-,30434-83-ND,30434-83,Cornell Dubilier Electronics (CDE),AC/DC,0,0,"Obsolete","0","300","30434","Obsolete","Mounting Bracket","Oval Can Types","5.250"" H (133.35mm)","End Mount"
http://www.cde.com/resources/catalogs/hardware.pdf,-,30434-99-ND,30434-99,Cornell Dubilier Electronics (CDE),AC/DC,0,0,"Obsolete","0","300","30434","Obsolete","Mounting Bracket","Oval Can Types","6.250"" H (158.75mm)","End Mount"
-,-,31762-1-ND,31762-1,Cornell Dubilier Electronics (CDE),AC/DC,0,0,"Obsolete","0","225","31762","Obsolete","Mounting Bracket","Oval Can Types","-","Side Mount"
-,-,31762-100-ND,31762-100,Cornell Dubilier Electronics (CDE),AC/DC,0,0,"Obsolete","0","225","31762","Obsolete","Mounting Bracket","Oval Can Types","-","Side Mount"
-,-,31762-101-ND,31762-101,Cornell Dubilier Electronics (CDE),AC/DC,0,0,"Obsolete","0","225","31762","Obsolete","Mounting Bracket","Oval Can Types","-","Side Mount"
-,-,31762-102-ND,31762-102,Cornell Dubilier Electronics (CDE),AC/DC,0,0,"Obsolete","0","225","31762","Obsolete","Mounting Bracket","Oval Can Types","-","Side Mount"
-,-,31762-103-ND,31762-103,Cornell Dubilier Electronics (CDE),AC/DC,0,0,"Obsolete","0","225","31762","Obsolete","Mounting Bracket","Oval Can Types","-","Side Mount"
-,-,31762-104-ND,31762-104,Cornell Dubilier Electronics (CDE),AC/DC,0,0,"Obsolete","0","225","31762","Obsolete","Mounting Bracket","Oval Can Types","-","Side Mount"
-,-,31762-105-ND,31762-105,Cornell Dubilier Electronics (CDE),AC/DC,0,0,"Obsolete","0","225","31762","Obsolete","Mounting Bracket","Oval Can Types","-","Side Mount"
-,-,31762-106-ND,31762-106,Cornell Dubilier Electronics (CDE),AC/DC,0,0,"Obsolete","0","225","31762","Obsolete","Mounting Bracket","Oval Can Types","-","Side Mount"
-,-,31762-125-ND,31762-125,Cornell Dubilier Electronics (CDE),AC/DC,0,0,"Obsolete","0","225","31762","Obsolete","Mounting Bracket","Oval Can Types","-","Side Mount"
-,-,31762-126-ND,31762-126,Cornell Dubilier Electronics (CDE),AC/DC,0,0,"Obsolete","0","225","31762","Obsolete","Mounting Bracket","Oval Can Types","-","Side Mount"
-,-,31762-127-ND,31762-127,Cornell Dubilier Electronics (CDE),AC/DC,0,0,"Obsolete","0","225","31762","Obsolete","Mounting Bracket","Oval Can Types","-","Side Mount"
-,-,31762-128-ND,31762-128,Cornell Dubilier Electronics (CDE),AC/DC,0,0,"Obsolete","0","225","31762","Obsolete","Mounting Bracket","Oval Can Types","-","Side Mount"
-,-,31762-129-ND,31762-129,Cornell Dubilier Electronics (CDE),AC/DC,0,0,"Obsolete","0","225","31762","Obsolete","Mounting Bracket","Oval Can Types","-","Side Mount"
-,-,31762-13-ND,31762-13,Cornell Dubilier Electronics (CDE),AC/DC,0,0,"Obsolete","0","225","31762","Obsolete","Mounting Bracket","Oval Can Types","-","Side Mount"
