Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Slotted/Unslotted","Size","Length","Thickness","Material","Plating"
https://www.americanelectrical.com/pdfs/DINRail/DINRail.pdf,//media.digikey.com/photos/American%20Elect%20Photos/ADR3515-U7874.jpg,ADR3515-U5100-ND,TS3515SOL,American Electrical Inc.,DIN RAIL 35MMX15MM UNSLOT 51"",0,0,"5.23000","0","1","358","Active","Top Hat","Unslotted","1.378"" W x 0.591"" H (35.00mm x 15.00mm)","51.000"" (1295.40mm)","0.059"" (1.50mm)","Steel","Zinc"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=1401789,-,1401789-ND,1401789,Phoenix Contact,DIN RAIL STEEL UNSLOT 15MMX5.5MM,0,250,"5.24000","0","10","-","Active","Top Hat","Unslotted","0.591"" W x 0.217"" H (15.00mm x 5.50mm)","78.740"" (2000.00mm)","0.039"" (1.00mm)","Steel","-"
-,-,197-146-ND,197-146,Altech Corporation,TS15-146 DIN RAIL FOR TG1608 AND,0,8,"5.24000","0","1","TG","Active","Top Hat","Slotted","-","5.748"" (146.00mm)","-","-","-"
https://www.americanelectrical.com/pdfs/DINRail/DINRail.pdf,//media.digikey.com/photos/American%20Elect%20Photos/ADR3575-S7874.jpg,ADR3575-S5700-ND,TS3575SL,American Electrical Inc.,DIN RAIL 35MMX7.5MM SLOTTED 57"",0,0,"5.30000","0","1","358","Active","Top Hat","Slotted","1.378"" W x 0.295"" H (35.00mm x 7.50mm)","57.000"" (1447.80mm)","0.039"" (1.00mm)","Steel","Zinc"
https://www.americanelectrical.com/pdfs/DINRail/DINRail.pdf,//media.digikey.com/photos/American%20Elect%20Photos/ADR3575-U7874.jpg,ADR3575-U5700-ND,TS3575SOL,American Electrical Inc.,DIN RAIL 35MMX7.5MM UNSLOT 57"",0,0,"5.30000","0","1","358","Active","Top Hat","Unslotted","1.378"" W x 0.295"" H (35.00mm x 7.50mm)","57.000"" (1447.80mm)","0.039"" (1.00mm)","Steel","Zinc"
-,-,917682-ND,917682,Weidmüller,DIN RAIL 35MMX7.5MM SLOTTED 7"",0,0,"5.30100","0","10","-","Active","-","Slotted","1.378"" W x 0.295"" H (35.00mm x 7.50mm)","7.000"" (177.80mm)","0.039"" (1.00mm)","-","-"
https://www.americanelectrical.com/pdfs/DINRail/DINRail.pdf,//media.digikey.com/photos/American%20Elect%20Photos/ADR3515-S7874.jpg,ADR3515-S5200-ND,TS3515SL,American Electrical Inc.,DIN RAIL 35MMX15MM SLOTTED 52"",0,0,"5.33000","0","1","358","Active","Top Hat","Slotted","1.378"" W x 0.591"" H (35.00mm x 15.00mm)","52.000"" (1320.80mm)","0.059"" (1.50mm)","Steel","Zinc"
https://www.americanelectrical.com/pdfs/DINRail/DINRail.pdf,//media.digikey.com/photos/American%20Elect%20Photos/ADR3515-U7874.jpg,ADR3515-U5200-ND,TS3515SOL,American Electrical Inc.,DIN RAIL 35MMX15MM UNSLOT 52"",0,0,"5.33000","0","1","358","Active","Top Hat","Unslotted","1.378"" W x 0.591"" H (35.00mm x 15.00mm)","52.000"" (1320.80mm)","0.059"" (1.50mm)","Steel","Zinc"
-,-,7-1437685-7-ND,7-1437685-7,TE Connectivity Raychem Cable Protection,TK2-4S=SNAP TRACK SPECIAL,0,0,"5.37951","0","264","-","Active","-","-","-","-","-","-","-"
https://www.americanelectrical.com/pdfs/DINRail/DINRail.pdf,//media.digikey.com/photos/American%20Elect%20Photos/ADR3575-S7874.jpg,ADR3575-S5800-ND,TS3575SL,American Electrical Inc.,DIN RAIL 35MMX7.5MM SLOTTED 58"",0,0,"5.39000","0","1","358","Active","Top Hat","Slotted","1.378"" W x 0.295"" H (35.00mm x 7.50mm)","58.000"" (1473.20mm)","0.039"" (1.00mm)","Steel","Zinc"
https://www.americanelectrical.com/pdfs/DINRail/DINRail.pdf,//media.digikey.com/photos/American%20Elect%20Photos/ADR3575-U7874.jpg,ADR3575-U5800-ND,TS3575SOL,American Electrical Inc.,DIN RAIL 35MMX7.5MM UNSLOT 58"",0,0,"5.39000","0","1","358","Active","Top Hat","Unslotted","1.378"" W x 0.295"" H (35.00mm x 7.50mm)","58.000"" (1473.20mm)","0.039"" (1.00mm)","Steel","Zinc"
-,-,198-170-ND,198-170,Altech Corporation,TS35-170 DIN RAIL FOR TG2015 ENC,0,7,"5.41000","0","1","TG","Active","Top Hat","Slotted","-","6.693"" (170.00mm)","-","-","-"
https://www.americanelectrical.com/pdfs/DINRail/DINRail.pdf,//media.digikey.com/photos/American%20Elect%20Photos/ADR3515-S7874.jpg,ADR3515-S5300-ND,TS3515SL,American Electrical Inc.,DIN RAIL 35MMX15MM SLOTTED 53"",0,0,"5.44000","0","1","358","Active","Top Hat","Slotted","1.378"" W x 0.591"" H (35.00mm x 15.00mm)","53.000"" (1346.20mm)","0.059"" (1.50mm)","Steel","Zinc"
https://www.americanelectrical.com/pdfs/DINRail/DINRail.pdf,//media.digikey.com/photos/American%20Elect%20Photos/ADR3515-U7874.jpg,ADR3515-U5300-ND,TS3515SOL,American Electrical Inc.,DIN RAIL 35MMX15MM UNSLOT 53"",0,0,"5.44000","0","1","358","Active","Top Hat","Unslotted","1.378"" W x 0.591"" H (35.00mm x 15.00mm)","53.000"" (1346.20mm)","0.059"" (1.50mm)","Steel","Zinc"
-,-,ATBDR3515S1-ND,ATBDR3515S1,Amphenol PCD,DIN RAIL 35MMX15MM SLOTTED 1M,0,0,"5.47200","0","100","ATBDR","Active","Top Hat","Slotted","1.378"" W x 0.591"" H (35.00mm x 15.00mm)","39.370"" (1000.00mm)","-","Steel","Zinc"
https://www.americanelectrical.com/pdfs/DINRail/DINRail.pdf,//media.digikey.com/photos/American%20Elect%20Photos/ADR3575-S7874.jpg,ADR3575-S5900-ND,TS3575SL,American Electrical Inc.,DIN RAIL 35MMX7.5MM SLOTTED 59"",0,0,"5.48000","0","1","358","Active","Top Hat","Slotted","1.378"" W x 0.295"" H (35.00mm x 7.50mm)","59.000"" (1498.60mm)","0.039"" (1.00mm)","Steel","Zinc"
