Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Threaded/Unthreaded","Gender","Screw, Thread Size","Diameter - Inside","Diameter - Outside","Between Board Height","Length - Overall","Features","Material","Plating","Color"
https://www.bivar.com/Files/Datasheets/9XX-XXX.pdf,//media.digikey.com/Photos/Bivar%20Inc%20Photos/905-080.JPG,492-1761-ND,905-080,Bivar Inc.,ROUND SPACER NYLON 2.03MM,5025,0,"0.10000","0","1","900","Active","Round Spacer","Unthreaded","Female, Female","-","0.147"" (3.73mm)","0.250"" (6.35mm) 1/4""","0.080"" (2.03mm)","0.080"" (2.03mm)","-","Nylon","-","Natural"
https://www.bivar.com/Files/Datasheets/99XX-XXX.pdf,//media.digikey.com/photos/Bivar%20Inc%20Photos/9911-437.JPG,492-1092-ND,9911-437,Bivar Inc.,ROUND SPACER #4 NYLON 7/16"",5257,0,"0.10000","0","1","99XX","Active","Round Spacer","Unthreaded","Female, Female","#4","0.125"" (3.18mm) 1/8""","0.250"" (6.35mm) 1/4""","0.438"" (11.13mm) 7/16""","0.438"" (11.13mm) 7/16""","-","Nylon","-","Natural"
https://www.bivar.com/Files/Datasheets/99XX-XXX.pdf,//media.digikey.com/photos/Bivar%20Inc%20Photos/9911-562.jpg,492-1094-ND,9911-562,Bivar Inc.,ROUND SPACER #4 NYLON 9/16"",5085,0,"0.10000","0","1","99XX","Active","Round Spacer","Unthreaded","Female, Female","#4","0.125"" (3.18mm) 1/8""","0.250"" (6.35mm) 1/4""","0.563"" (14.30mm) 9/16""","0.563"" (14.30mm) 9/16""","-","Nylon","-","Natural"
https://www.bivar.com/Files/Datasheets/99XX-XXX.pdf,//media.digikey.com/photos/Bivar%20Inc%20Photos/9905-750.jpg,492-1111-ND,9905-750,Bivar Inc.,ROUND SPACER #6 NYLON 3/4"",5008,0,"0.10000","0","1","99XX","Active","Round Spacer","Unthreaded","Female, Female","#6","0.147"" (3.73mm)","0.250"" (6.35mm) 1/4""","0.750"" (19.05mm) 3/4""","0.750"" (19.05mm) 3/4""","-","Nylon","-","Natural"
https://www.bivar.com/Files/Datasheets/99XX-XXX.pdf,//media.digikey.com/photos/Bivar%20Inc%20Photos/9911-375.jpg,492-1091-ND,9911-375,Bivar Inc.,ROUND SPACER #4 NYLON 3/8"",4721,0,"0.10000","0","1","99XX","Active","Round Spacer","Unthreaded","Female, Female","#4","0.125"" (3.18mm) 1/8""","0.250"" (6.35mm) 1/4""","0.375"" (9.53mm) 3/8""","0.375"" (9.53mm) 3/8""","-","Nylon","-","Natural"
https://www.bivar.com/Files/Datasheets/SRS-X.pdf,//media.digikey.com/Photos/Bivar%20Inc%20Photos/SRS-1-125.JPG,492-1805-ND,SRS-1-125,Bivar Inc.,ROUND SPACER #4 PVC 1/8"",4499,0,"0.10000","0","1","SRS","Active","Round Spacer","Unthreaded","Female, Female","#4","0.107"" (2.72mm)","0.250"" (6.35mm) 1/4""","0.125"" (3.18mm) 1/8""","0.125"" (3.18mm) 1/8""","Self Retaining","PVC","-","Gray"
https://www.bivar.com/Files/Datasheets/9XX-XXX.pdf,//media.digikey.com/Photos/Bivar%20Inc%20Photos/908-100.JPG,492-1768-ND,908-100,Bivar Inc.,ROUND SPACER NYLON 2.54MM,3880,0,"0.10000","0","1","900","Active","Round Spacer","Unthreaded","Female, Female","-","0.125"" (3.18mm) 1/8""","0.188"" (4.78mm) 3/16""","0.100"" (2.54mm)","0.100"" (2.54mm)","-","Nylon","-","Natural"
https://www.bivar.com/Files/Datasheets/99XX-XXX.pdf,//media.digikey.com/photos/Bivar%20Inc%20Photos/9913-312.JPG,492-1045-ND,9913-312,Bivar Inc.,ROUND SPACER #2 NYLON 5/16"",3943,0,"0.10000","0","1","99XX","Active","Round Spacer","Unthreaded","Female, Female","#2","0.091"" (2.31mm)","0.188"" (4.78mm) 3/16""","0.313"" (7.95mm) 5/16""","0.313"" (7.95mm) 5/16""","-","Nylon","-","Natural"
https://www.bivar.com/Files/Datasheets/99XX-XXX.pdf,//media.digikey.com/photos/Bivar%20Inc%20Photos/9913-500.jpg,492-1048-ND,9913-500,Bivar Inc.,ROUND SPACER #2 NYLON 1/2"",3897,0,"0.10000","0","1","99XX","Active","Round Spacer","Unthreaded","Female, Female","#2","0.091"" (2.31mm)","0.188"" (4.78mm) 3/16""","0.500"" (12.70mm) 1/2""","0.500"" (12.70mm) 1/2""","-","Nylon","-","Natural"
https://www.bivar.com/Files/Datasheets/99XX-XXX.pdf,//media.digikey.com/photos/Bivar%20Inc%20Photos/9908-437.jpg,492-1077-ND,9908-437,Bivar Inc.,ROUND SPACER #4 NYLON 7/16"",3675,0,"0.10000","0","1","99XX","Active","Round Spacer","Unthreaded","Female, Female","#4","0.125"" (3.18mm) 1/8""","0.188"" (4.78mm) 3/16""","0.438"" (11.13mm) 7/16""","0.438"" (11.13mm) 7/16""","-","Nylon","-","Natural"
https://www.bivar.com/Files/Datasheets/9XX-XXX.pdf,//media.digikey.com/Photos/Bivar%20Inc%20Photos/905-250.JPG,492-1766-ND,905-250,Bivar Inc.,ROUND SPACER NYLON 1/4"",3314,0,"0.10000","0","1","900","Active","Round Spacer","Unthreaded","Female, Female","-","0.147"" (3.73mm)","0.250"" (6.35mm) 1/4""","0.250"" (6.35mm) 1/4""","0.250"" (6.35mm) 1/4""","-","Nylon","-","Natural"
https://www.bivar.com/Files/Datasheets/99XX-XXX.pdf,//media.digikey.com/photos/Bivar%20Inc%20Photos/9911-500.JPG,492-1093-ND,9911-500,Bivar Inc.,ROUND SPACER #4 NYLON 1/2"",3267,0,"0.10000","0","1","99XX","Active","Round Spacer","Unthreaded","Female, Female","#4","0.125"" (3.18mm) 1/8""","0.250"" (6.35mm) 1/4""","0.500"" (12.70mm) 1/2""","0.500"" (12.70mm) 1/2""","-","Nylon","-","Natural"
