Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Color","Material","Hole Diameter","Flange Diameter","Panel Thickness"
-,-,BP-16237-ND,BP-16237,Essentra Components,BODY PLUG .98"" HOLE SIZE,0,0,"Obsolete","0","1000","BP","Obsolete","Body Plug","Black","Thermoplastic Elastomer","0.984"" (25.00mm)","1.339"" (34.00mm)","0.031"" ~ 0.079"" (0.79mm ~ 2.00mm)"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/CBHP%20Series.pdf,-,CBHP-1-ND,CBHP- 1,Essentra Components,C.B. HOLE PLUG .025"" NYLON BLACK,0,0,"Obsolete","0","1000","CBHP","Obsolete","Circuit Board Hole Plug","Black","Nylon","0.025"" (0.64mm)","0.047"" (1.19mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/CBHP%20Series.pdf,-,CBHP-2-ND,CBHP- 2,Essentra Components,C.B. HOLE PLUG .050"" NYLON BLACK,0,0,"Obsolete","0","1000","CBHP","Obsolete","Circuit Board Hole Plug","Black","Nylon","0.050"" (1.27mm)","0.082"" (2.08mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/CBHP%20Series.pdf,-,CBHP-3S-ND,CBHP-3S,Essentra Components,C.B. HOLE PLUG .100"" SILIC BLACK,0,0,"Obsolete","0","1000","CBHP","Obsolete","Circuit Board Hole Plug","Black","Silicone","0.100"" (2.54mm)","0.160"" (4.06mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/CBHP%20Series.pdf,-,CBHP-4S-ND,CBHP-4S,Essentra Components,C.B. HOLE PLUG .150"" SILIC BLACK,0,0,"Obsolete","0","1000","CBHP","Obsolete","Circuit Board Hole Plug","Black","Silicone","0.150"" (3.81mm)","0.209"" (5.31mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/CBHP%20Series.pdf,-,CBHP-5S-ND,CBHP-5S,Essentra Components,C.B. HOLE PLUG .200"" SILIC BLACK,0,0,"Obsolete","0","1000","CBHP","Obsolete","Circuit Board Hole Plug","Black","Silicone","0.200"" (5.08mm)","0.261"" (6.63mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/CBHP%20Series.pdf,-,CBHP-6S-ND,CBHP-6S,Essentra Components,C.B. HOLE PLUG .250"" SILIC BLACK,0,0,"Obsolete","0","1000","CBHP","Obsolete","Circuit Board Hole Plug","Black","Silicone","0.250"" (6.35mm) 1/4""","0.309"" (7.85mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/CBHP%20Series.pdf,-,CBHP-7S-ND,CBHP-7S,Essentra Components,C.B. HOLE PLUG .312"" SILIC BLACK,0,0,"Obsolete","0","1000","CBHP","Obsolete","Circuit Board Hole Plug","Black","Silicone","0.312"" (7.92mm) 5/16""","0.355"" (9.02mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/CBHP%20Series.pdf,-,CBHP-8S-ND,CBHP-8S,Essentra Components,C.B. HOLE PLUG .375"" SILIC BLACK,0,0,"Obsolete","0","1000","CBHP","Obsolete","Circuit Board Hole Plug","Black","Silicone","0.375"" (9.53mm) 3/8""","0.420"" (10.67mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/CBHP%20Series.pdf,-,CBHP-9S-ND,CBHP-9S,Essentra Components,C.B. HOLE PLUG .500"" SILIC BLACK,0,0,"Obsolete","0","1000","CBHP","Obsolete","Circuit Board Hole Plug","Black","Silicone","0.500"" (12.70mm) 1/2""","0.539"" (13.69mm)","-"
http://www.essentracomponents.com.sg/images-line/pdfs/PGM.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_20109.jpg,RPC1588-ND,PGM-4,Essentra Components,GROMMET HOLE PLUG .185 - .193"",0,0,"Obsolete","0","1000","M","Obsolete","Body Plug","Black","Nylon","0.189"" (4.80mm)","0.236"" (5.99mm)","0.067"" (1.70mm)"
//media.digikey.com/pdf/Data%20Sheets/Weidmuller%20PDFs/1737150000.pdf,-,1737150000-ND,1737150000,Weidmüller,CABLE PLUG BLANK M20 BRASS EXE,0,0,"Obsolete","0","50","VP","Obsolete","Body Plug","Black","Nylon","-","-","-"
https://belfuse.com/resources/Cinch%20Connectors%20Catalog.pdf#page=74,-,41F-ND,41F,Cinch Connectivity Solutions,PLUG BUTTON .875"" HOLE,0,0,"Obsolete","0","1","-","Obsolete","Body Plug","Natural","Steel, Nickel Plated","0.875"" (22.23mm) 7/8""","1.062"" (26.97mm) 1 1/16""","-"
https://belfuse.com/resources/Cinch%20Connectors%20Catalog.pdf#page=74,-,41H-ND,41H,Cinch Connectivity Solutions,PLUG BUTTON 1.25"" HOLE,0,0,"Obsolete","0","1","-","Obsolete","Body Plug","Natural","Steel, Nickel Plated","1.250"" (31.75mm) 1 1/4""","1.438"" (36.53mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Airpax%20PDFs/22.5mm%20Metal%20Series.pdf,//media.digikey.com/photos/Sensata%20Tech%20Photos/2BP2.JPG,723-1118-ND,2BP2,Sensata-Airpax,HOLE PLUG BLK 22MM RND,0,0,"Obsolete","0","100","-","Obsolete","Body Plug","Black","-","0.886"" (22.50mm)","-","-"
