Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Size / Dimension","Thickness","Density","Material","Material Flammability Rating","Color"
http://multimedia.3m.com/mws/media/1383349O/e-a-r-confor-disk-pad-print.pdf,-,CF-45EG0.5DISKPAD-ND,CF-45EG 0.5 DISK PAD,"3M - Aearo Technologies, LLC",CONFOR CF-45EG 0.5 DISK PAD,0,0,"0.48125","0","800","CONFOR™ EG","Active","1.00"" Diameter (25.4mm)","0.500"" (12.70mm)","96.1 kg/m³","Polyurethane","UL94 HF-1","Blue"
http://multimedia.3m.com/mws/media/1383351O/e-a-r-confor-ring-pad-print.pdf,-,CF-45EG0.5RINGPAD-ND,CF-45EG 0.5 RING PAD,"3M - Aearo Technologies, LLC",CONFOR CF-45EG 0.5 RING PAD,0,0,"0.48125","0","800","CONFOR™ EG","Active","1.00"" Diameter (25.4mm)","0.500"" (12.70mm)","96.1 kg/m³","Polyurethane","UL94 HF-1","Blue"
http://multimedia.3m.com/mws/media/1383350O/e-a-r-confor-square-pad-print.pdf,-,CF-45EG0.5SQUAREPAD-ND,CF-45EG 0.5 SQUARE PAD,"3M - Aearo Technologies, LLC",CONFOR CF-45EG 0.5 SQUARE PAD,0,0,"0.48125","0","800","CONFOR™ EG","Active","1.00"" W x 1.00"" L (25.4mm x 25.4mm)","0.500"" (12.70mm)","96.1 kg/m³","Polyurethane","UL94 HF-1","Blue"
http://multimedia.3m.com/mws/media/1383349O/e-a-r-confor-disk-pad-print.pdf,-,CF-47EG0.5DISKPAD-ND,CF-47EG 0.5 DISK PAD,"3M - Aearo Technologies, LLC",CONFOR CF-47EG 0.5 DISK PAD,0,0,"0.48125","0","800","CONFOR™ EG","Active","1.00"" Diameter (25.4mm)","0.500"" (12.70mm)","96.1 kg/m³","Polyurethane","UL94 HF-1","Green"
http://multimedia.3m.com/mws/media/1383351O/e-a-r-confor-ring-pad-print.pdf,-,CF-47EG0.5RINGPAD-ND,CF-47EG 0.5 RING PAD,"3M - Aearo Technologies, LLC",CONFOR CF-47EG 0.5 RING PAD,0,0,"0.48125","0","800","CONFOR™ EG","Active","1.00"" Diameter (25.4mm)","0.500"" (12.70mm)","96.1 kg/m³","Polyurethane","UL94 HF-1","Green"
http://multimedia.3m.com/mws/media/1383350O/e-a-r-confor-square-pad-print.pdf,-,CF-47EG0.5SQUAREPAD-ND,CF-47EG 0.5 SQUARE PAD,"3M - Aearo Technologies, LLC",CONFOR CF-47EG 0.5 SQUARE PAD,0,0,"0.48125","0","800","CONFOR™ EG","Active","1.00"" W x 1.00"" L (25.4mm x 25.4mm)","0.500"" (12.70mm)","96.1 kg/m³","Polyurethane","UL94 HF-1","Green"
http://multimedia.3m.com/mws/media/1383349O/e-a-r-confor-disk-pad-print.pdf,-,CFNT-EGS0.5DISKPAD-ND,CFNT-EGS 0.5 DISK PAD,"3M - Aearo Technologies, LLC",CONFOR CFNT-EGS 0.5 DISK PAD,0,0,"0.48125","0","800","CONFOR™ EG","Active","1.00"" Diameter (25.4mm)","0.500"" (12.70mm)","83 kg/m³","Polyurethane","UL94 HBF","Yellow"
http://multimedia.3m.com/mws/media/1383350O/e-a-r-confor-square-pad-print.pdf,-,CFNT-EGS0.5SQUAREPAD-ND,CFNT-EGS 0.5 SQUARE PAD,"3M - Aearo Technologies, LLC",CONFOR CFNT-EGS 0.5 SQUARE PAD,0,0,"0.48125","0","800","CONFOR™ EG","Active","1.00"" W x 1.00"" L (25.4mm x 25.4mm)","0.500"" (12.70mm)","83 kg/m³","Polyurethane","UL94 HBF","Yellow"
http://multimedia.3m.com/mws/media/1383349O/e-a-r-confor-disk-pad-print.pdf,-,CF-40EG0.75DISKPAD-ND,CF-40EG 0.75 DISK PAD,"3M - Aearo Technologies, LLC",CONFOR CF-40EG 0.75 DISK PAD,0,0,"0.56875","0","600","CONFOR™ EG","Active","1.00"" Diameter (25.4mm)","0.750"" (19.05mm)","96.1 kg/m³","Polyurethane","UL94 HF-1","Yellow"
http://multimedia.3m.com/mws/media/1383351O/e-a-r-confor-ring-pad-print.pdf,-,CF-40EG0.75RINGPAD-ND,CF-40EG 0.75 RING PAD,"3M - Aearo Technologies, LLC",CONFOR CF-40EG 0.75 RING PAD,0,0,"0.56875","0","600","CONFOR™ EG","Active","1.00"" Diameter (25.4mm)","0.750"" (19.05mm)","96.1 kg/m³","Polyurethane","UL94 HF-1","Yellow"
http://multimedia.3m.com/mws/media/1383350O/e-a-r-confor-square-pad-print.pdf,-,CF-40EG0.75SQUAREPAD-ND,CF-40EG 0.75 SQUARE PAD,"3M - Aearo Technologies, LLC",CONFOR CF-40EG 0.75 SQUARE PAD,0,0,"0.56875","0","600","CONFOR™ EG","Active","1.00"" W x 1.00"" L (25.4mm x 25.4mm)","0.750"" (19.05mm)","96.1 kg/m³","Polyurethane","UL94 HF-1","Yellow"
