Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Inner Diameter","Outer Diameter","Width","Material","Static Load Rating","Dynamic Load Rating","Features"
https://www.mechatronics.com/bearing-group/pdf/12NU10.pdf,-,1995-1052-ND,12NU10,Mechatronics Bearing Group,BEARING 0.75""ID0.875""OD PTFE,200,0,"1.01000","0","1","INCH","Active","Sleeve Bearing","0.753"" (19.11mm)","0.876"" (22.24mm)","0.625"" (15.88mm) 5/8""","Polytetrafluoroethylene (PTFE)","-","-","Self Lubricating"
https://www.mechatronics.com/bearing-group/pdf/6201ZZ.pdf,-,1995-1019-ND,6201ZZ,Mechatronics Bearing Group,BALL BEARING SHIELDED 12X32X10MM,490,0,"1.02000","0","1","6200","Active","Ball Bearing","0.472"" (12.00mm)","1.260"" (32.00mm)","0.394"" (10.00mm)","Bearing Steel","595 lbs","1055 lbs","Shield (2)"
https://www.mechatronics.com/bearing-group/pdf/R6-2RS.pdf,//media.digikey.com/Photos/Mechatronics%20Fan%20Group/R6-2RS-SNB.JPG,1995-1001-ND,R6-2RS-SNB,Mechatronics Bearing Group,BALL BEARING 0.375X0.875X0.2812"",468,0,"1.02000","0","1","R","Active","Ball Bearing","0.375"" (9.53mm) 3/8""","0.875"" (22.23mm) 7/8""","0.281"" (7.14mm) 9/32""","Bearing Steel","305 lbs","570 lbs","Contact Seal (2)"
https://www.mechatronics.com/bearing-group/pdf/6201-2RS.pdf,-,1995-1018-ND,6201-2RS,Mechatronics Bearing Group,BALL BEARING SEALED 12X32X10MM,250,0,"1.02000","0","1","6200","Active","Ball Bearing","0.472"" (12.00mm)","1.260"" (32.00mm)","0.394"" (10.00mm)","Bearing Steel","595 lbs","1055 lbs","Contact Seal (2)"
https://www.mechatronics.com/bearing-group/pdf/6202ZZ.pdf,-,1995-1021-ND,6202ZZ,Mechatronics Bearing Group,BALL BEARING SHIELDED 15X35X11MM,247,0,"1.17000","0","1","6200","Active","Ball Bearing","0.591"" (15.00mm)","1.378"" (35.00mm)","0.433"" (11.00mm)","Bearing Steel","675 lbs","1180 lbs","Shield (2)"
https://www.mechatronics.com/bearing-group/pdf/6202-2RS.pdf,-,1995-1020-ND,6202-2RS-GLD,Mechatronics Bearing Group,BALL BEARING SEALED 15X35X11MM,495,0,"1.20000","0","1","6200","Active","Ball Bearing","0.591"" (15.00mm)","1.378"" (35.00mm)","0.433"" (11.00mm)","Bearing Steel","675 lbs","1180 lbs","Contact Seal (2)"
https://www.mechatronics.com/bearing-group/pdf/R8-2RS.pdf,-,1995-1002-ND,R8-2RS-XE,Mechatronics Bearing Group,BALL BEARING 0.5X0.125X0.3125"",478,0,"1.41000","0","1","R","Active","Ball Bearing","0.500"" (12.70mm) 1/2""","1.125"" (28.58mm)","0.313"" (7.94mm) 5/16""","Bearing Steel","500 lbs","885 lbs","Contact Seal (2)"
https://www.mechatronics.com/bearing-group/pdf/R10.pdf,-,1995-1005-ND,R10,Mechatronics Bearing Group,BALL BEARING 0.625X1.375X0.3438,500,0,"1.50000","0","1","R","Active","Ball Bearing","0.625"" (15.88mm) 5/8""","1.375"" (34.93mm)","0.281"" (7.14mm) 9/32""","Bearing Steel","565 lbs","970 lbs","Open"
https://www.mechatronics.com/bearing-group/pdf/16NU12.pdf,-,1995-1053-ND,16NU12,Mechatronics Bearing Group,BEARING 1""ID1.125""OD0.75""W PTFE,200,0,"1.52000","0","1","INCH","Active","Sleeve Bearing","1.003"" (25.46mm)","1.126"" (28.59mm)","0.750"" (19.05mm) 3/4""","Polytetrafluoroethylene (PTFE)","-","-","Self Lubricating"
https://www.mechatronics.com/bearing-group/pdf/16NU16.pdf,-,1995-1054-ND,16NU16,Mechatronics Bearing Group,BEARING 1""ID 1.125""OD 1""W PTFE,200,0,"1.60000","0","1","INCH","Active","Sleeve Bearing","1.003"" (25.46mm)","1.126"" (28.59mm)","1.000"" (25.40mm) 1""","Polytetrafluoroethylene (PTFE)","-","-","Self Lubricating"
https://www.mechatronics.com/bearing-group/pdf/TRA815.pdf,//media.digikey.com/Photos/Mechatronics%20Fan%20Group/TRA815.jpg,1995-1043-ND,TRA815,Mechatronics Bearing Group,BEARING 1/2""ID 15/16""OD 0.03""W,600,0,"1.68000","0","1","-","Active","Flat","-","-","-","-","-","-","-"
