Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Features","For Use With/Related Products","Size / Dimension","Color","Material"
http://www.budind.com/pdf/hb10985pl.pdf,//media.digikey.com/photos/BUD%20Industries%20Photos/NBX-10985-PL.JPG,377-1673-ND,NBX-10985-PL,Bud Industries,PANEL PLASTIC 6.3X9.9"" FOR NB,82,501,"5.10000","0","1","NB","Active","Panel, Inner","-","NBB, NBD, NBE Series","9.900"" L x 6.300"" W x 0.173"" H (251.46mm x 160.02mm x 4.39mm)","Unpainted","Plastic, ABS"
-,//media.digikey.com/photos/Davies-Molding-LLC/MFG_0261.JPG,1722-1027-ND,0261,"Davies Molding, LLC",ELECTRONIC COVERS,34,0,"5.27000","0","1","0261","Active","Cover, Lid","Heat Resistant","0260-K","6.790"" L x 5.300"" W x 0.250"" H (172.47mm x 134.62mm x 6.35mm)","Black","Plastic, Phenolic"
http://www.hammondmfg.com/pdf/1444-6.pdf,//media.digikey.com/photos/Hammond%20Mfg%20Photos/1434-6.jpg,HM275-ND,1434-6,Hammond Manufacturing,COVER FOR PART #1444-6,35,19,"5.34000","0","1","1434","Active","Cover, Lid","-","1444 Series","4.000"" L x 4.000"" W x 0.040"" H (101.60mm x 101.60mm x 1.02mm)","Unpainted","Metal, Aluminum"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/BC_Series_Installation_Component_Housing.pdf,//media.digikey.com/Photos/Phoenix%20Photos/2896416.JPG,277-9399-ND,2896416,Phoenix Contact,UPPER PART INSTALLATION HOUSING,28,0,"5.61000","0","1","BC","Active","Housing","Vented","BC 53.6 Housing System","3.531"" L x 2.110"" W x 2.449"" H (89.70mm x 53.60mm x 62.20mm)","Gray","Plastic, Polycarbonate"
http://www.hammondmfg.com/pdf/1455D801.pdf,//media.digikey.com/photos/Hammond%20Mfg%20Photos/1455DBBK.JPG,HM1359-ND,1455DBBK,Hammond Manufacturing,BEZEL OPEN PLASTIC BLACK 2/PACK,38,0,"6.06000","0","1","1455","Active","Bezel","-","1455D Series","1.757"" L x 0.989"" W x 0.236"" H (44.62mm x 25.12mm x 6.00mm)","Black","Plastic, ABS"
http://www.keyelco.com/product-pdf.cfm?p=1613,//media.digikey.com/photos/Keystone%20Elect%20Photos/2038.jpg,36-2038-ND,2038,Keystone Electronics,PANEL PHENOLIC 5 1/4X6 3/4"" BLK,47,73,"6.25000","0","1","-","Active","Cover, Lid","-","701 Case","6.812"" L x 5.250"" W x 0.093"" H (173.05mm x 133.35mm x 1.60mm)","Black","Plastic, Phenolic"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2955603.pdf,//media.digikey.com/Photos/Phoenix%20Photos/2955603.JPG,277-2857-ND,2955603,Phoenix Contact,SIDE ELEMENT 73MM WIDE,29,180,"6.62000","0","1","UM","Active","Panel, Side","-","UM Series","2.874"" W (73.00mm)","Green","Plastic, Non Specified"
http://web.schroff.de/webcat/subgroup/pdf/schroff_cat_39601641_main_catalog_2012_en.pdf#page=845,//media.digikey.com/photos/Schroff/30848327.JPG,1439-1289-ND,30848327,Schroff,FRNT PNL 3U 4HP TYP 2 EXTRCT HDL,28,0,"6.68000","0","1","-","Active","Panel, Front","-","Plug-in Units","0.787"" W x 4.535"" H (19.98mm x 115.20mm)","Natural","Metal, Aluminum"
//media.digikey.com/pdf/Data%20Sheets/Weidmuller%20PDFs/1104450000.pdf,//media.digikey.com/photos/Weidmuller/1104450000.jpg,281-2788-ND,1104450000,Weidmüller,CH20M22 BASE ELEMENT 22.5MM BLK,59,40,"6.73000","0","1","Omnimate","Active","Panel, Bottom","-","CH20M Housing System","4.301"" L x 0.886"" W x 4.177"" H (109.25mm x 22.50mm x 106.10mm)","Black, Orange","Plastic, Polyamide"
https://hoffman.nvent.com/wcsstore/ExtendedSitesCatalogAssetStore/Attachment/HoffmanProductAttachments/SpecSheets/Spec-00310.pdf,//media.digikey.com/Photos/Hoffman-Enclosures-Inc/MFG_PanlForJnctnBox.jpg,1441-1222-ND,A6P4,"Hoffman Enclosures, Inc.",PANEL J BOX 4.88X2.88,34,0,"6.86000","0","1","-","Active","Panel, Inner","-","Junction Boxes","4.880"" L x 2.880"" W (123.95mm x 73.15mm)","White","Metal, Steel"
