Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Height","Length - Center to Center","Thread/Screw/Hole Size","Material","Mounting Type"
-,-,ST-10.088.22-ND,ST-10.088.22,"Davies Molding, LLC",HANDLE 2 POINT STEEL,0,0,"8.25800","0","10","ST","Active","Instrumentation","1.614"" (41.00mm)","3.465"" (88.01mm)","M5","Steel","Screw Holes, Back"
http://www.keyelco.com/product-pdf.cfm?p=1699,//media.digikey.com/Photos/Keystone%20Elect%20Photos/7149.JPG,36-7149-ND,7149,Keystone Electronics,HANDLE INSTR RND .312""DIA BRASS,0,0,"8.66000","0","100","-","Active","Instrumentation","1.750"" (44.45mm)","6.437"" (163.50mm)","#10-32","Brass","Screw Holes, Back"
-,-,S1-12.025.04-ND,S1-12.025.04,"Davies Molding, LLC",PULL HANDLE,0,0,"8.86900","0","10","S1","Active","Instrumentation","1.575"" (40.00mm)","0.984"" (25.00mm)","M5","Aluminum","Screw Holes, Back"
-,-,S1-12.055.04-ND,S1-12.055.04,"Davies Molding, LLC",PULL HANDLE,0,0,"8.86900","0","10","S1","Active","Instrumentation","1.575"" (40.00mm)","2.165"" (55.00mm)","M5","Aluminum","Screw Holes, Back"
-,-,S1-12.088.04-ND,S1-12.088.04,"Davies Molding, LLC",PULL HANDLE,0,0,"9.21700","0","10","S1","Active","Instrumentation","1.575"" (40.00mm)","3.465"" (88.01mm)","M5","Aluminum","Screw Holes, Back"
-,-,S1-12.120.01-ND,S1-12.120.01,"Davies Molding, LLC",PULL HANDLE,0,0,"9.55700","0","10","S1","Active","Instrumentation","1.575"" (40.00mm)","4.724"" (120.00mm)","M5","Aluminum","Screw Holes, Back"
-,-,S1-12.120.04-ND,S1-12.120.04,"Davies Molding, LLC",PULL HANDLE,0,0,"9.87700","0","10","S1","Active","Instrumentation","1.575"" (40.00mm)","4.724"" (120.00mm)","M5","Aluminum","Screw Holes, Back"
https://www.bivar.com/Files/Datasheets/SRH-2RUFM.pdf,-,SRH-2RUFM-ND,SRH-2RUFM,Bivar Inc.,LOW PROFILE FOLDABLE SUBRACK HAN,0,0,"10.27680","0","100","SRH","Active","Hinged Ends","1.449"" (36.80mm)","2.126"" (54.00mm)","M3","Nylon, Glass Filled","Screw Holes, Back"
-,-,S1-12.133.01-ND,S1-12.133.01,"Davies Molding, LLC",PULL HANDLE,0,0,"10.28000","0","10","S1","Active","Instrumentation","1.575"" (40.00mm)","5.291"" (134.40mm)","-","Aluminum","Screw Holes, Back"
http://www.keyelco.com/product-pdf.cfm?p=1643,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_54x.jpg,36-544-ND,544,Keystone Electronics,HANDLE .625X.281"" 10-32THR ALUM,0,0,"10.47000","0","100","-","Active","Instrumentation","2.000"" (50.80mm)","4.000"" (101.60mm)","#10-32","Aluminum","Screw Holes, Back"
-,-,UG-04.055.01-ND,UG-04.055.01,"Davies Molding, LLC",HANDLE 2 POINT ALUMINUM,0,0,"10.49100","0","10","UG-04","Active","Instrumentation","1.575"" (40.00mm)","2.165"" (55.00mm)","M5","Aluminum","Screw Holes, Front"
-,-,ST-10.136.22-ND,ST-10.136.22,"Davies Molding, LLC",HANDLE 2 POINT STEEL,0,0,"10.54000","0","10","ST","Active","Instrumentation","1.614"" (41.00mm)","5.354"" (136.00mm)","M5","Steel","Screw Holes, Back"
-,-,UG-03.055.01-ND,UG-03.055.01,"Davies Molding, LLC",HANDLE 2 POINT ALUMINUM,0,0,"10.83300","0","10","UG-03","Active","Instrumentation","1.575"" (40.00mm)","2.165"" (55.00mm)","M5","Aluminum","Screw Holes, Front"
-,-,10501026-ND,10501026,Schroff,HANDLE BLACK,0,0,"10.83800","0","10","-","Active","Drawer, Type","1.575"" (40.00mm)","3.465"" (88.01mm)","M5","Aluminum, Anodized","Screw Holes, Back"
http://www.keyelco.com/product-pdf.cfm?p=1639,//media.digikey.com/photos/Keystone%20Elect%20Photos/541.JPG,36-541-ND,541,Keystone Electronics,HANDLE .625X.281"" 10-32THR ALUM,0,0,"10.85000","0","100","-","Active","Instrumentation","1.750"" (44.45mm)","5.000"" (127.00mm)","#10-32","Aluminum","Screw Holes, Back"
-,-,UG-04.100.04-ND,UG-04.100.04,"Davies Molding, LLC",HANDLE 2 POINT ALUMINUM,0,0,"10.89900","0","10","UG-04","Active","Instrumentation","1.575"" (40.00mm)","3.937"" (100.00mm)","M5","Aluminum","Screw Holes, Front"
-,-,UG-04.088.01-ND,UG-04.088.01,"Davies Molding, LLC",HANDLE 2 POINT ALUMINUM,0,0,"11.04400","0","10","UG-04","Active","Instrumentation","1.575"" (40.00mm)","3.465"" (88.01mm)","M5","Aluminum","Screw Holes, Front"
-,-,UG-04.055.04-ND,UG-04.055.04,"Davies Molding, LLC",HANDLE 2 POINT ALUMINUM,0,0,"11.17200","0","10","UG-04","Active","Instrumentation","1.575"" (40.00mm)","2.165"" (55.00mm)","M5","Aluminum","Screw Holes, Front"
