Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Interface","Number of Ports"
https://www.digi.com/pdf/prd_ds_portservertshmei.pdf,//media.digikey.com/Photos/Digi%20Int'l%20Photos/70001919.jpg,602-1530-ND,70001919,Digi International,ETHERNET TO SER RS-232/422/485,23,0,"759.00000","0","1","PortServer™ TS H","Active","Ethernet to Serial","RS-232/422/485","4"
http://www.digi.com/pdf/prd_ds_portservertshccmei.pdf,//media.digikey.com/Photos/Digi%20Int'l%20Photos/70002039.jpg,602-1576-ND,70002040,Digi International,ETHERNET TO SER RS-232/422/485,18,0,"825.00000","0","1","PortServer™ TS Hcc","Active","Ethernet to Serial","RS-232/422/485","4"
https://www.digi.com/pdf/prd_usb_anywhereusb.pdf,//media.digikey.com/photos/Digi%20Int'l%20Photos/AW-TS-44.jpg,602-1752-ND,AW-TS-44,Digi International,ETHERNET TO USB RS-232,17,0,"834.00000","0","1","AnywhereUSB®TS","Active","Ethernet to USB","RS-232","4"
https://www.digi.com/pdf/ds_connectportts816.pdf,//media.digikey.com/photos/Digi%20Int'l%20Photos/70002323.jpg,602-1512-ND,70002323,Digi International,ETHERNET TO SERIAL RS-232,20,0,"1056.00000","0","1","ConnectPort® TS","Active","Ethernet to Serial","RS-232","8"
https://www.digi.com/pdf/prd_usb_anywhereusb.pdf,//media.digikey.com/Photos/Digi%20Int%27l%20Photos/MFG_AW-USB.jpg,602-1548-ND,AW-USB-5M,Digi International,ETHERNET TO USB 5 PORT,19,0,"1062.00000","0","1","AnywhereUSB®/5M","Active","Ethernet to USB","-","5"
https://www.digi.com/pdf/ds_connectportlts.pdf,//media.digikey.com/Photos/Digi%20Int'l%20Photos/70002403.jpg,602-1702-ND,70002403,Digi International,ETHERNET TO SERIAL RS-232,13,0,"1663.01000","0","1","ConnectPort® LTS","Active","Ethernet to Serial","RS-232","16"
http://www.ak-nord.de/en/daten/brochure_xtpico_sxl.pdf,//media.digikey.com/Photos/AK-Nord-GmbH/MFG_XT-PICO-SXL.JPG,1851-1023-ND,XT-PICO-SXL,AK-Nord GmbH,ETHERNET TO SERIAL RS-232/RS-485,88,0,"62.90000","0","1","-","Active","Ethernet to Serial","RS-232, RS-485","10"
http://www.atop.com.tw/atop/mw/cufiles/files/download_dm/iapl_dm/CA_SE5001A-V2.pdf,//media.digikey.com/Photos/ATOP-Technologies/SE5001A-TB.jpg,SE5001A-TB-ND,SE5001A-TB,ATOP Technologies,ETHERNET TO SER RS-232/422/485,11,0,"93.73000","0","1","-","Active","Ethernet to Serial","RS-232/422/485","1"
http://www.atop.com.tw/atop/mw/cufiles/files/download_dm/iapl_dm/CA_SE5002-V4-2017_06_30.pdf,//media.digikey.com/Photos/ATOP-Technologies/MFG_SE5002.jpg,SE5002(DB)-ND,SE5002(DB),ATOP Technologies,ETHERNET TO SER RS-232/422/485,7,0,"123.62000","0","1","-","Active","Ethernet to Serial","RS-232/422/485","2"
https://www.lantronix.com/wp-content/uploads/pdf/UDS1100_UG.pdf,//media.digikey.com/Photos/LANTRONIX/UD1100001-01.jpg,1829-1018-ND,UD1100001-01,"Lantronix, Inc.",ETHERNET TO SER RS-232/422/485,3,0,"149.00000","0","1","UDS1100","Active","Ethernet to Serial","RS-232/422/485","1"
http://advdownload.advantech.com/productfile/PIS/BB-ESP901/Product%20-%20Datasheet/ESP90x_5012ds20171129110947.pdf,//media.digikey.com/Photos/B&B%20Electronics/MFG_ESP901.jpg,1165-1164-ND,BB-ESP901,"B&B SmartWorx, Inc.",ETHERNET TO SER RS-232/422/485,5,18,"195.70000","0","1","Vlinx™","Active","Ethernet to Serial","RS-232/422/485","1"
https://www.lantronix.com/wp-content/uploads/pdf/EDS1100_EDS2100_PB.pdf,//media.digikey.com/photos/LANTRONIX/ED1100002-01.jpg,1829-1044-ND,ED1100002-01,"Lantronix, Inc.",ETHERNET TO SER RS-232/422/485,2,0,"214.00000","0","1","EDS1100","Active","Ethernet to Serial","RS-232/422/485","1"
https://www.digi.com/pdf/prd_ds_digionespia.pdf,//media.digikey.com/Photos/Digi%20Int'l%20Photos/70001999.jpg,602-1812-ND,70001999,Digi International,ETHERNET TO SER RS-232/422/485,9,0,"227.00000","0","1","DigiOne® SP IA","Active","Ethernet to Serial","RS-232/422/485","1"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/270276x_UM.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2702764.JPG,277-15778-ND,2702764,Phoenix Contact,ETHERNET TO SER RS-232/422/485,12,0,"420.00000","0","1","-","Active","Ethernet to Serial","RS-232/422/485","1"
//media.digikey.com/pdf/Data%20Sheets/Digi%20International%20PDFs/AnywhereUSB_Plus_2-11-19.pdf,//media.digikey.com/Photos/Digi%20Int'l%20Photos/MFG_AW24-G300.jpg,602-2295-ND,AW24-G300,Digi International,2X USB 3.1 OVER ETHERNET,17,0,"2428.00000","0","1","AnywhereUSB® Plus","Active","Ethernet to USB","RS-232","24"
https://www.digi.com/pdf/ds_connectportlts.pdf,//media.digikey.com/Photos/Digi%20Int'l%20Photos/70002413.jpg,602-1577-ND,70002413,Digi International,ETHERNET TO SER RS-232/422/485,3,0,"2581.01000","0","1","ConnectPort® LTS","Active","Ethernet to Serial","RS-232/422/485","32"
http://downloadt.advantech.com/ProductFile/PIS/EKI-1511X/Product%20-%20Datasheet/DS-EKI-1511X_1512X-EN20150717145910.pdf,//media.digikey.com/photos/Advantech%20Corp%20Photos/EKI-1511X-AE.JPG,EKI-1511X-AE-ND,EKI-1511X-AE,"B&B SmartWorx, Inc.",ETHERNET TO SERIAL RS-422/485,8,0,"126.00000","0","1","-","Active","Ethernet to Serial","RS-422/485","1"
http://www.atop.com.cn/atop/mw/cufiles/files/download_dm/iapl_dm/DM_SE5002D.pdf,//media.digikey.com/Photos/ATOP-Technologies/MFG_SE5002D.jpg,SE5002D-ND,SE5002D,ATOP Technologies,FIBER OPT TO SER RS-232/422/485,7,0,"140.62000","0","1","-","Active","Fiber Optic to Serial","RS-232/422/485","2"
http://www.atop.com.tw/atop/mw/cufiles/files/download_dm/iapl_dm/CA_SE5002-V4-2017_06_30.pdf,//media.digikey.com/Photos/ATOP-Technologies/MFG_SE5002-S55IS%28TB%29.jpg,SE5002-S55IS(TB)-ND,SE5002-S55IS(TB),ATOP Technologies,ETHERNET TO SERIAL RS-422/285,6,0,"153.77000","0","1","-","Active","Ethernet to Serial","RS-422/285","2"
http://downloadt.advantech.com/ProductFile/PIS/EKI-1511X/Product%20-%20Datasheet/DS-EKI-1511X_1512X-EN20150717145910.pdf,//media.digikey.com/photos/Advantech%20Corp%20Photos/EKI-1512X-AE.JPG,EKI-1512X-AE-ND,EKI-1512X-AE,"B&B SmartWorx, Inc.",ETHERNET TO SERIAL RS-422/485,5,0,"164.00000","0","1","-","Active","Ethernet to Serial","RS-422/485","2"
http://www.atop.com.cn/atop/mw/cufiles/files/download_dm/iapl_dm/DM_SE5002D.pdf,//media.digikey.com/Photos/ATOP-Technologies/MFG_SE5002D-SFP.jpg,SE5002D-SFP-ND,SE5002D-SFP,ATOP Technologies,FIBER OPT TO SER RS-232/422/485,10,0,"180.13000","0","1","-","Active","Fiber Optic to Serial","RS-232/422/485","2"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2313478.pdf,//media.digikey.com/Photos/Phoenix%20Photos/2313478.jpg,277-3062-ND,2313478,Phoenix Contact,ETHERNET TO SER RS-232/422/485,3,0,"387.00000","0","1","-","Active","Ethernet to Serial","RS-232/422/485","1"
http://advdownload.advantech.com/productfile/PIS/BB-ESR901/Product%20-%20Datasheet/ESR90x-2213ds20171227101614.pdf,//media.digikey.com/Photos/B&B%20Electronics/MFG_ESR90x-SERIES.jpg,1165-1166-ND,BB-ESR902,"B&B SmartWorx, Inc.",ETHERNET TO SER RS-232/422/485,2,64,"430.54000","0","1","Vlinx™","Active","Ethernet to Serial","RS-232/422/485","2"
http://www.atop.com.cn/atop/mw/cufiles/files/download_dm/iapl_dm/DM_SE5408A_5416A.pdf,//media.digikey.com/Photos/ATOP-Technologies/MFG_SE5408-back.jpg,SE5408A2-N-DC-ND,SE5408A2-N-DC,ATOP Technologies,ETHERNET TO SER RS-232/422/485,4,0,"572.67000","0","1","-","Active","Ethernet to Serial","RS-232/422/485","8"
http://www.atop.com.cn/atop/mw/cufiles/files/download_dm/iapl_dm/DM_SE5408A_5416A.pdf,//media.digikey.com/Photos/ATOP-Technologies/MFG_SE5408-back.jpg,SE5408A-EU-ND,SE5408A-EU,ATOP Technologies,ETHERNET TO SERIAL RS-232,4,0,"654.48000","0","1","-","Active","Ethernet to Serial","RS-232","8"
