Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Kit Type","Main Purpose","Interconnect System","Suggested Programming Environment","Utilized IC / Part","Included MCU/MPU Board(s)"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/KIT-14489_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_KIT-14489.jpg,1568-1725-ND,KIT-14489,SparkFun Electronics,SPECTACLE LIGHT KIT,1,0,"100.00000","0","1","-","Active","Starter Kit","Lighting Kit","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Pimoroni%20PDFs/PIM431_Web.pdf,-,1778-PIM431-ND,PIM431,Pimoroni Ltd,HDMI 10"" LCD SCREEN KIT (1024X76,0,0,"127.35000","0","1","-","Active","Project Kit","LCD Kit","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/KIT-14486_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_KIT-14486.jpg,1568-1728-ND,KIT-14486,SparkFun Electronics,SPECTACLE LIGHT AND SOUND KIT,1,0,"150.00000","0","1","-","Active","Starter Kit","Audio, Visual","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/DFRobot%20PDFs/TOY0084_Web.pdf,-,1738-1421-ND,TOY0084,DFRobot,BOSON SCIENCE KIT,0,0,"153.47000","0","1","Boson","Active","Sensor Kit","Science Kit","Boson, micro:bit","Arduino IDE, Javascript, Python","HTU21D-F","-"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/KIT-14458_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_KIT-14458.jpg,1568-1782-ND,KIT-14458,SparkFun Electronics,MBED STARTER KIT,1,0,"175.00000","0","1","SparkFun mbed Starter Kit (mSK)","Active","Starter Kit","Inventor Kit","-","mbed","LPC1768","OM11043,598"
//media.digikey.com/pdf/Data%20Sheets/DFRobot%20PDFs/TOY0083_Web.pdf,-,1738-1420-ND,TOY0083,DFRobot,BOSON INVENTOR KIT,0,0,"256.47000","0","1","Boson","Active","Sensor Kit","Inventor Kit","Boson, micro:bit","-","MPU-9250","-"
-,-,10980000021-ND,10980000021,HARTING,MONTAGEANLEITUNG HAN-QUICK LOCK,0,0,"0.13280","0","2000","*","Active","-","-","-","-","-","-"
https://www.kitronik.co.uk/pdf/2148_squeezy_torch_essentials_2_0.pdf,-,2148-ND,2148,Kitronik Ltd.,SQUEEZY TORCH KIT,0,0,"2.18271","0","70","-","Active","Project Kit","LED Kit","-","-","-","-"
https://www.kitronik.co.uk/pdf/2145_coin_cell_power_board_essentials_2_0.pdf,-,2145KI-ND,2145,Kitronik Ltd.,COIN CELL POWER BOARD KIT,0,0,"2.45714","0","77","-","Active","Project Kit","Power","-","-","-","-"
https://www.kitronik.co.uk/pdf/2113_heat_activated_switch_essentials_2_0.pdf,-,2113KI-ND,2113,Kitronik Ltd.,HEAT ACTIVATED SWITCH,0,0,"2.61395","0","81","-","Active","Project Kit","Switch Kit","-","-","-","-"
https://www.kitronik.co.uk/pdf/2111_easy_build_timer_essentials_2_1.pdf,-,2111KI-ND,2111,Kitronik Ltd.,EASY BUILD TIMER PROJECT KIT,0,0,"2.99297","0","64","-","Active","Project Kit","Timer Kit","-","-","-","-"
https://www.kitronik.co.uk/pdf/2106_rear_bike_light_kit_build_instructions.pdf,-,1006KI-ND,1006,Kitronik Ltd.,RETAIL PACK - BIKE LIGHT KIT,0,0,"3.25442","0","52","-","Active","Project Kit","Lighting Kit","-","-","-","-"
https://www.kitronik.co.uk/pdf/2132_white_usb_lamp_essentials_2_1.pdf,-,2132KI-ND,2132,Kitronik Ltd.,WHITE USB LAMP KIT,0,0,"3.26746","0","67","-","Active","Project Kit","Lighting Kit","-","-","-","-"
https://www.kitronik.co.uk/pdf/2131_colour_changing_usb_lamp_essentials_2_1.pdf,-,2131KI-ND,2131,Kitronik Ltd.,COLOUR CHANGING USB LAMP KIT,0,0,"3.26759","0","58","-","Active","Project Kit","Lighting Kit","-","-","-","-"
https://www.kitronik.co.uk/pdf/2114_white_led_torch_essentials_2_0.pdf,-,2114KI-ND,2114,Kitronik Ltd.,LED TORCH KIT WITH BATTERY,0,0,"3.33293","0","58","-","Active","Project Kit","LED Kit","-","-","-","-"
https://www.kitronik.co.uk/pdf/2107_steady_hand_terminal_block_teaching_notes_2_0.pdf,-,2107-01-ND,2107-01,Kitronik Ltd.,STEADY HAND TERMINAL PROJECT KIT,0,0,"3.43735","0","49","-","Active","Project Kit","Game Kit","-","-","-","-"
https://www.kitronik.co.uk/pdf/2111_easy_build_timer_essentials_2_0.pdf,-,1011KI-ND,1011,Kitronik Ltd.,RETAIL PACK - EASY BUILD TIMER K,0,0,"3.58128","0","47","-","Active","Project Kit","Timer Kit","-","-","-","-"
https://www.kitronik.co.uk/pdf/2146_led_picture_frame_essentials_2_0.pdf,-,2146-ND,2146,Kitronik Ltd.,LED PICTURE FRAME KIT,0,0,"3.85565","0","46","-","Active","Project Kit","LED Kit","-","-","-","-"
https://www.kitronik.co.uk/pdf/2155_5v_led_desk_lamp_essentials_2_1.pdf,-,2155KI-ND,2155,Kitronik Ltd.,5V LED DESK LAMP KIT,0,0,"3.98644","0","59","-","Active","Project Kit","LED Kit","-","-","-","-"
https://www.kitronik.co.uk/pdf/2117_555_timer_tone_generator_essentials_2_0.pdf,-,2117KI-ND,2117,Kitronik Ltd.,555 TIMER ASTABLE (TONE GENERATO,0,0,"4.07791","0","43","-","Active","Project Kit","Timer Kit","-","-","-","-"
https://www.kitronik.co.uk/pdf/2114_white_led_torch_essentials_2_0.pdf,-,1014KI-ND,1014,Kitronik Ltd.,RETAIL PACK - WHITE LED TORCH KI,0,0,"4.13024","0","41","-","Active","Project Kit","LED Kit","-","-","-","-"
