Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Title","Author(s)","Publisher","ISBN"
//media.digikey.com/pdf/Data%20Sheets/O'Reilly_PDFs/9781449368104.pdf,//media.digikey.com/Photos/O%27Reilly-Media/9781449368104.JPG,1653-1020-ND,9781449368104,O'Reilly Media,MAKE: SENSORS,5,0,"34.99000","0","1","-","Active","Book","MAKE: Sensors","Tero Karvinen, Kimmo Karvinen, Ville Valtokari","Maker Media, Inc.","978-1-4493-6810-4"
//media.digikey.com/pdf/Data%20Sheets/O'Reilly_PDFs/9781449336516.pdf,//media.digikey.com/Photos/O%27Reilly-Media/9781449336516.JPG,1653-1021-ND,9781449336516,O'Reilly Media,MAKE: WEARABLE ELECTRONICS,5,0,"34.99000","0","1","-","Active","Book","MAKE: Wearable Electronics","Kate Hartman","Maker Media, Inc.","978-1-4493-3651-6"
//media.digikey.com/pdf/Data%20Sheets/O'Reilly_PDFs/9781491939109_WEB.pdf,//media.digikey.com/Photos/O'Reilly-Media/MFG_9781491939109.jpg,1653-1040-ND,9781491939109,O'Reilly Media,RASPBERRY PI COOKBOOK 2ND ED,3,0,"39.99000","0","1","-","Active","Book","Raspberry Pi Cookbook (2nd Edition)","Simon Monk","O'Reilly Media","978-1-4919-3910-9"
//media.digikey.com/pdf/Data%20Sheets/O'Reilly_PDFs/9781491921760.pdf,//media.digikey.com/Photos/O'Reilly-Media/MFG_9781491921760.jpg,1653-1038-ND,9781491921760,O'Reilly Media,ARDUINO: A TECHNICAL REFERENCE,5,0,"49.99000","0","1","-","Active","Book","Arduino: A Technical Reference","John M. Hughes","O'Reilly Media","978-1-4919-2176-0"
//media.digikey.com/pdf/Data%20Sheets/O'Reilly_PDFs/9781680451054.pdf,//media.digikey.com/Photos/O'Reilly-Media/MFG_9781680451054.jpg,1653-1034-ND,9781680451054,O'Reilly Media,MAKE IT GLOW,1,0,"19.99000","0","1","-","Active","Book","Make It Glow","Emily Coker, Kelli Townley","Maker Media, Inc.","978-1-68045-105-4"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/BOK-14326_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/BOK-14326.JPG,1568-1688-ND,BOK-14326,SparkFun Electronics,SPARKFUN ARDUINO INVENTOR GUIDE,5,0,"29.95000","0","1","-","Active","Book","The Arduino Inventor's Guide","Brian Huang, Derek Runberg","No Starch Press","978-1-59327-652-2"
-,//media.digikey.com/photos/Digi-Key%20Photos/cw5001.JPG,CW5001-CD,CW5001,Digi-Key Electronics,CW1011+1021+1031+1041+1051,0,0,"35.95000","0","1","-","Active","CD","Set of 5 Classical Music CDs","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/DFRobot%20PDFs/DWG0001-B_Web.pdf,//media.digikey.com/Photos/DFRobot/MFG_DWG0001-B.jpg,DWG0001-B-ND,DWG0001-B,DFRobot,PROJECT NOTEBOOK BLACK,0,0,"2.99000","0","1","-","Active","Book","Project Notebook","-","-","-"
-,-,999918-ND,999918,Wurth Electronics Inc.,CD-ROM DESIGN OF FLYBACK APP,0,0,"3.75000","0","1","-","Active","CD","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/BOK-13971_Web.pdf,-,BOK-13971-ND,BOK-13971,SparkFun Electronics,INVENTOR'S KIT GUIDEBOOK - V3.3,0,0,"3.95000","0","1","-","Active","Book","Sik Guide","-","SparkFun Electronics, Inc.","-"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/BOK-14270_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_BOK-14270.jpg,BOK-14270-ND,BOK-14270,SparkFun Electronics,LILYPAD SEWABLE ELECTRONICS KIT,0,0,"4.95000","0","1","LilyPad","Active","Book","LilyPad Sewable Electronics Kit Guide","-","-","-"
https://cdn.sparkfun.com/datasheets/Kits/SIK/SparkFun_Inventors_Kit_Guide_V4.0a.pdf,-,BOK-14263-ND,BOK-14263,SparkFun Electronics,SPARKFUN INVENTOR'S KIT GUIDEBOO,0,0,"4.95000","0","1","-","Active","Book","SparkFun Inventor's Kit Guidebook - v4.0","-","SparkFun Electronics, Inc.","-"
//media.digikey.com/pdf/Data%20Sheets/O'Reilly_PDFs/9781680454031.pdf,//media.digikey.com/Photos/O'Reilly-Media/MFG_9781680454031.jpg,1653-1049-ND,9781680454031,O'Reilly Media,HOW TO USE A BREADBOARD BY SEAN,24,0,"9.99000","0","1","-","Active","Book","How to Use a Breadboard","Sean Michael Ragan, Jody Culkin","O'Reilly Media","9781680454031"
-,-,1653-1054-ND,9781680455540,O'Reilly Media,EASY MICRO:BIT PROJECTS,5,0,"9.99000","0","1","-","Active","Book","Easy micro:bit Projects","Eric Hagan","Maker Media, Inc.","9781680455540"
//media.digikey.com/pdf/Data%20Sheets/O'Reilly_PDFs/Jumpstarting%20C.PDF,-,1653-1057-ND,9781680454987,O'Reilly Media,JUMPSTARTING C,5,0,"12.99000","0","1","-","Active","Book","Jumpstarting C","Worlfram Donat","Maker Media, Inc.","9781680454987"
//media.digikey.com/pdf/Data%20Sheets/O'Reilly_PDFs/Jumpstarting%20JavaScript.pdf,-,1653-1056-ND,9781680454970,O'Reilly Media,JUMPSTARTING JAVASCRIPT,4,0,"12.99000","0","1","-","Active","Book","Jumpstarting JavaScript","Lynn Beighley","Maker Media, Inc.","9781680454970"
//media.digikey.com/pdf/Data%20Sheets/O'Reilly_PDFs/Jumpstarting%20the%20Raspberry%20Pi%20Zero%20W.PDF,-,1653-1051-ND,9781680454567,O'Reilly Media,JUMPSTARTING RASPBERRY PI ZERO W,3,0,"12.99000","0","1","-","Active","Book","Jumpstarting the Raspberry Pi Zero W","Akkana Peck","Maker Media, Inc.","9781680454567"
