Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Voltage - Input","Output","Type","Size / Dimension","Mounting Type"
https://www.jkllamps.com/pdfs/NDL-104LP.pdf,//media.digikey.com/photos/JKL/NDL-104LP.jpg,289-1132-ND,NDL-104LP,JKL Components Corp.,INVERTER 20-60CM2 FOR EL LAMP,0,0,"Obsolete","0","100","-","Obsolete","3 ~ 5.5V","6 V ~ 90 V","Electroluminescent (EL) Backlighting","1.26"" L x 1.06"" W x 0.20"" H (32mm x 27mm x 5mm)","Through Hole"
//media.digikey.com/pdf/Data%20Sheets/JKL%20PDFs/BXA-501.pdf,//media.digikey.com/photos/JKL/BXA-501.jpg,289-1134-ND,BXA-501,JKL Components Corp.,INVERTER 700V FOR CCFL UV LAMP,0,0,"Obsolete","0","100","-","Obsolete","5V","700V","CCFL and UV Lamps","1.65"" L x 0.79"" W x 0.43"" H (42mm x 20mm x 11mm)","Through Hole"
http://www.tamuracorp.com/clientuploads/pdfs/engineeringdocs/HBL-0204.pdf,-,HBL-0204-ND,HBL-0204,Tamura,INVERTER CFL 3.6VIN 500VAC 2MA,0,0,"Obsolete","0","100","-","Obsolete","3.6V","900V","CCFL and UV Lamps","2.34"" L x 0.35"" W x 0.35"" H (59.5mm x 9mm x 8.9mm)","Chassis Mount"
http://www.tamuracorp.com/clientuploads/pdfs/engineeringdocs/HBL-0270.pdf,-,HBL-0270-ND,HBL-0270,Tamura,INVERTER CFL 6.0VIN 900VAC 2MA,0,0,"Obsolete","0","100","-","Obsolete","6V","900V","CCFL and UV Lamps","2.34"" L x 0.35"" W x 0.35"" H (59.5mm x 9mm x 8.9mm)","Chassis Mount"
//media.digikey.com/pdf/Data%20Sheets/TDK%20PDFs/CXA-0271.pdf,//media.digikey.com/photos/TDK%20Photos/CXA-0271.jpg,445-1608-ND,CXA-0271,TDK Corporation,INVERTER 12V-INPUT 1500V-OUTPUT,0,0,"Obsolete","0","40","CXA","Obsolete","12V","1500V","CCFL and UV Lamps","5.51"" L x 1.18"" W x 0.31"" H (140mm x 30mm x 8mm)","Chassis Mount"
//media.digikey.com/pdf/Data%20Sheets/TDK%20PDFs/CXA-0308.pdf,//media.digikey.com/photos/TDK%20Photos/CXA-0308.jpg,445-1609-ND,CXA-0308,TDK Corporation,INVERTER 12V-INPUT 1250V-OUTPUT,0,0,"Obsolete","0","40","CXA","Obsolete","12V","1250V","CCFL and UV Lamps","4.13"" L x 0.95"" W x 0.33"" H (105mm x 25mm x 8.5mm)","Chassis Mount"
//media.digikey.com/pdf/Data%20Sheets/TDK%20PDFs/CXA-0326.pdf,//media.digikey.com/photos/TDK%20Photos/CXA-0326.jpg,445-1610-ND,CXA-0326,TDK Corporation,INVERTER 12V-INPUT 1300V-OUTPUT,0,0,"Obsolete","0","40","CXA","Obsolete","12V","1300V","CCFL and UV Lamps","4.06"" L x 1.18"" W x 0.31"" H (103mm x 30mm x 8mm)","Chassis Mount"
//media.digikey.com/pdf/Data%20Sheets/TDK%20PDFs/CXA-0338.pdf,//media.digikey.com/photos/TDK%20Photos/CXA-0338.jpg,445-1611-ND,CXA-0338,TDK Corporation,INVERTER 12V-INPUT 1250V-OUTPUT,0,0,"Obsolete","0","20","CXA","Obsolete","12V","1250V","CCFL and UV Lamps","4.13"" L x 0.95"" W x 0.33"" H (105mm x 25mm x 8.5mm)","Chassis Mount"
//media.digikey.com/pdf/Data%20Sheets/TDK%20PDFs/CXA-K0505-VJL.pdf,//media.digikey.com/photos/TDK%20Photos/CXA-K0505-VJL.jpg,445-1612-ND,CXA-K0505-VJL,TDK Corporation,INVERTER 12V-INPUT 900V-OUTPUT,0,0,"Obsolete","0","50","CXA","Obsolete","12V","900V","CCFL and UV Lamps","3.43"" L x 0.65"" W x 0.25"" H (87mm x 16.5mm x 6.3mm)","Chassis Mount"
//media.digikey.com/pdf/Data%20Sheets/TDK%20PDFs/CXA-L0505-NJL.pdf,//media.digikey.com/photos/TDK%20Photos/CXA-L0505-NJL.JPG,445-1614-ND,CXA-L0505-NJL,TDK Corporation,INVERTER 5V-INPUT 1500V-OUTPUT,0,0,"Obsolete","0","240","CXA","Obsolete","5V","1500V","CCFL and UV Lamps","3.17"" L x 0.81"" W x 0.31"" H (80.5mm x 20.5mm x 8mm)","Chassis Mount"
