Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Configuration","Number of LEDs","Color","Controller Type","Utilized LED","Interface","Mounting Type","Size / Dimension"
https://github.com/sparkfun/OpenSegment,//media.digikey.com/photos/Sparkfun%20Elec%20%20Photos/MFG_COM-11644.jpg,COM-11646-ND,COM-11646,SparkFun Electronics,ADDRESS LED 7 SEG I2C GREEN,0,0,"Obsolete","0","1","-","Obsolete","7 Segment","4 Digit","Green","ATMega328","-","I²C, SPI, UART","User Defined","40.6mm L x 22.9mm W"
https://github.com/sparkfun/Serial7SegmentDisplay/wiki/Serial-7-Segment-Display-Datasheet,//media.digikey.com/photos/Sparkfun%20Elec%20%20Photos/MFG_COM-11644.jpg,COM-11644-ND,COM-11644,SparkFun Electronics,ADDRESS LED 7 SEG I2C RED,0,0,"Obsolete","0","1","-","Obsolete","7 Segment","4 Digit","Red","ATMega328","-","I²C, SPI, UART","User Defined","40.6mm L x 22.9mm W"
https://github.com/sparkfun/Serial7SegmentDisplay/wiki/Serial-7-Segment-Display-Datasheet,//media.digikey.com/photos/Sparkfun%20Elec%20%20Photos/MFG_COM-11644.jpg,COM-11648-ND,COM-11648,SparkFun Electronics,ADDRESS LED 7 SEG I2C WHITE,0,0,"Obsolete","0","1","-","Obsolete","7 Segment","4 Digit","White","ATMega328","-","I²C, SPI, UART","User Defined","40.6mm L x 22.9mm W"
https://github.com/sparkfun/Serial7SegmentDisplay/wiki/Serial-7-Segment-Display-Datasheet,//media.digikey.com/photos/Sparkfun%20Elec%20%20Photos/MFG_COM-11644.jpg,COM-11645-ND,COM-11645,SparkFun Electronics,ADDRESS LED 7 SEG I2C YELLOW,0,0,"Obsolete","0","1","-","Obsolete","7 Segment","4 Digit","Yellow","ATMega328","-","I²C, SPI, UART","User Defined","40.6mm L x 22.9mm W"
http://image.dfrobot.com/image/data/DFR0202/DFRobot%20DFR0202.zip,//media.digikey.com/Photos/DFRobot/MFG_DFR0202.jpg,DFR0202-ND,DFR0202,DFRobot,ADDRESS LED MODULE SPI RGB,0,0,"Obsolete","0","1","-","Obsolete","Module","1","Red, Green, Blue (RGB)","-","-","SPI","Surface Mount","60.00mm L x 60.00mm W"
-,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_COM-14608.jpg,1568-1826-ND,COM-14608,SparkFun Electronics,ADDRESS LED STRIP SER RGB 10PK,0,0,"Obsolete","0","1","-","Obsolete","Strip","10","Red, Green, Blue (RGB)","-","APA102C","Serial (Shift Register)","User Defined","-"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/COM-14612_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_COM-14612.jpg,1568-1843-ND,COM-14612,SparkFun Electronics,ADDRESS LED STRIP SERIAL RGBW 1M,0,0,"Obsolete","0","1","-","Obsolete","Strip","60","Red, Green, Blue, White (RGBW)","-","SK6812","Serial","User Defined","1000.00mm L"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/COM-14613_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_COM-14613.jpg,1568-1844-ND,COM-14613,SparkFun Electronics,ADDRESS LED STRIP SERIAL RGBW 1M,0,0,"Obsolete","0","1","-","Obsolete","Strip","60","Red, Green, Blue, White (RGBW)","-","SK6812","Serial","User Defined","1000.00mm L"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/COM-14614_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_COM-14614.jpg,1568-1845-ND,COM-14614,SparkFun Electronics,ADDRESS LED STRIP SERIAL RGBW 1M,0,0,"Obsolete","0","1","-","Obsolete","Strip","144","Red, Green, Blue, White (RGBW)","-","SK6812","Serial","User Defined","1000.00mm L"
http://www.seeedstudio.com/wiki/images/7/71/WS2812B-144LED-per-meter.pdf,//media.digikey.com/Photos/Seeed%20Technology%20Ltd/MFG_104990089_A.jpg,104990089-ND,104990089,"Seeed Technology Co., Ltd",ADDRESS LED STRIP SERIAL RGB 1M,0,0,"Obsolete","0","1","-","Obsolete","Strip (White)","144","Red, Green, Blue (RGB)","-","WS2812 (5050)","Serial (Shift Register)","User Defined","1000.00mm L"
http://www.seeedstudio.com/wiki/images/7/71/WS2812B-144LED-per-meter.pdf,-,104990090-ND,104990090,"Seeed Technology Co., Ltd",ADDRESS LED STRIP SERIAL RGB 2M,0,0,"Obsolete","0","1","-","Obsolete","Strip (White)","144","Red, Green, Blue (RGB)","-","WS2810 (5050)","Serial (Shift Register)","User Defined","2000.00mm L"
http://www.seeedstudio.com/document/pdf/HCF5V-256%20Screen%20Datasheet.pdf,//media.digikey.com/Photos/Seeed%20Technology%20Ltd/MFG_104990127.jpg,104990127-ND,104990127,"Seeed Technology Co., Ltd",ADDRESS LED MATRIX SERIAL RGB,0,0,"Obsolete","0","1","-","Obsolete","Matrix","256 (16 x 16)","Red, Green, Blue (RGB)","-","WS2812 (5050)","Serial (Shift Register)","User Defined","-"
http://www.seeedstudio.com/document/pdf/WS2812B%20Datasheet.pdf,-,104990128-ND,104990128,"Seeed Technology Co., Ltd",ADDRESS LED MATRIX SERIAL RGB,0,0,"Obsolete","0","1","-","Obsolete","Matrix","256 (8 x 32)","Red, Green, Blue (RGB)","-","WS2812 (5050)","Serial (Shift Register)","User Defined","-"
http://www.seeedstudio.com/document/pdf/WS2812B%20Datasheet.pdf,//media.digikey.com/Photos/Seeed%20Technology%20Ltd/MFG_104990129.jpg,104990129-ND,104990129,"Seeed Technology Co., Ltd",ADDRESS LED MATRIX SERIAL RGB,0,0,"Obsolete","0","2","-","Obsolete","Matrix","64 (8 x 8)","Red, Green, Blue (RGB)","-","WS2812 (5050)","Serial (Shift Register)","User Defined","-"
http://www.seeedstudio.com/document/pdf/WS2812B%20Datasheet.pdf,-,104990139-ND,104990139,"Seeed Technology Co., Ltd",ADDRESS LED MODULE SERIAL RGB,0,0,"Obsolete","0","34","-","Obsolete","Module","1","Red, Green, Blue (RGB)","-","WS2812 (5050)","Serial (Shift Register)","User Defined","5.00mm L x 5.00mm W"
-,//media.digikey.com/Photos/Seeed%20Technology%20Ltd/MFG_104990151.jpg,104990151-ND,104990151,"Seeed Technology Co., Ltd",ADDRESS LED DISCRETE SERIAL RGB,0,0,"Obsolete","0","13","-","Obsolete","Discrete","10","Red, Green, Blue (RGB)","-","WS2812 (5050)","Serial (Shift Register)","Surface Mount","5.00mm L x 5.00mm W"
http://www.seeedstudio.com/document/pdf/WS2812B%20Datasheet.pdf,-,114990191-ND,114990191,"Seeed Technology Co., Ltd",ADDRESS LED MODULE SERIAL RGB,0,0,"Obsolete","0","5","-","Obsolete","Module","10","Red, Green, Blue (RGB)","-","WS2812 (5050)","Serial (Shift Register)","User Defined","5.00mm L x 5.00mm W"
http://www.seeedstudio.com/document/pdf/WS2812B%20Datasheet.pdf,-,110990053-ND,110990053,"Seeed Technology Co., Ltd",ADDRESS LED DISCRETE SERIAL RGB,0,0,"Obsolete","0","11","-","Obsolete","Discrete","10","Red, Green, Blue (RGB)","-","WS2812 (5050)","Serial (Shift Register)","Surface Mount","5.00mm L x 5.00mm W"
http://www.seeedstudio.com/document/pdf/LPD6803%20(English).pdf,//media.digikey.com/Photos/Seeed%20Technology%20Ltd/MFG_104990028.jpg,104990028-ND,104990028,"Seeed Technology Co., Ltd",ADDRESS LED STRIP SERIAL RGB,0,0,"Obsolete","0","2","-","Obsolete","Strip","40","Red, Green, Blue (RGB)","-","-","Serial (Shift Register)","User Defined","-"
-,-,104990052-ND,104990052,"Seeed Technology Co., Ltd",ADDRESS LED 7 SEG RED 3"",0,0,"Obsolete","0","500","-","Obsolete","7 Segment","1 Digit","Red","-","-","-","User Defined","76.2mm"
-,-,104990055-ND,104990055,"Seeed Technology Co., Ltd",ADDRESS LED 7 SEG RED 8"",0,0,"Obsolete","0","4","-","Obsolete","7 Segment","1 Digit","Red","-","-","-","User Defined","203mm"
-,-,104990058-ND,104990058,"Seeed Technology Co., Ltd",ADDRESS LED 7 SEG GREEN 8"",0,0,"Obsolete","0","4","-","Obsolete","7 Segment","1 Digit","Green","-","-","-","User Defined","203mm"
