Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Number of Positions","Pitch","Outer Dimension","Inner Dimension","Thermal Center Pad","Material"
http://www.chipquik.com/datasheets/PA0086-S.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_PA0086-S.JPG,PA0086-S-ND,PA0086-S,Chip Quik Inc.,SOT23-5/SC59-5/SC-74A STENCIL,0,0,"11.59000","0","1","Proto-Advantage PA","Active","SOT/SC","5","0.037"" (0.95mm)","1.300"" L x 0.900"" W (33.02mm x 22.86mm)","-","-","Stainless Steel"
http://www.chipquik.com/datasheets/PA0085-S.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_PA0085-S.JPG,PA0085-S-ND,PA0085-S,Chip Quik Inc.,SOT23-6/SC59-6 STENCIL,0,0,"11.59000","0","1","Proto-Advantage PA","Active","SOT/SC","6","0.037"" (0.95mm)","1.300"" L x 0.900"" W (33.02mm x 22.86mm)","-","-","Stainless Steel"
http://www.chipquik.com/datasheets/PA0005-S.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_PA0005-S.JPG,PA0005-S-ND,PA0005-S,Chip Quik Inc.,SOIC-16 STENCIL,0,0,"11.59000","0","1","Proto-Advantage PA","Active","SOIC","16","0.050"" (1.27mm)","1.300"" L x 0.900"" W (33.02mm x 22.86mm)","-","-","Stainless Steel"
http://www.chipquik.com/datasheets/IPC0018-S.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_IPC0018-S.JPG,IPC0018-S-ND,IPC0018-S,Chip Quik Inc.,QFN-28 STENCIL,0,0,"11.59000","0","1","Proto-Advantage IPC","Active","QFN/LFCSP","28","0.026"" (0.65mm)","1.300"" L x 0.900"" W (33.02mm x 22.86mm)","0.236"" L x 0.236"" W (6.00mm x 6.00mm)","0.161"" L x 0.161"" W (4.10mm x 4.10mm)","Stainless Steel"
http://www.chipquik.com/datasheets/PA0067-S.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_PA0067-S.JPG,PA0067-S-ND,PA0067-S,Chip Quik Inc.,QFN-32 STENCIL,0,0,"11.59000","0","1","Proto-Advantage PA","Active","QFN/LFCSP","32","0.020"" (0.50mm)","1.300"" L x 0.900"" W (33.02mm x 22.86mm)","0.197"" L x 0.197"" W (5.00mm x 5.00mm)","-","Stainless Steel"
http://www.chipquik.com/datasheets/PA0011-S.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_PA0011-S.JPG,PA0011-S-ND,PA0011-S,Chip Quik Inc.,SOIC-28 STENCIL,0,0,"11.59000","0","1","Proto-Advantage PA","Active","SOIC","28","0.050"" (1.27mm)","1.300"" L x 0.900"" W (33.02mm x 22.86mm)","-","-","Stainless Steel"
http://www.chipquik.com/datasheets/IPC0076-S.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_IPC0076-S.JPG,IPC0076-S-ND,IPC0076-S,Chip Quik Inc.,MSOP-8 STENCIL,0,0,"11.59000","0","1","Proto-Advantage IPC","Active","MSOP","8","0.026"" (0.65mm)","1.300"" L x 0.900"" W (33.02mm x 22.86mm)","0.118"" L x 0.118"" W (3.00mm x 3.00mm)","0.110"" L x 0.079"" W (2.80mm x 2.00mm)","Stainless Steel"
http://www.chipquik.com/datasheets/PA0107-S.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_PA0107-S.JPG,PA0107-S-ND,PA0107-S,Chip Quik Inc.,PLCC-44/LCC-44/JLCC-44 STENCIL,0,0,"11.59000","0","1","Proto-Advantage PA","Active","PLCC/JLCC","44","0.050"" (1.27mm)","1.950"" L x 1.350"" W (49.53mm x 34.29mm)","0.689"" L x 0.689"" W (17.50mm x 17.50mm)","-","Stainless Steel"
http://www.chipquik.com/datasheets/IPC0027-S.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_IPC0027-S.JPG,IPC0027-S-ND,IPC0027-S,Chip Quik Inc.,QFN-44 STENCIL,0,0,"11.59000","0","1","Proto-Advantage IPC","Active","QFN/LFCSP","44","0.020"" (0.50mm)","1.300"" L x 0.900"" W (33.02mm x 22.86mm)","0.276"" L x 0.276"" W (7.00mm x 7.00mm)","0.130"" L x 0.130"" W (3.30mm x 3.30mm)","Stainless Steel"
http://www.chipquik.com/datasheets/PA0195-S.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_PA0195-S.JPG,PA0195-S-ND,PA0195-S,Chip Quik Inc.,TSSOP-28-EXP-PAD STENCIL,0,0,"11.59000","0","1","Proto-Advantage PA","Active","TSSOP","28","0.026"" (0.65mm)","1.300"" L x 0.900"" W (33.02mm x 22.86mm)","0.382"" L x 0.173"" W (9.70mm x 4.40mm)","0.630"" L x 0.118"" W (16.00mm x 3.00mm)","Stainless Steel"
