Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Size","For Use With/Related Products","Specifications"
http://documents.easybraidco.com/PDF/Solder-Sponge-Slits.pdf,-,S2626-S-T-ND,S2626-S-T,MENDA/EasyBraid,SOLDR SPONGE 2.6X2.6"" SLITS 10PK,0,0,"2.26600","0","10","Solder Soakers™","Active","Sponge","2.60"" L x 2.60"" W (66.0mm x 66.0mm)","Soldering Irons, Workstands","Multiple Slits"
-,//media.digikey.com/Photos/Chemtronics/MFG_CS-44%5E625.jpg,CS-44/625-ND,CS-44/625,Techspray,SOLDER SPONGE CNTR HOLE 10PK,0,0,"2.36000","0","10","Plato®","Active","Sponge","-","Soldering Irons, Workstands","Single Center Hole"
https://www.techspray.com/Content/Images/uploaded/Documents/PLATO%20170S%20Brochure.pdf,-,CS-50-ND,CS-50,Techspray,BRASS TIP CLEANER,0,0,"2.48875","0","72","Plato®","Active","-","-","-","-"
https://www.techspray.com/Content/Images/uploaded/Documents/PLATO%20170S%20Brochure.pdf,-,CS-44-ND,CS-44,Techspray,SLDR SPNG 2.72X2.72"" CTR HOL 10P,0,0,"2.75000","0","10","Plato®","Active","Sponge","2.72"" L x 2.72"" W (69.0mm x 69.0mm)","Soldering Irons, Workstands","Single Center Hole"
https://www.techspray.com/Content/Images/uploaded/Documents/PLATO%20170S%20Brochure.pdf,//media.digikey.com/Photos/Chemtronics/MFG_CS-9%5E625.jpg,CS-9/625-ND,CS-9/625,Techspray,SLDR SPNG 4.49X3.5"" CTR HOL 10PK,0,0,"3.08100","0","10","Plato®","Active","Sponge","4.49"" L x 3.50"" W (114.0mm x 89.0mm)","Soldering Irons, Workstands","Single Center Hole"
-,-,EC305-ND,EC305,Apex Tool Group,SOLDER SPONGE 2.5X2.5"" SC STYLE,0,0,"3.50000","0","1","Weller®","Active","Sponge","2.50"" L x 2.50"" W (63.5mm x 63.5mm)","Soldering Irons, Workstands","Swiss Cheese Style"
http://documents.easybraidco.com/PDF/Solder-Sponge-Slits.pdf,-,S2745-S-T-ND,S2745-S-T,MENDA/EasyBraid,SOLDR SPONGE 4.5X2.7"" SLITS 10PK,0,0,"3.58400","0","10","Solder Soakers™","Active","Sponge","4.50"" L x 2.70"" W (114.3mm x 68.5mm)","Soldering Irons, Workstands","Multiple Slits"
-,-,T455AT-ND,T455,Apex Tool Group,SOLDER SPONGE 5.45X2.5"",0,0,"3.60000","0","1","Weller®","Active","Sponge","5.45"" L x 2.50"" W (138.4mm x 63.5mm)","Soldering Irons, Workstands","-"
http://documents.easybraidco.com/PDF/Solder-Sponge-Slits.pdf,-,S3444-S-T-ND,S3444-S-T,MENDA/EasyBraid,SOLDR SPONGE 4.4X3.4"" SLITS 10PK,0,0,"3.80100","0","10","Solder Soakers™","Active","Sponge","4.40"" L x 3.40"" W (111.8mm x 86.4mm)","Soldering Irons, Workstands","Multiple Slits"
http://documents.easybraidco.com/PDF/Solder-Sponge-Center-Hole.pdf,-,S3444-O-T-ND,S3444-O-T,MENDA/EasyBraid,SLDR SPNG 4.4X3.4"" CTR HOLE 10PK,0,0,"3.80100","0","10","Solder Soakers™","Active","Sponge","4.40"" L x 3.40"" W (111.8mm x 86.4mm)","Soldering Irons, Workstands","Single Center Hole"
