Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Transistor Type","Applications","Voltage - Rated","Current Rating (Amps)","Mounting Type","Package / Case","Supplier Device Package"
http://www.onsemi.com/pub/Collateral/EMC2DXV5T1-D.PDF,//media.digikey.com/Renders/On%20Semi%20Renders/SOT-553-5_463B.jpg,EMC3DXV5T1GOSTR-ND,EMC3DXV5T1G,ON Semiconductor,TRANS BRT NPN/PNP DL 50V SOT-553,4000,40000,"0.08841","0","4000","Tape & Reel (TR)","-","Active","1 NPN, 1 PNP - Pre-Biased (Dual)","-","50V","100mA","Surface Mount","SOT-553","SOT-553"
http://www.onsemi.com/pub/Collateral/EMC2DXV5T1-D.PDF,//media.digikey.com/Renders/On%20Semi%20Renders/SOT-553-5_463B.jpg,EMC3DXV5T1GOSCT-ND,EMC3DXV5T1G,ON Semiconductor,TRANS BRT NPN/PNP DL 50V SOT-553,4000,40000,"0.49000","0","1","Cut Tape (CT)","-","Active","1 NPN, 1 PNP - Pre-Biased (Dual)","-","50V","100mA","Surface Mount","SOT-553","SOT-553"
https://www.rohm.com/datasheet/EML22/eml22-uml23n,//media.digikey.com/renders/Rohm%20Renders/EMT6_EMT6%20PKg.jpg,EML22T2RTR-ND,EML22T2R,Rohm Semiconductor,DEVELOPED SMALL PACKAGE COMPLEX,8000,0,"0.09418","0","8000","Tape & Reel (TR)","-","Active","NPN","General Purpose","50V","150mA","Surface Mount","SOT-563, SOT-666","EMT6"
https://www.rohm.com/datasheet/EML22/eml22-uml23n,//media.digikey.com/renders/Rohm%20Renders/EMT6_EMT6%20PKg.jpg,EML22T2RCT-ND,EML22T2R,Rohm Semiconductor,DEVELOPED SMALL PACKAGE COMPLEX,8000,0,"0.46000","0","1","Cut Tape (CT)","-","Active","NPN","General Purpose","50V","150mA","Surface Mount","SOT-563, SOT-666","EMT6"
https://www.rohm.com/datasheet/EML22/eml22-uml23n,//media.digikey.com/renders/Rohm%20Renders/EMT6_EMT6%20PKg.jpg,EML22T2RDKR-ND,EML22T2R,Rohm Semiconductor,DEVELOPED SMALL PACKAGE COMPLEX,8000,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","NPN","General Purpose","50V","150mA","Surface Mount","SOT-563, SOT-666","EMT6"
https://assets.nexperia.com/documents/data-sheet/PBSM5240PF.pdf,//media.digikey.com/Renders/NXP%20Semi%20Renders/SOT1118.jpg,1727-5899-2-ND,"PBSM5240PF,115",Nexperia USA Inc.,TRANS PNP N-CH SOT1118,3000,0,"0.13200","0","3000","Tape & Reel (TR)","-","Active","PNP, N-Channel","Load Switch","40V PNP, 30V N-Channel","1.8A PNP, 660mA N-Channel","Surface Mount","6-UDFN Exposed Pad","6-HUSON-EP (2x2)"
https://assets.nexperia.com/documents/data-sheet/PBSM5240PF.pdf,//media.digikey.com/Renders/NXP%20Semi%20Renders/SOT1118.jpg,1727-5899-1-ND,"PBSM5240PF,115",Nexperia USA Inc.,TRANS PNP N-CH SOT1118,2747,0,"0.48000","0","1","Cut Tape (CT)","-","Discontinued at Digi-Key","PNP, N-Channel","Load Switch","40V PNP, 30V N-Channel","1.8A PNP, 660mA N-Channel","Surface Mount","6-UDFN Exposed Pad","6-HUSON-EP (2x2)"
https://assets.nexperia.com/documents/data-sheet/PBSM5240PF.pdf,//media.digikey.com/Renders/NXP%20Semi%20Renders/SOT1118.jpg,1727-5899-6-ND,"PBSM5240PF,115",Nexperia USA Inc.,TRANS PNP N-CH SOT1118,0,0,"Digi-Reel","0","1","Digi-Reel®","-","Discontinued at Digi-Key","PNP, N-Channel","Load Switch","40V PNP, 30V N-Channel","1.8A PNP, 660mA N-Channel","Surface Mount","6-UDFN Exposed Pad","6-HUSON-EP (2x2)"
https://www.diodes.com/assets/Datasheets/ds30295.pdf,//media.digikey.com/Renders/Diodes%20Renders/31;%20SOT363;%20;%206.jpg,CTA2N1PDITR-ND,CTA2N1P-7,Diodes Incorporated,TRANS ARRAY NPN/P-CH 60V SOT-363,0,0,"Discontinued at Digi-Key","0","30000","Tape & Reel (TR)","-","Discontinued at Digi-Key","NPN, P-Channel","General Purpose","40V NPN, 50V P-Channel","600mA NPN, 130mA P-Channel","Surface Mount","6-TSSOP, SC-88, SOT-363","SOT-363"
https://www.diodes.com/assets/Datasheets/ds30295.pdf,//media.digikey.com/Renders/Diodes%20Renders/31;%20SOT363;%20;%206.jpg,CTA2N1PDICT-ND,CTA2N1P-7,Diodes Incorporated,TRANS ARRAY NPN/P-CH 60V SOT-363,567,0,"0.61000","0","1","Cut Tape (CT)","-","Discontinued at Digi-Key","NPN, P-Channel","General Purpose","40V NPN, 50V P-Channel","600mA NPN, 130mA P-Channel","Surface Mount","6-TSSOP, SC-88, SOT-363","SOT-363"
