Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Filter Type","Size / Dimension","Height - Seated (Max)"
https://assets.lairdtech.com/home/brandworld/files/Catalog_EMI%20FILTERING%20RF%200717.pdf,-,MM0787-2B0-ND,MM0787-2B0,Laird-Signal Integrity Products,FERRITE DISC 20MMX1.91MM,0,0,"0.12218","0","6825","MM","Active","Ferrite Disk","0.787"" Dia (20.00mm)","0.075"" (1.91mm)"
https://assets.lairdtech.com/home/brandworld/files/Catalog_EMI%20FILTERING%20RF%200717.pdf,-,MP0350-0B0-ND,MP0350-0B0,Laird-Signal Integrity Products,FERRITE PLATE 26.42X8.89X1.27MM,0,0,"0.12259","0","6048","MP","Active","Ferrite Plate","1.040"" L x 0.350"" W (26.42mm x 8.89mm)","0.050"" (1.27mm)"
http://assets.lairdtech.com/home/brandworld/files/MM0787-100.pdf,"//media.digikey.com/photos/Steward%20Photos/HM0787-100,%20MM0787-100.jpg",240-2253-ND,MM0787-100,Laird-Signal Integrity Products,FERRITE EMI DISC 20MM X 1.27MM,0,0,"0.13307","0","6804","-","Active","Ferrite Disk","0.787"" Dia (20.00mm)","0.050"" (1.27mm)"
https://assets.lairdtech.com/home/brandworld/files/Catalog_EMI%20FILTERING%20RF%200717.pdf,-,MM0590-0B0-ND,MM0590-0B0,Laird-Signal Integrity Products,FERRITE DISC 97.5MMX50MMX1.1MM,0,0,"0.13503","0","7560","MM","Active","Ferrite Disk","-","-"
http://assets.lairdtech.com/home/brandworld/files/MP0590-200.pdf,//media.digikey.com/photos/Steward%20Photos/MP0590-200.jpg,240-2263-ND,MP0590-200,Laird-Signal Integrity Products,FERRITE EMI PLATE 21MMX15MMX2MM,0,0,"0.16004","0","4550","-","Active","Ferrite Plate","0.827"" L x 0.591"" W (21.00mm x 15.00mm)","0.079"" (2.00mm)"
https://assets.lairdtech.com/home/brandworld/files/Catalog_EMI%20FILTERING%20RF%200717.pdf,-,MP0760-1B0-ND,MP0760-1B0,Laird-Signal Integrity Products,FERRITE PLATE 19.3X19.3X1.27MM,0,0,"0.16541","0","5670","MP","Active","Ferrite Plate","0.760"" L x 0.760"" W (19.30mm x 19.30mm)","0.050"" (1.27mm)"
https://assets.lairdtech.com/home/brandworld/files/ferrite%20rods.pdf,-,28M0315-500-ND,28M0315-500,Laird-Signal Integrity Products,"ROD,SLD,BB,CSNO 25.4X8MM",0,0,"0.17596","0","4500","-","Active","-","-","-"
https://assets.lairdtech.com/home/brandworld/files/Catalog_EMI%20FILTERING%20RF%200717.pdf,-,MP1040-2B0-ND,MP1040-2B0,Laird-Signal Integrity Products,FERRITE PLATE 26.42X26.42X1.91MM,0,0,"0.21789","0","3564","MP","Active","Ferrite Plate","1.040"" L x 1.040"" W (26.42mm x 26.42mm)","0.075"" (1.91mm)"
https://assets.lairdtech.com/home/brandworld/files/ferrite%20rods.pdf,-,28M0394-000-ND,28M0394-000,Laird-Signal Integrity Products,"ROD,SLD,BB,CSNO 30X10MM",0,0,"0.29030","0","3000","-","Active","-","-","-"
https://assets.lairdtech.com/home/brandworld/files/Catalog_EMI%20FILTERING%20RF%200717.pdf,-,MP1040-300-ND,MP1040-300,Laird-Signal Integrity Products,FERRITE PLATE 26.42X26.42X2.25MM,0,0,"0.29280","0","2640","MP","Active","Ferrite Plate","1.040"" L x 1.040"" W (26.42mm x 26.42mm)","0.089"" (2.25mm)"
-,-,MP1040-500-ND,MP1040-500,Laird-Signal Integrity Products,"FCCPL,BB,ADH 26.42X26.42X1.12MM",0,0,"0.31593","0","2400","-","Active","-","-","-"
http://assets.lairdtech.com/home/brandworld/files/MM1400-200.pdf,"//media.digikey.com/photos/Steward%20Photos/MM1400-200,%20HM1400-200.jpg",240-2255-ND,MM1400-200,Laird-Signal Integrity Products,FERRITE EMI DISC 35.56MMX1.91MM,0,0,"0.38891","0","1800","-","Active","Ferrite Disk","1.400"" Dia (35.56mm)","0.075"" (1.91mm)"
