Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Design","Impedance @ Frequency","Material","Inner Dimension","Outer Dimension","Ratings","Mounting Type","Length"
http://www.fair-rite.com/wp-content/themes/fair-rite/print_product.php?pid=18389,-,1934-1523-ND,2643004601,Fair-Rite Products Corp.,43 SHIELD BEAD,10000,0,"0.14000","0","1","-","Active","Round","Solid","31Ohm @ 100MHz","43","-","-","-","Free Hanging","0.156"" (3.96mm)"
http://www.fair-rite.com/wp-content/themes/fair-rite/print_product.php?pid=18749,//media.digikey.com/Photos/Fair-Right/Multi-Aperture-Core.jpg,1934-1011-ND,2873002302,Fair-Rite Products Corp.,FERRITE CORE MULTI-APERTURE,4858,0,"0.16000","0","1","-","Active","-","-","-","73","-","-","-","-","3.45mm"
http://www.fair-rite.com/wp-content/themes/fair-rite/print_product.php?pid=18374,-,1934-1022-ND,2673015301,Fair-Rite Products Corp.,FERRITE CORE SOLID 1.80MM,44213,0,"0.18000","0","1","-","Active","Round","Solid","-","73","0.071"" Dia (1.80mm)","0.156"" Dia (3.96mm)","-","Free Hanging","0.270"" (6.86mm)"
http://www.fair-rite.com/wp-content/themes/fair-rite/print_product.php?pid=18338,-,1934-1019-ND,2673012401,Fair-Rite Products Corp.,FERRITE CORE SOLID 1.02MM,4722,0,"0.18000","0","1","-","Active","Round","Solid","-","73","0.040"" Dia (1.02mm)","0.059"" Dia (1.50mm)","-","Free Hanging","0.160"" (4.06mm)"
http://www.fair-rite.com/wp-content/themes/fair-rite/print_product.php?pid=20655,-,1934-1046-ND,5975000801,Fair-Rite Products Corp.,FERRITE CORE,119821,0,"0.19000","0","1","-","Active","-","-","-","75","-","-","-","-","-"
http://www.fair-rite.com/wp-content/themes/fair-rite/print_product.php?pid=18425,-,1934-1339-ND,2643021801,Fair-Rite Products Corp.,FERRITE CORE 131OHM SOLID 1.58MM,11036,0,"0.19000","0","1","-","Active","Round","Solid","131Ohm @ 100MHz","43","0.062"" Dia (1.58mm)","0.200"" Dia (5.08mm)","-","Free Hanging","0.437"" (11.10mm)"
http://www.fair-rite.com/wp-content/themes/fair-rite/print_product.php?pid=18818,//media.digikey.com/Photos/Fair-Right/Multi-Aperture-Core.jpg,1934-1012-ND,2861002702,Fair-Rite Products Corp.,FERRITE CORE MULTI-APERTURE,6476,0,"0.19000","0","1","-","Active","-","-","-","61","-","-","-","-","7.01mm"
http://www.fair-rite.com/wp-content/themes/fair-rite/print_product.php?pid=20236,-,1934-1334-ND,5961000101,Fair-Rite Products Corp.,FERRITE CORE,38657,0,"0.20000","0","1","-","Active","-","-","-","61","-","-","-","-","-"
http://www.fair-rite.com/wp-content/themes/fair-rite/print_product.php?pid=18494,//media.digikey.com/Photos/Fair-Right/2661023801.JPG,1934-1024-ND,2661000701,Fair-Rite Products Corp.,FERRITE CORE 120OHM SOLID 1.30MM,15150,0,"0.21000","0","1","-","Active","Round","Solid","120Ohm @ 100MHz","61","0.051"" Dia (1.30mm)","0.138"" Dia (3.51mm)","-","Free Hanging","0.500"" (12.70mm)"
http://www.fair-rite.com/wp-content/themes/fair-rite/print_product.php?pid=20747,-,1934-1031-ND,5976000801,Fair-Rite Products Corp.,FERRITE CORE,2000,0,"0.24000","0","1","-","Active","-","-","-","76","-","-","-","-","-"
http://www.fair-rite.com/wp-content/themes/fair-rite/print_product.php?pid=18485,-,1934-1332-ND,2643012702,Fair-Rite Products Corp.,FERRITE CORE 38OHM SOLID 6.35MM,3448,0,"0.26000","0","1","-","Active","Round","Solid","38Ohm @ 100MHz","43","0.250"" Dia (6.35mm)","0.380"" Dia (9.65mm)","-","Free Hanging","0.290"" (7.37mm)"
http://www.fair-rite.com/wp-content/themes/fair-rite/print_product.php?pid=18758,-,1934-1514-ND,2873001802,Fair-Rite Products Corp.,73 MULTI-APERTURE CORE,1165,0,"0.27000","0","1","*","Active","-","-","-","73","-","-","-","-","-"
