Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Style","Type","Length","Core Diameter","Cladding Diameter","Jacket (Insulation) Material","Jacket (Insulation) Diameter","Tensile Strength","Attenuation - Typ","Refractive Index - Core","Refractive Index - Cladding","Jacket Color","Ratings","Features"
//media.digikey.com/pdf/Data%20Sheets/MikroElektronika%20PDFs/SH4001_Spec.pdf,//media.digikey.com/Photos/MikroElektronika/MIKROE-1471.jpg,1471-1123-ND,MIKROE-1471,MikroElektronika,CBL FIB OPT JACKETED 1MM 1METER,53,0,"2.04000","0","1","-","-","Active","Standard","POF","3.28' (1.00m)","980µm","1000µm","Polyethylene (PE)","0.087"" (2.21mm)","-","-","1.492","-","Black","-","-"
http://i-fiberoptics.com/pdf/ck80.pdf,//media.digikey.com/Photos/Industrial%20Fiberoptics%20Photos/MFG_CK-40.jpg,FB198-ND,IF-C-U2000,Industrial Fiberoptics,CBL FIBER OPTIC 2000UM POF 1M,74,0,"5.86000","0","1","Bulk","ESKA™","Active","Standard","POF","3.28' (1.00m)","1960µm","2000µm","Fluoropolymer","-","25kg","-","1.492","-","-","-","-"
http://i-fiberoptics.com/pdf/ck120.pdf,//media.digikey.com/Photos/Industrial%20Fiberoptics%20Photos/IF-C-U3000.jpg,FB196-ND,IF-C-U3000,Industrial Fiberoptics,CBL FIBER OPTIC 3000UM POF 1M,40,0,"11.06000","0","1","Bulk","ESKA™","Active","Standard","POF","3.28' (1.00m)","2950µm","3000µm","-","-","50kg","-","1.492","-","-","-","-"
http://www.literature.molex.com/SQLImages/kelmscott/Molex/PDF_Images/987650-8934.pdf,//media.digikey.com/Photos/Molex/1068000xxx.JPG,WM12869-25-ND,1068000060,Molex,SILICA OPTICAL FIBER LOW 200UM,2,0,"93.50000","0","1","Spool","FI, Polymicro Technologies","Active","Standard","-","82.02' (25.00m)","200µm","220µm","Polyimide","0.009"" (0.23mm)","-","-","-","-","Amber","-","-"
"//media.digikey.com/pdf/Data%20Sheets/Avago%20PDFs/HFBR-Rxxyyyz,Exxyyyz%20Series.pdf",//media.digikey.com/Photos/Avago%20Tech%20Photos/HFBR-QUS500Z.JPG,516-3127-ND,HFBR-QUS500Z,Broadcom Limited,CABLE POF GY SIMPLEX UNCONN 500M,2,0,"709.02000","0","1","-","HFBR","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
https://www.molex.com/webdocs/datasheets/pdf/en-us/1068000098_OPTICAL_FIBER.pdf,//media.digikey.com/Photos/Molex/1068000xxx.JPG,WM12864-25-ND,1068000098,Molex,SILICA OPTICAL FIBER HIGH 100UM,2,0,"88.83000","0","1","Spool","FV, Polymicro Technologies","Active","Standard","-","82.02' (25.00m)","100µm","110µm","Polyimide","0.005"" (0.13mm)","-","-","-","-","Amber","-","-"
https://i-fiberoptics.com/pdf/ghtt4001.pdf,-,FB202-ND,GHTT4001,Industrial Fiberoptics,CBL FBR OPTIC SIMPLEX 1000UM,2,0,"1028.56000","0","1","Spool","ESKA™","Active","Standard","Multimode, Simplex","1640.4' (500.0m)","980µm","1000µm","Poly-Vinyl Chloride (PVC)","0.197"" (5.00mm)","25kg","-","1.49","-","Gray","-","-"
https://i-fiberoptics.com/pdf/ghel4001-or.pdf,-,FB201-ND,GHEL4001-OR,Industrial Fiberoptics,CBL FBR OPTIC 1000UMORANGE,2,0,"1776.94000","0","1","Spool","ESKA™","Active","Standard","Multimode, Simplex","1640.4' (500.0m)","980µm","1000µm","Polyester Elastomer","0.152"" (3.86mm)","-","-","1.49","-","Orange","-","-"
https://docs.broadcom.com/docs/AV02-1508EN,//media.digikey.com/Photos/Avago%20Tech%20Photos/HFBR-EUS100Z%20(2).JPG,516-2086-ND,HFBR-EUS100Z,Broadcom Limited,FIBER OPTIC CBL SIMPLEX 1=100M,0,0,"103.02000","0","1","-","HFBR","Active","-","POF","-","-","-","Polyethylene (PE)","-","-","-","-","-","-","-","-"
http://i-fiberoptics.com/pdf/ck40.pdf,//media.digikey.com/Photos/Industrial%20Fiberoptics%20Photos/MFG_CK-40.jpg,FB199-ND,IF-C-U1000,Industrial Fiberoptics,CBL FIBER OPTIC 1000UM POF 1M,89,0,"1.38000","0","1","Bulk","ESKA™","Active","Standard","POF","3.28' (1.00m)","980µm","1000µm","Fluoropolymer","-","6.6kg","-","1.492","-","-","-","-"
