Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Configuration","Current","Voltage","Voltage - Isolation","Package / Case"
https://www.infineon.com/dgdl/Infineon-IFCM20T65GD-DS-v01_00-EN.pdf?fileId=5546d46254bdc4f50154dd2acdfc2c7d,//media.digikey.com/Photos/Infineon%20Photos/IKCM10H60GAXKMA1.JPG,IFCM20T65GDXKMA1-ND,IFCM20T65GDXKMA1,Infineon Technologies,IPM IGBT 650V 20A PG-MDIP-24,221,0,"14.61000","0","1","CIPOS™","Active","IGBT","2 Phase","20A","650V","2000Vrms","24-PowerDIP Module (1.028"", 26.10mm)"
https://www.infineon.com/dgdl/Infineon-IFCM30T65GD-DS-v01_00-EN.pdf?fileId=5546d46254bdc4f50154dd33e33d2c89,//media.digikey.com/Photos/Infineon%20Photos/IKCM10H60GAXKMA1.JPG,IFCM30T65GDXKMA1-ND,IFCM30T65GDXKMA1,Infineon Technologies,IPM IGBT 650V 30A PG-MDIP-24,143,0,"15.67000","0","1","CIPOS™","Active","IGBT","2 Phase","30A","650V","2000Vrms","24-PowerDIP Module (1.028"", 26.10mm)"
http://www.st.com/content/ccc/resource/technical/document/datasheet/85/1b/55/f5/73/f6/49/90/DM00116137.pdf/files/DM00116137.pdf/jcr:content/translations/en.DM00116137.pdf,//media.digikey.com/Photos/STMicro%20Photos/STGIF10CH60TS-L.JPG,497-16114-5-ND,STGIF10CH60TS-L,STMicroelectronics,"SLLIMM(TM) - 2ND SERIES IPM, 3-P",156,0,"16.74000","0","1","SLLIMM™","Active","IGBT","3 Phase Inverter","15A","600V","1500Vrms","26-PowerDIP Module (1.134"", 28.80mm)"
http://www.st.com/content/ccc/resource/technical/document/datasheet/bb/6e/ec/9a/0e/03/4d/b9/DM00115991.pdf/files/DM00115991.pdf/jcr:content/translations/en.DM00115991.pdf,//media.digikey.com/Renders/STMicro%20Renders/25-DIP%20Module.jpg,497-15544-5-ND,STGIPS20C60T-H,STMicroelectronics,MOD IPM SLLIMM 3PHASE 25SDIP,109,0,"16.80000","0","1","SLLIMM™","Active","IGBT","3 Phase","20A","600V","2500Vrms","25-PowerDIP Module (0.993"", 25.23mm)"
https://www.infineon.com/dgdl/Infineon-IKCM15R60GD-DS-v01_00-EN.pdf?fileId=5546d4624fb7fef2014fcb96064b792a,//media.digikey.com/Photos/Infineon%20Photos/CIPOS-Series.JPG,IKCM15R60GDXKMA1-ND,IKCM15R60GDXKMA1,Infineon Technologies,IFPS MODULES 24MDIP,258,0,"17.50000","0","1","CIPOS™","Active","IGBT","2 Phase","30A","600V","2000Vrms","24-PowerDIP Module (1.028"", 26.10mm)"
http://www.st.com/content/ccc/resource/technical/document/datasheet/7c/db/8f/a9/97/a8/47/35/DM00122681.pdf/files/DM00122681.pdf/jcr:content/translations/en.DM00122681.pdf,//media.digikey.com/Photos/STMicro%20Photos/STGIF5CH60TS-L.JPG,497-16115-5-ND,STGIF5CH60TS-L,STMicroelectronics,"SLLIMM(TM) - 2ND SERIES IPM, 3-P",156,0,"18.26000","0","1","SLLIMM™","Active","IGBT","3 Phase Inverter","8A","600V","1500Vrms","26-PowerDIP Module (1.134"", 28.80mm)"
https://www.onsemi.com/pub/Collateral/FSB50250AS-D.pdf,//media.digikey.com/Photos/Fairchild%20Semi%20Photos/FSB50250AS.JPG,FSB50250ASTR-ND,FSB50250AS,ON Semiconductor,MODULE SPM 500V 1.2A SPM5Q,450,0,"5.07451","0","450","Motion SPM® 5","Active","MOSFET","3 Phase","1.2A","500V","1500Vrms","23-PowerSMD Module, Gull Wing"
https://www.onsemi.com/pub/Collateral/FSB50250AS-D.pdf,//media.digikey.com/Photos/Fairchild%20Semi%20Photos/FSB50250AS.JPG,FSB50250ASCT-ND,FSB50250AS,ON Semiconductor,MODULE SPM 500V 1.2A SPM5Q,450,0,"7.32000","0","1","Motion SPM® 5","Active","MOSFET","3 Phase","1.2A","500V","1500Vrms","23-PowerSMD Module, Gull Wing"
https://www.onsemi.com/pub/Collateral/FSB50250AS-D.pdf,//media.digikey.com/Photos/Fairchild%20Semi%20Photos/FSB50250AS.JPG,FSB50250ASDKR-ND,FSB50250AS,ON Semiconductor,MODULE SPM 500V 1.2A SPM5Q,450,0,"Digi-Reel","0","1","Motion SPM® 5","Active","MOSFET","3 Phase","1.2A","500V","1500Vrms","23-PowerSMD Module, Gull Wing"
http://www.onsemi.com/pub/Collateral/FSB50325AT-D.pdf,//media.digikey.com/Photos/Fairchild%20Semi%20Photos/Motion-SPM%20Series.jpg,FSB50325AOS-ND,FSB50325A,ON Semiconductor,MODULE SPM 500V 1.2A SPM5P,260,0,"6.14000","0","1","Motion SPM® 5","Active","MOSFET","3 Phase","1.7A","250V","1500Vrms","23-PowerDIP Module (0.573"", 14.56mm)"
http://www.onsemi.com/pub/Collateral/FSB50325AT-D.pdf,//media.digikey.com/Photos/Fairchild%20Semi%20Photos/FSB50550AT.JPG,FSB50325AT-ND,FSB50325AT,ON Semiconductor,MODULE SPM 250V 1.7A SPM5N,180,360,"6.14000","0","1","Motion SPM® 5","Active","MOSFET","3 Phase","1.7A","250V","1500Vrms","23-PowerDIP Module (0.748"", 19.00mm)"
https://www.onsemi.com/pub/Collateral/FSB50450AT-D.pdf,//media.digikey.com/Photos/Fairchild%20Semi%20Photos/Motion-SPM%20Series.jpg,FSB50450AOS-ND,FSB50450A,ON Semiconductor,MODULE SPM 500V 1.5A SPM5P,258,0,"7.27000","0","1","Motion SPM® 5","Active","MOSFET","3 Phase","1.5A","500V","1500Vrms","23-PowerDIP Module (0.573"", 14.56mm)"
https://www.onsemi.com/pub/Collateral/FSB50550A-D.pdf,//media.digikey.com/Photos/Fairchild%20Semi%20Photos/FSB50550AT.JPG,FSB50550ATOS-ND,FSB50550AT,ON Semiconductor,MODULE SPM 500V 2A SPM5N,180,0,"8.87000","0","1","Motion SPM® 5","Active","MOSFET","3 Phase","2A","500V","1500Vrms","23-PowerDIP Module (0.748"", 19.00mm)"
