Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Applications","Particle Size","Flow Rate","Pressure Range","Inlet/Outlet Size","Height","Diameter","Operating Temperature"
-,-,Z2UC12PD205U2-ND,Z2UC12PD205U2,3M,ZETA PLUS U & UW SERIES FILTER C,0,0,"109.03000","0","2","-","Active","-","-","-","-","-","-","-","-","-"
-,-,Z2UD11PD105U2W-ND,Z2UD11PD105U2W,3M,ZETA PLUS UW SERIES FILTER CARTR,0,0,"109.03000","0","2","-","Active","-","-","-","-","-","-","-","-","-"
-,-,Z2UD12PD105U2W-ND,Z2UD12PD105U2W,3M,ZETA PLUS U SERIES FILTER CARTRI,0,0,"109.03000","0","2","-","Active","-","-","-","-","-","-","-","-","-"
-,-,3GPK2G78F8-ND,3GPK2G78F8,3M,CUNO CTG-KLEAN SYSTEM FILTER PAC,0,0,"109.71167","0","6","-","Active","-","-","-","-","-","-","-","-","-"
-,-,XL30PP025C0B-ND,XL30PP025C0B,3M,BETAFINE XL SERIES FILTER CARTRI,0,0,"109.77200","0","15","-","Active","-","-","-","-","-","-","-","-","-"
-,-,3GPK2G78C8-ND,3GPK2G78C8,3M,CUNO CTG-KLEAN SYSTEM FILTER PAC,0,0,"109.94500","0","6","-","Active","-","-","-","-","-","-","-","-","-"
-,-,PPG020C01EA01-ND,PPG020C01EA01,3M,BETAFINE PPG SERIES FILTER CAPSU,0,0,"110.12000","0","1","-","Active","-","-","-","-","-","-","-","-","-"
-,-,PPG10CC01CC01-ND,PPG10CC01CC01,3M,BETAFINE PPG SERIES FILTER CAPSU,0,0,"110.12000","0","1","-","Active","-","-","-","-","-","-","-","-","-"
-,-,PPG250C01CC01-ND,PPG250C01CC01,3M,BETAFINE PPG SERIES FILTER CAPSU,0,0,"110.12000","0","1","-","Active","-","-","-","-","-","-","-","-","-"
-,-,PPG500C01CC01-ND,PPG500C01CC01,3M,BETAFINE PPG SERIES FILTER CAPSU,0,0,"110.12000","0","1","-","Active","-","-","-","-","-","-","-","-","-"
-,-,XL20PP050F0L-ND,XL20PP050F0L,3M,BETAFINE XL SERIES FILTER CARTRI,0,0,"111.98133","0","15","-","Active","-","-","-","-","-","-","-","-","-"
-,-,3GPK2G78X8-ND,3GPK2G78X8,3M,CUNO CTG-KLEAN SYSTEM FILTER PAC,0,0,"113.43167","0","6","-","Active","-","-","-","-","-","-","-","-","-"
-,-,XL20PP002F0K-ND,XL20PP002F0K,3M,BETAFINE XL SERIES FILTER CARTRI,0,0,"113.43733","0","15","-","Active","-","-","-","-","-","-","-","-","-"
-,-,3GPK1AU09E-ND,3GPK1AU09E,3M,CUNO CTG-KLEAN SYSTEM FILTER PAC,0,0,"113.71167","0","6","-","Active","-","-","-","-","-","-","-","-","-"
-,-,3GPK1AU09V-ND,3GPK1AU09V,3M,CUNO CTG-KLEAN SYSTEM FILTER PAC,0,0,"113.71167","0","6","-","Active","-","-","-","-","-","-","-","-","-"
-,-,3GPK3RTL16G-ND,3GPK3RTL16G,3M,CUNO CTG-KLEAN SYSTEM WITH MICRO,0,0,"115.48500","0","6","-","Active","-","-","-","-","-","-","-","-","-"
