Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2810887_Ds.pdf,-,277-11057-ND,2810887,Phoenix Contact,3 WAY ISOLATING AMP 4-20MA,0,0,"Active","0","0","Bulk","MCR","Active","Isolation Amplifier"
-,//media.digikey.com/photos/Phoenix%20Photos/2864325.JPG,277-4965-ND,2864325,Phoenix Contact,3 WAY ISOLATING AMP 4-20MA,0,0,"Obsolete","0","1","-","*","Obsolete","-"
-,//media.digikey.com/Photos/Phoenix%20Photos/2814867.JPG,277-4839-ND,2814867,Phoenix Contact,SIGNAL MULTIPLIER 4-WAY SPLITTER,0,0,"Obsolete","0","1","Bulk","-","Obsolete","Signal Conditioner Multiplier"
-,//media.digikey.com/Photos/Phoenix%20Photos/2814838.JPG,277-4881-ND,2814838,Phoenix Contact,3 WAY ISOLATING AMP 4-20MA,0,0,"Obsolete","0","1","Bulk","MCR","Obsolete","Signal Conditioner"
-,//media.digikey.com/Photos/Phoenix%20Photos/2864299.JPG,277-4861-ND,2864299,Phoenix Contact,TEMP TRANSDUCER DIN RAIL,0,0,"Obsolete","0","1","-","*","Obsolete","-"
-,//media.digikey.com/Photos/Phoenix%20Photos/2810544-USA.jpg,277-8705-ND,2810544-USA,Phoenix Contact,TRANS THERMO MEAS 4-20MA,0,0,"Obsolete","0","1","-","*","Obsolete","-"
http://www.redlion.net/files/213/3921,-,AAMA3535-ND,AAMA3535,Red Lion Controls,UNIVERSAL 3 WAY ISOLATED,0,0,"Obsolete","0","1","-","*","Obsolete","-"
http://www.redlion.net/files/213/5076,//media.digikey.com/Photos/Red%20Lion%20Photos/MFG_IAMS3535.jpg,IAMS3535-ND,IAMS3535,Red Lion Controls,SMART SETPOINT ANALOG MODULE,0,0,"Obsolete","0","1","Bulk","IAMS","Obsolete","Signal Conditioner"
http://www.redlion.net/files/213/5239,//media.digikey.com/Photos/Red%20Lion%20Photos/PRA20000.JPG,RLC528-ND,PRA20000,Red Lion Controls,PULSE RATE TO ANALOG CONVERTER,0,0,"Obsolete","0","1","Bulk","PRA2","Obsolete","Frequency Transducer"
-,-,M2100.0020-ND,M2100.0020,Littelfuse Inc.,EMERGENCY CONTROLLER,0,0,"Obsolete","0","1","-","*","Obsolete","-"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2901672.pdf,-,2901672-ND,2901672,Phoenix Contact,PV STRING MONITOR MODULE,0,0,"Obsolete","0","1","Bulk","-","Obsolete","Data Interface"
https://www3.panasonic.biz/ac/e_download/fasys/uv/led/catalog/uv_e_cata.pdf,//media.digikey.com/Photos/Panasonic%20Photos/ANUJ6175.JPG,1110-3259-ND,ANUJ6175,Panasonic Industrial Automation Sales,385NM HIGH INTENSITY HEAD,0,0,"Obsolete","0","1","Bulk","UJ61","Obsolete","UV Curing Sensor Head"
https://www3.panasonic.biz/ac/e_download/fasys/uv/led/catalog/uv_e_cata.pdf,//media.digikey.com/Photos/Panasonic%20Photos/ANUJ6170.jpg,1110-3277-ND,ANUJ6170,Panasonic Industrial Automation Sales,365NM HI INTNSTY HD 50MM,0,0,"Obsolete","0","1","Bulk","UJ61","Obsolete","UV Curing Sensor Head"
https://www3.panasonic.biz/ac/e_download/fasys/uv/led/catalog/uv_e_cata.pdf,//media.digikey.com/Photos/Panasonic%20Photos/ANUJ6171.jpg,1110-3349-ND,ANUJ6171,Panasonic Industrial Automation Sales,365NM HIGH INTNSTY HEAD,0,0,"Obsolete","0","1","Bulk","UJ61","Obsolete","UV Curing Sensor Head"
https://www3.panasonic.biz/ac/e_download/fasys/uv/led/catalog/uv_e_cata.pdf,//media.digikey.com/Photos/Panasonic%20Photos/ANUJ6173.jpg,1110-3350-ND,ANUJ6173,Panasonic Industrial Automation Sales,365NM STND HD W/1.9M CBL,0,0,"Obsolete","0","1","Bulk","UJ61","Obsolete","UV Curing Sensor Head"
https://www3.panasonic.biz/ac/e_download/fasys/uv/led/catalog/uj30-35_arct1e257e.pdf,//media.digikey.com/Photos/Panasonic%20Photos/ANUJ6161.JPG,1110-3393-ND,ANUJ6161,Panasonic Industrial Automation Sales,365NM STANDARD TYPE LONG HEAD,0,0,"Obsolete","0","1","Bulk","UJ61","Obsolete","UV Curing Sensor Head"
https://www3.panasonic.biz/ac/e_download/fasys/uv/led/catalog/uj30-35_arct1e257e.pdf,-,ANUJ6160-ND,ANUJ6160,Panasonic Industrial Automation Sales,365NM STND TYPE SHRT 8000MW/CM2,0,0,"Obsolete","0","1","Bulk","UJ61","Obsolete","UV Curing Sensor Head"
https://www3.panasonic.biz/ac/e_download/fasys/uv/led/catalog/uj30-35_arct1e257e.pdf,-,ANUJ6162-ND,ANUJ6162,Panasonic Industrial Automation Sales,365NM POP TYPE SHRT 7500MW/CM2,0,0,"Obsolete","0","1","Bulk","UJ61","Obsolete","UV Curing Sensor Head"
https://www3.panasonic.biz/ac/e_download/fasys/uv/led/catalog/uj30-35_arct1e257e.pdf,-,ANUJ6163-ND,ANUJ6163,Panasonic Industrial Automation Sales,365NM POP TYPE LONG 7500MW/CM2,0,0,"Obsolete","0","1","Bulk","UJ61","Obsolete","UV Curing Sensor Head"
https://www3.panasonic.biz/ac/e_download/fasys/uv/led/catalog/uj30-35_arct1e257e.pdf,-,ANUJ6164-ND,ANUJ6164,Panasonic Industrial Automation Sales,385NM SHORT 8000MW/CM2,0,0,"Obsolete","0","1","Bulk","UJ61","Obsolete","UV Curing Sensor Head"
https://www3.panasonic.biz/ac/e_download/fasys/uv/led/catalog/uj30-35_arct1e257e.pdf,-,ANUJ6165-ND,ANUJ6165,Panasonic Industrial Automation Sales,385NM LONG 8000MW/CM2,0,0,"Obsolete","0","1","Bulk","UJ61","Obsolete","UV Curing Sensor Head"
-,-,ANUJ6174-ND,ANUJ6174,Panasonic Industrial Automation Sales,385NM HI INT MAX 12800MW/CM2,0,0,"Obsolete","0","1","Bulk","UJ61","Obsolete","UV Curing Sensor Head"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/MCR-FL-C-UI-2UI-DCI_Ds.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2814854.jpg,2814854-ND,2814854,Phoenix Contact,SIGNAL DUPLICATOR,0,0,"Obsolete","0","0","Bulk","-","Obsolete","Signal Conditioner Multiplier"
