Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Filament Material","Color","Filament Diameter","Weight","Tensile Strength","Flex Strength","Density","Operating Temperature","Features"
http://www.mgchemicals.com/downloads/tds/tds-3d-filaments-abs.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_PREM%203D%20FLMNT%20Metalic%20Silver.jpg,ABS17SI5-ND,ABS17SI5,MG Chemicals,FILAMENT SILVER ABS 0.07"" 1KG,0,0,"Obsolete","0","2","-","Obsolete","ABS (Acrylonitrile Butadiene Styrene)","Silver","0.070"" (1.75mm)","2.205 lb (1.00kg)","45N/mm²","77N/mm²","1.05g/cm³","230°C ~ 240°C","-"
http://www.mgchemicals.com/downloads/tds/tds-3d-filaments-abs.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_PREM%203D%20FLMNT%20Glow%20in%20the%20dark.jpg,ABS17GD5-ND,ABS17GD5,MG Chemicals,FILAMENT GREEN ABS 0.07"" 1KG,0,0,"Obsolete","0","2","-","Obsolete","ABS (Acrylonitrile Butadiene Styrene)","Green (Glow in the Dark)","0.070"" (1.75mm)","2.205 lb (1.00kg)","45N/mm²","77N/mm²","1.05g/cm³","230°C ~ 240°C","-"
http://www.mgchemicals.com/downloads/tds/tds-3d-filaments-abs.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_PREM%203D%20FLMNT%20Light%20Skin.jpg,ABS17SK5-ND,ABS17SK5,MG Chemicals,FILAMENT PEACH ABS 0.07"" 1KG,0,0,"Obsolete","0","2","-","Obsolete","ABS (Acrylonitrile Butadiene Styrene)","Peach (Light Skin)","0.070"" (1.75mm)","2.205 lb (1.00kg)","45N/mm²","77N/mm²","1.05g/cm³","230°C ~ 240°C","-"
http://www.mgchemicals.com/downloads/tds/tds-3d-filaments-abs.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_PREM%203D%20FLMNT%20Navy.jpg,ABS17NA5-ND,ABS17NA5,MG Chemicals,FILAMENT BLUE ABS 0.07"" 1KG,0,0,"Obsolete","0","2","-","Obsolete","ABS (Acrylonitrile Butadiene Styrene)","Blue (Navy Blue)","0.070"" (1.75mm)","2.205 lb (1.00kg)","45N/mm²","77N/mm²","1.05g/cm³","230°C ~ 240°C","-"
http://www.mgchemicals.com/downloads/tds/tds-3d-filaments-abs.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_PREM%203D%20FLMNT%20Lime.jpg,ABS17LI5-ND,ABS17LI5,MG Chemicals,FILAMENT GREEN ABS 0.07"" 500G,0,0,"Obsolete","0","2","-","Obsolete","ABS (Acrylonitrile Butadiene Styrene)","Green (Lime)","0.070"" (1.75mm)","1.102 lb (500.0g)","45N/mm²","77N/mm²","1.05g/cm³","230°C ~ 240°C","-"
http://www.mgchemicals.com/downloads/tds/tds-3d-filaments-abs.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_PREM%203D%20FLMNT%20Translucent.jpg,ABS30TL5-ND,ABS30TL5,MG Chemicals,FILAMENT TRANS ABS 0.118"" 500G,0,0,"Obsolete","0","2","-","Obsolete","ABS (Acrylonitrile Butadiene Styrene)","Translucent","0.118"" (3.00mm)","1.102 lb (500.0g)","45N/mm²","77N/mm²","1.05g/cm³","230°C ~ 240°C","-"
http://www.mgchemicals.com/downloads/tds/tds-3d-filaments-abs.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_PREM%203D%20FLMNT%20White.jpg,ABS30WH5-ND,ABS30WH5,MG Chemicals,FILAMENT WHITE ABS 0.118"" 500G,0,0,"Obsolete","0","2","-","Obsolete","ABS (Acrylonitrile Butadiene Styrene)","White","0.118"" (3.00mm)","1.102 lb (500.0g)","45N/mm²","77N/mm²","1.05g/cm³","230°C ~ 240°C","-"
http://www.mgchemicals.com/downloads/tds/tds-3d-filaments-abs.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_PREM%203D%20FLMNT%20Black.jpg,ABS30BK5-ND,ABS30BK5,MG Chemicals,FILAMENT BLACK ABS 0.118"" 500G,0,0,"Obsolete","0","2","-","Obsolete","ABS (Acrylonitrile Butadiene Styrene)","Black","0.118"" (3.00mm)","1.102 lb (500.0g)","45N/mm²","77N/mm²","1.05g/cm³","230°C ~ 240°C","-"
http://www.mgchemicals.com/downloads/tds/tds-3d-filaments-abs.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_PREM%203D%20FLMNT%20Red.jpg,ABS30RE5-ND,ABS30RE5,MG Chemicals,FILAMENT RED ABS 0.118"" 500G,0,0,"Obsolete","0","2","-","Obsolete","ABS (Acrylonitrile Butadiene Styrene)","Red","0.118"" (3.00mm)","1.102 lb (500.0g)","45N/mm²","77N/mm²","1.05g/cm³","230°C ~ 240°C","-"
http://www.mgchemicals.com/downloads/tds/tds-3d-filaments-abs.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_PREM%203D%20FLMNT%20Yellow.jpg,ABS30YE5-ND,ABS30YE5,MG Chemicals,FILAMENT YELLOW ABS 0.118"" 500G,0,0,"Obsolete","0","2","-","Obsolete","ABS (Acrylonitrile Butadiene Styrene)","Yellow","0.118"" (3.00mm)","1.102 lb (500.0g)","45N/mm²","77N/mm²","1.05g/cm³","230°C ~ 240°C","-"
