Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Accessory Type","For Use With/Related Products","Supplier Device Package"
https://www.ferroxcube.com/upload/media/product/file/Pr_ds/E30_15_7.pdf,//media.digikey.com/Photos/Ferroxcube/CSH-E30%5E15%5E7-1S-12P-C.JPG,1779-1410-ND,CSH-E30/15/7-1S-12P-C,Ferroxcube,COIL FORMER HORIZONTAL,296,0,"0.54000","0","1","-","Active","Bobbin (Coil Former), Horizontal","E","E 30 x 15 x 7"
//media.digikey.com/pdf/Data%20Sheets/Ferroxcube%20PDFs/CPHS_EP13_xS_10P_Z_DS.pdf,//media.digikey.com/Photos/Ferroxcube/CPHS-EP13-2S-10P-Z.JPG,1779-1325-ND,CPHS-EP13-2S-10P-Z,Ferroxcube,COIL FORMER HORIZONTAL SMD,773,0,"0.56000","0","1","-","Active","Bobbin (Coil Former), Horizontal","EP","EP 13"
https://www.tdk-electronics.tdk.com/inf/80/db/fer/er_9_5_5.pdf,//media.digikey.com/photos/Epcos%20Photos/B65527A2000X.JPG,495-5116-ND,B65527A2000X000,EPCOS (TDK),YOKE ER 9.5 X 5,834,0,"0.57000","0","1","B65527","Active","Yoke","ER","ER 9.5 x 5"
https://www.tdk-electronics.tdk.com/inf/80/db/fer/ps_25_8_9.pdf,//media.digikey.com/Photos/Epcos%20Photos/B65940BT1.JPG,495-5352-ND,B65940B0000T001,EPCOS (TDK),BOBBIN COIL FORMER PS 25 X 8.9,704,0,"0.58000","0","1","B65940","Active","Bobbin (Coil Former)","PS","PS 25 x 8.9"
https://www.ferroxcube.com/upload/media/product/file/Pr_ds/P30_19.pdf,//media.digikey.com/Photos/Ferroxcube/CP-P30%5E19-3S.JPG,1779-1346-ND,CP-P30/19-3S,Ferroxcube,COIL FORMER,869,0,"0.59000","0","1","-","Active","Bobbin (Coil Former)","P","P 30 x 19"
https://www.ferroxcube.com/upload/media/product/file/Pr_ds/P18_11.pdf,//media.digikey.com/Photos/Ferroxcube/SPR-P18%5E11.JPG,1779-1439-ND,SPR-P18/11,Ferroxcube,SPRING,252,0,"0.62000","0","1","-","Active","Spring","P","P 18 x 11"
https://www.ferroxcube.com/upload/media/product/file/Pr_ds/E25_13_7.pdf,//media.digikey.com/Photos/Ferroxcube/CPV-E25%5E13%5E7-1S-10P-Z.jpg,1779-1359-ND,CPV-E25/13/7-1S-10P-Z,Ferroxcube,COIL FORMER VERTICAL,272,0,"0.65000","0","1","-","Active","Bobbin (Coil Former), Vertical","E","E 25 x 13 x 7"
https://www.ferroxcube.com/upload/media/product/file/Pr_ds/P36_22.pdf,//media.digikey.com/Photos/Ferroxcube/CP-P36%5E22-3S.JPG,1779-1349-ND,CP-P36/22-3S,Ferroxcube,COIL FORMER,513,0,"0.66000","0","1","-","Active","Bobbin (Coil Former)","P","P 36 x 22"
https://www.ferroxcube.com/upload/media/product/file/Pr_ds/EP17.pdf,//media.digikey.com/Photos/Ferroxcube/CSH-EP17-2S-8P.JPG,1779-1418-ND,CSH-EP17-2S-8P,Ferroxcube,COIL FORMER HORIZONTAL,844,0,"0.69000","0","1","-","Active","Bobbin (Coil Former), Horizontal","EP","EP 17"
https://www.ferroxcube.com/upload/media/product/file/Pr_ds/P22_13.pdf,//media.digikey.com/Photos/Ferroxcube/SPR-P22%5E13.JPG,1779-1440-ND,SPR-P22/13,Ferroxcube,SPRING,412,0,"0.72000","0","1","-","Active","Spring","P","P 22 x 13"
https://www.tdk-electronics.tdk.com/inf/80/db/fer/ps_30_5_10_2.pdf,//media.digikey.com/Photos/Epcos%20Photos/B65942BT1.JPG,495-5354-ND,B65942B0000T001,EPCOS (TDK),BOBBIN COIL FORMER PS 30.5X10.2,130,0,"0.72000","0","1","B65942","Active","Bobbin (Coil Former)","PS","PS 30.5 x 10.2"
https://www.ferroxcube.com/upload/media/product/file/Pr_ds/E42_21_15.pdf,//media.digikey.com/Photos/Ferroxcube/CP-E42%5E21%5E15-1S.JPG,1779-1307-ND,CP-E42/21/15-1S,Ferroxcube,COIL FORMER,427,0,"0.73000","0","1","-","Active","Bobbin (Coil Former)","E","E 42 x 21 x 15"
http://ferroxcube.home.pl/prod/assets/ep13.pdf,//media.digikey.com/Photos/Ferroxcube/CSHS-EP13-1S-10P-T.JPG,1779-1422-ND,CSHS-EP13-1S-10P-T,Ferroxcube,COIL FORMER HORIZONTAL SMD,660,0,"0.76000","0","1","-","Active","Bobbin (Coil Former), Horizontal","EP","EP 13"
https://www.ferroxcube.com/upload/media/product/file/Pr_ds/E42_21_15.pdf,//media.digikey.com/Photos/Ferroxcube/SPR-E42%5E21%5E15.JPG,1779-1430-ND,SPR-E42/21/15,Ferroxcube,SPRING,546,0,"0.77000","0","1","-","Active","Spring","E","E 42 x 21 x 15"
https://www.ferroxcube.com/upload/media/product/file/Pr_ds/E30_15_7.pdf,//media.digikey.com/Photos/Ferroxcube/SPR-E30%5E15%5E7.JPG,1779-1429-ND,SPR-E30/15/7,Ferroxcube,SPRING,800,0,"0.78000","0","1","-","Active","Spring","E","E 30 x 15 x 7"
https://www.ferroxcube.com/upload/media/product/file/Pr_ds/E32_16_9.pdf,//media.digikey.com/Photos/Ferroxcube/CPH-E32%5E16%5E9-1S-12P.JPG,1779-1319-ND,CPH-E32/16/9-1S-12P,Ferroxcube,COIL FORMER HORIZONTAL,178,0,"0.78000","0","1","-","Active","Bobbin (Coil Former), Horizontal","E","E 32 x 16 x 9"
