Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Interface","Number of Ports"
https://docs.broadcom.com/docs/12356142,-,OCE11102-FM-ND,OCE11102-FM,Broadcom Limited,OCE11102-FM10GBIT/SFCOECNAPCIE2P,0,0,"Obsolete","0","10","-","Obsolete","10GbE","PCI Express","2"
https://docs.broadcom.com/docs/12356142,-,OCE11102-FX-ND,OCE11102-FX,Broadcom Limited,OCE11102-FX10GBIT/SFCOECNAPCIE2P,0,0,"Obsolete","0","10","-","Obsolete","10GbE","PCI Express","2"
https://docs.broadcom.com/docs/12356142,-,OCE11102-IM-ND,OCE11102-IM,Broadcom Limited,OCE11102-IM10GBIT/SISCSIADAPTERP,0,0,"Obsolete","0","10","-","Obsolete","10GbE","PCI Express","2"
https://docs.broadcom.com/docs/12356142,-,OCE11102-IT-ND,OCE11102-IT,Broadcom Limited,OCE11102-IT10GBIT/SISCSIADAPTERP,0,0,"Obsolete","0","10","-","Obsolete","10GbE","PCI Express","2"
https://docs.broadcom.com/docs/12356142,-,OCE11102-IX-ND,OCE11102-IX,Broadcom Limited,OCE11102-IX10GBIT/SISCSIADAPTERP,0,0,"Obsolete","0","10","-","Obsolete","10GbE","PCI Express","2"
https://docs.broadcom.com/docs/12356142,-,OCE11102-NM-ND,OCE11102-NM,Broadcom Limited,OCE11102-NM10GBIT/SETHERNETADAPT,0,0,"Obsolete","0","10","-","Obsolete","10GbE","PCI Express","2"
https://docs.broadcom.com/docs/12356142,-,OCE11102-NT-ND,OCE11102-NT,Broadcom Limited,OCE11102-NT 10GBIT/S ETHERNET AD,0,0,"Obsolete","0","10","-","Obsolete","10GbE","PCI Express","2"
https://docs.broadcom.com/docs/12356142,-,OCE11102-NX-ND,OCE11102-NX,Broadcom Limited,OCE11102-NX 10GBIT/S ETHERNET AD,0,0,"Obsolete","0","10","-","Obsolete","10GbE","PCI Express","2"
https://docs.broadcom.com/docs/12356138,-,OCE14104-UX-ND,OCE14104-UX,Broadcom Limited,EMULEXONECONNECTOCE14104-UX4-POR,0,0,"Active","0","0","-","Active","10GbE","PCI Express","4"
http://www.literature.molex.com/SQLImages/kelmscott/Molex/PDF_Images/987651-3769.pdf,-,1120110004-ND,1120110004,Molex,NIC:PROFIBUS:PCU:1CHL:APP:1.5MB,0,0,"Obsolete","0","1","112011","Obsolete","Profibus","DAServer, DDE Server, DLL, OPC DA","1"
-,-,2269700-R-ND,2269700-R,Microsemi Corporation,ADAPTEC FLASH MODULE SUPERCAP 60,0,0,"Obsolete","0","5","-","Obsolete","-","-","-"
https://www.microsemi.com/document-portal/doc_download/136086-series-6-product-brief,-,2270000-R-ND,2270000-R,Microsemi Corporation,ADAPTEC RAID 6405 SINGLE,0,0,"Obsolete","0","5","Adaptec® 6","Obsolete","SAS/SATA","PCI Express","4"
https://www.microsemi.com/document-portal/doc_download/136086-series-6-product-brief,-,2270100-R-ND,2270100-R,Microsemi Corporation,ADAPTEC RAID 6805 SINGLE,0,0,"Obsolete","0","5","Adaptec® 6","Obsolete","SAS/SATA","PCI Express","8"
