Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Applications","Diagonal Screen Size","Viewing Area"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/ePrivacy_Filter.pdf,-,PF14.0W-ND,PF14.0W,3M,PRIVACY FILTER LAPTOP 14.0"",0,0,"49.92000","0","1","-","Active","Privacy Filter, Widescreen","LCD Monitor","14.0"" (14.00"", 356mm)","309.56mm W x 173.04mm H"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/GPFMA13~.pdf,-,GPFMA13-ND,GPFMA13,3M,GOLD PRIVACY FILTER MACBOOK 13"",0,0,"49.92000","0","1","-","Active","Privacy Filter","LCD Monitor","11.6"" (11.60"", 295mm)","257.18mm W x 144.46mm H"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/GPFMP13~.pdf,-,GPFMP13-ND,GPFMP13,3M,GOLD PRIVACY FILTER MACBOOK 13"",0,0,"49.92000","0","1","-","Active","Privacy Filter","LCD Monitor","13.3"" (13.30"", 338mm)","319.09mm W x 212.73mm H"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/GPFMR13~.pdf,-,GPFMR13-ND,GPFMR13,3M,GOLD PRIVACY FILTER MACBOOK 13"",0,0,"49.92000","0","1","-","Active","Privacy Filter, Widescreen","LCD Monitor","13.3"" (13.30"", 338mm)","306.39mm W x 201.61mm H"
-,-,PF140W9E-ND,PF140W9E,3M,NOTEBOOK PRIVACY FILTER,0,0,"49.92000","0","1","-","Active","-","-","-","-"
-,-,PF141W1B-ND,PF141W1B,3M,PF14.1W PRIVACY FILTER FOR WIDES,0,0,"49.92000","0","1","-","Active","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/PF16.0W9~.pdf,-,PF16.0W9-ND,PF16.0W9,3M,PRIVACY FILTER LAPTOP 16.0"",0,0,"50.32000","0","1","-","Active","Privacy Filter, Widescreen","LCD Monitor","16.0"" (16.00"", 406mm)","354.01mm W x 200.03mm H"
-,-,PF121W1B-ND,PF121W1B,3M,PF12.1W PRIVACY FILTER FOR WIDES,0,0,"50.64000","0","1","-","Active","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/GPF12.5W9~.pdf,-,GPF12.5W9-ND,GPF12.5W9,3M,GOLD PRIVACY FILTER LAPTOP 12.5"",0,0,"50.80000","0","1","-","Active","Privacy Filter, Widescreen","LCD Monitor","12.5"" (12.50"", 318mm)","277.81mm W x 155.58mm H"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/EPFENT~.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_Filter-Software.jpg,EPFENT-ND,EPFENT,3M,EPRIVACY FILTER SOFTWARE ENTERPR,0,0,"50.94000","0","1","-","Active","Privacy Filter","Window Safety, Security","-","-"
