Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Voltage - Clamping","Technology","Number of Circuits","Applications","Mounting Type","Package / Case","Supplier Device Package"
http://www.linear.com/docs/40854,//media.digikey.com/Renders/Linear%20Tech%20Renders/161;05-08-1610;S;16.jpg,LT4363CS-1#PBF-ND,LT4363CS-1#PBF,Linear Technology/Analog Devices,IC SURGE STOPPER HV 16-SOIC,60,0,"6.02000","0","1","Tube","-","Active","27V Adj","External Switch","1","Automotive","Surface Mount","16-SOIC (0.154"", 3.90mm Width)","16-SOIC"
http://www.linear.com/docs/52707,"//media.digikey.com/Renders/Linear%20Tech%20Renders/161;-05-08-1661;-MS,-MS10;-10.jpg",LTC4380CMS-3#PBF-ND,LTC4380CMS-3#PBF,Linear Technology/Analog Devices,IC LOW CUR SURGE STOPPER 10MSOP,38,0,"6.02000","0","1","Tube","-","Active","Vcc + 13.5V","External Switch","1","Automotive","Surface Mount","10-TFSOP, 10-MSOP (0.118"", 3.00mm Width)","10-MSOP"
http://www.linear.com/docs/52707,"//media.digikey.com/Renders/Linear%20Tech%20Renders/161;-05-08-1661;-MS,-MS10;-10.jpg",LTC4380CMS-2#PBF-ND,LTC4380CMS-2#PBF,Linear Technology/Analog Devices,IC LOW CUR SURGE STOPPER 10MSOP,35,0,"6.02000","0","1","Tube","-","Active","31.5V, 50V","External Switch","1","Automotive","Surface Mount","10-TFSOP, 10-MSOP (0.118"", 3.00mm Width)","10-MSOP"
http://www.linear.com/docs/52707,//media.digikey.com/Renders/Linear%20Tech%20Renders/161;05-08-1699;DD;10.jpg,LTC4380IDD-1#PBF-ND,LTC4380IDD-1#PBF,Linear Technology/Analog Devices,IC LOW CUR SURGE STOPPER 10DFN,68,1936,"6.91000","0","1","Tube","-","Active","31.5V, 50V","External Switch","1","Automotive","Surface Mount","10-WFDFN Exposed Pad","10-DFN (3x3)"
http://www.linear.com/docs/52707,//media.digikey.com/Renders/Linear%20Tech%20Renders/161;05-08-1699;DD;10.jpg,LTC4380HDD-1#PBF-ND,LTC4380HDD-1#PBF,Linear Technology/Analog Devices,IC LOW CUR SURGE STOPPER 10DFN,62,2057,"7.60000","0","1","Tube","-","Active","31.5V, 50V","External Switch","1","Automotive","Surface Mount","10-WFDFN Exposed Pad","10-DFN (3x3)"
http://www.linear.com/docs/52707,//media.digikey.com/Renders/Linear%20Tech%20Renders/161;05-08-1699;DD;10.jpg,LTC4380HDD-3#PBF-ND,LTC4380HDD-3#PBF,Linear Technology/Analog Devices,IC LOW CUR SURGE STOPPER 10DFN,43,1089,"7.60000","0","1","Tube","-","Active","Vcc + 13.5V","External Switch","1","Automotive","Surface Mount","10-WFDFN Exposed Pad","10-DFN (3x3)"
http://www.linear.com/docs/52707,"//media.digikey.com/Renders/Linear%20Tech%20Renders/161;-05-08-1661;-MS,-MS10;-10.jpg",LTC4380HMS-1#PBF-ND,LTC4380HMS-1#PBF,Linear Technology/Analog Devices,IC LOW CUR SURGE STOPPER 10MSOP,42,1350,"7.60000","0","1","Tube","-","Active","31.5V, 50V","External Switch","1","Automotive","Surface Mount","10-TFSOP, 10-MSOP (0.118"", 3.00mm Width)","10-MSOP"
http://www.analog.com/media/en/technical-documentation/data-sheets/ltc7862.pdf,//media.digikey.com/Renders/Linear%20Tech%20Renders/20%20QFN%2005-08-1711.jpg,LTC7862EUFD#PBF-ND,LTC7862EUFD#PBF,Linear Technology/Analog Devices,140V HIGH EFFICIENCY SWITCHING S,87,292,"8.24000","0","1","Bulk","-","Active","Adjustable","External Switch","1","Automotive","Surface Mount","20-WFQFN Exposed Pad","20-QFN (5x4)"
http://www.analog.com/media/en/technical-documentation/data-sheets/ltc7862.pdf,//media.digikey.com/Renders/Linear%20Tech%20Renders/20%20QFN%2005-08-1711.jpg,LTC7862HUFD#PBF-ND,LTC7862HUFD#PBF,Linear Technology/Analog Devices,140V HIGH EFFICIENCY SWITCHING S,66,365,"10.05000","0","1","Bulk","-","Active","Adjustable","External Switch","1","Automotive","Surface Mount","20-WFQFN Exposed Pad","20-QFN (5x4)"
https://www.bourns.com/docs/Product-Datasheets/TBU-CA.pdf,//media.digikey.com/Photos/Bourns%20Photos/MFG_TBU-CA.jpg,TBU-CA065-500-WHTR-ND,TBU-CA065-500-WH,Bourns Inc.,SURGE SUPP TBU 500MA 650VIMP SMD,0,0,"0.74250","0","3000","Tape & Reel (TR)","TBU®","Active","650V","Internal Switch","1","General Purpose","Surface Mount","SMD 6.50mm x 4.00mm","SMD"
https://www.bourns.com/docs/Product-Datasheets/TBU-CA.pdf,//media.digikey.com/Photos/Bourns%20Photos/MFG_TBU-CA.jpg,TBU-CA065-500-WHCT-ND,TBU-CA065-500-WH,Bourns Inc.,SURGE SUPP TBU 500MA 650VIMP SMD,511,0,"1.76000","0","1","Cut Tape (CT)","TBU®","Active","650V","Internal Switch","1","General Purpose","Surface Mount","SMD 6.50mm x 4.00mm","SMD"
https://www.bourns.com/docs/Product-Datasheets/TBU-CA.pdf,//media.digikey.com/Photos/Bourns%20Photos/MFG_TBU-CA.jpg,TBU-CA065-500-WHDKR-ND,TBU-CA065-500-WH,Bourns Inc.,SURGE SUPP TBU 500MA 650VIMP SMD,511,0,"Digi-Reel","0","1","Digi-Reel®","TBU®","Active","650V","Internal Switch","1","General Purpose","Surface Mount","SMD 6.50mm x 4.00mm","SMD"
https://www.bourns.com/docs/Product-Datasheets/TBU-CA.pdf,//media.digikey.com/Photos/Bourns%20Photos/MFG_TBU-CA.jpg,TBU-CA050-300-WHTR-ND,TBU-CA050-300-WH,Bourns Inc.,SURGE SUPP TBU 300MA 500VIMP SMD,0,0,"0.77963","0","3000","Tape & Reel (TR)","TBU®","Active","500V","Internal Switch","1","General Purpose","Surface Mount","SMD 6.50mm x 4.00mm","SMD"
https://www.bourns.com/docs/Product-Datasheets/TBU-CA.pdf,//media.digikey.com/Photos/Bourns%20Photos/MFG_TBU-CA.jpg,TBU-CA050-300-WHCT-ND,TBU-CA050-300-WH,Bourns Inc.,SURGE SUPP TBU 300MA 500VIMP SMD,166,0,"1.84000","0","1","Cut Tape (CT)","TBU®","Active","500V","Internal Switch","1","General Purpose","Surface Mount","SMD 6.50mm x 4.00mm","SMD"
https://www.bourns.com/docs/Product-Datasheets/TBU-CA.pdf,//media.digikey.com/Photos/Bourns%20Photos/MFG_TBU-CA.jpg,TBU-CA050-300-WHDKR-ND,TBU-CA050-300-WH,Bourns Inc.,SURGE SUPP TBU 300MA 500VIMP SMD,166,0,"Digi-Reel","0","1","Digi-Reel®","TBU®","Active","500V","Internal Switch","1","General Purpose","Surface Mount","SMD 6.50mm x 4.00mm","SMD"
https://www.bourns.com/docs/Product-Datasheets/TBU-DT.pdf,//media.digikey.com/Photos/Bourns%20Photos/MFG_TBU-DT.jpg,TBU-DT085-500-WHTR-ND,TBU-DT085-500-WH,Bourns Inc.,SURGE SUPP TBU DL 500MA 850V SMD,0,0,"0.85050","0","3000","Tape & Reel (TR)","TBU®","Active","850V","Internal Switch","2","Ethernet","Surface Mount","4-VDFN Exposed Pad","4-DFN (5x5)"
https://www.bourns.com/docs/Product-Datasheets/TBU-DT.pdf,//media.digikey.com/Photos/Bourns%20Photos/MFG_TBU-DT.jpg,TBU-DT085-500-WHCT-ND,TBU-DT085-500-WH,Bourns Inc.,SURGE SUPP TBU DL 500MA 850V SMD,125,0,"2.01000","0","1","Cut Tape (CT)","TBU®","Active","850V","Internal Switch","2","Ethernet","Surface Mount","4-VDFN Exposed Pad","4-DFN (5x5)"
