Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Style","Connector Type","Number of Positions","Shape","Barrel Depth","Voltage","Mounting Type","Features"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=861610&DocType=Customer+Drawing&DocLang=English,-,861610-6-ND,861610-6,TE Connectivity AMP Connectors,CONN LGH PLUG 1POS CYL STR,0,0,"18.32800","0","100","Bulk","-","Active","LGH","Plug","1","Cylindrical","-","20kVDC","Free Hanging (In-Line)","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=861276&DocType=Customer+Drawing&DocLang=English,-,861276-1-ND,861276-1,"TE Connectivity Aerospace, Defense and Marine",CONN END PLATE LGH,0,0,"18.50200","0","200","Bulk","-","Active","LGH","Accessory - Cap","-","-","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=862435&DocType=Customer+Drawing&DocLang=English,-,862435-1-ND,862435-1,TE Connectivity AMP Connectors,CONN LGH RCPT 2POS CYL PNL MNT,0,0,"19.13890","0","300","Bulk","-","Active","LGH","Receptacle","2","Cylindrical","-","10kVDC","Panel Mount","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=861753&DocType=Customer+Drawing&DocLang=English,-,861753-2-ND,861753-2,TE Connectivity AMP Connectors,CONN LGH RCPT CIRC STR,0,0,"19.20740","0","300","Bulk","-","Active","LGH","Receptacle","-","Circular","1.00"" (25.40mm)","20kVDC","Free Hanging (In-Line)","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=862197&DocType=Customer+Drawing&DocLang=English,-,5-862197-2-ND,5-862197-2,"TE Connectivity Aerospace, Defense and Marine",CONN LGH RCPT 1POS CIRC STR,0,0,"19.53900","0","800","Bulk","-","Active","LGH","Receptacle","1","Circular","1.00"" (25.40mm)","20kVDC","Free Hanging (In-Line)","Flange"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=864436&DocType=Customer+Drawing&DocLang=English,-,864436-1-ND,864436-1,TE Connectivity AMP Connectors,CONN LGH BOOT 1POS,0,0,"19.59100","0","1000","Bulk","-","Active","LGH","Accessory - Boot","1","-","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=862382&DocType=Customer+Drawing&DocLang=English,-,862382-6-ND,862382-6,"TE Connectivity Aerospace, Defense and Marine",CONN LGH HOUSING 2P RECT PNL MNT,0,0,"19.87870","0","400","Bulk","-","Active","LGH","Housing","2","Rectangular","-","-","Panel Mount","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=861610&DocType=Customer+Drawing&DocLang=English,-,861610-5-ND,861610-5,"TE Connectivity Aerospace, Defense and Marine",CONN LGH PLUG 1POS CYL STR,0,0,"19.90850","0","100","Bulk","-","Active","LGH","Plug","1","Cylindrical","-","20kVDC","Free Hanging (In-Line)","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=862382&DocType=Customer+Drawing&DocLang=English,-,862382-1-ND,862382-1,"TE Connectivity Aerospace, Defense and Marine",CONN LGH HOUSING 2P RECT PNL MNT,0,0,"20.25650","0","240","Bulk","-","Active","LGH","Housing","2","Rectangular","-","-","Panel Mount","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=864900&DocType=Customer+Drawing&DocLang=English,-,5-864900-1-ND,5-864900-1,"TE Connectivity Aerospace, Defense and Marine",CONN LGH RCPT 6POS CIRC PNL MNT,0,0,"20.31710","0","400","Bulk","-","Active","LGH","Receptacle","6","Circular","-","-","Panel Mount","Flange"
