Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Number of Cable Pairs","Diameter - Inside","Length - Overall","Sheath Opening","Features"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=559405&DocType=Customer+Drawing&DocLang=English,-,559405-2-ND,559405-2,TE Connectivity AMP Connectors,WIRE SPLICE TRAY 12PAIR,0,0,"44.73000","0","1","RibbonMaster","Active","Tray, Splice","12 Pairs","-","12.50"" (317.5mm)","-","Discrete Cable Splices"
-,//media.digikey.com/Photos/3M%20Photos/MFG_UFx-SPLICE%20KIT-6%20KITS.jpg,UF2-SPLICEKIT-6KITS-ND,UF2-SPLICE KIT-6 KITS,3M,WIRE SPLICE CABLE KIT,0,0,"44.80167","0","6","Scotchlok™","Active","Cable Splice Kit","-","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1-1773872-1_raychem-tooling&DocType=DS&DocLang=English,-,UWCS-2U/7.6-1C/5.8-ND,UWCS-2U/7.6-1C/5.8,"TE Connectivity Aerospace, Defense and Marine",WIRE SPLICE UNDERWATER KIT,0,0,"45.35314","0","35","-","Active","Underwater Splice Kit","-","-","-","-","-"
-,-,SLFC/T-2-PORT-ND,SLFC/T-2-PORT,3M,SLIC 530/533/733 2-PORT 0.61,0,0,"53.70500","0","2","SLiC™","Active","-","-","-","-","-","-"
https://multimedia.3m.com/mws/media/37294O/3m-scotchcast-power-cable-tap-splice-kit-90-b1.pdf,-,3M160838-ND,90-B1,3M,WYE RESIN SPLICE KIT,0,0,"53.72000","0","1","*","Active","-","-","-","-","-","-"
http://multimedia.3m.com/mws/media/806883O/slic-aerial-closures-and-terminals-brochure.pdf,-,3M162259-ND,SLIC-2.6X29,3M,WIRE SPLICE AERIAL CLOSURE 200PR,0,0,"55.93000","0","1","SLiC™","Active","Aerial Closure, Free-Breathing","200 Pairs @ 24-26 AWG","2.600"" (66.04mm)","29.00"" (736.6mm)","17.00"" (431.8mm)","Floating Bond, Rubber End Seals"
http://multimedia.3m.com/mws/media/806883O/slic-aerial-closures-and-terminals-brochure.pdf,-,SLIC-2.2X19-BA-ND,SLIC-2.2X19-BA,3M,WIRE SPLICE AERIAL CLOSURE 100PR,0,0,"56.81500","0","4","SLiC™","Active","Aerial Closure, Free-Breathing","100 Pairs @ 24-26 AWG","2.200"" (55.88mm)","19.00"" (482.6mm)","14.00"" (355.6mm)","Shield Bond Assembly 4462, Rubber End Seals"
-,-,4636R-ND,4636R,3M,PEDESTAL SPLICE CLOSURE REENTRY,0,0,"58.12400","0","5","*","Active","-","-","-","-","-","-"
http://multimedia.3m.com/mws/media/806883O/slic-aerial-closures-and-terminals-brochure.pdf,-,3M162260-ND,SLIC-2.6X29-SES,3M,WIRE SPLICE AERIAL CLOSURE 200PR,0,0,"58.74000","0","1","SLiC™","Active","Aerial Closure, Free-Breathing","200 Pairs @ 24-26 AWG","2.600"" (66.04mm)","29.00"" (736.6mm)","17.00"" (431.8mm)","Floating Bond, Spiral End Seals"
http://multimedia.3m.com/mws/media/22923O/3m-scotchcast-multi-mold-splicing-kit-85-14cp.pdf,-,85-14-CP-ND,85-14-CP,3M,WIRE SPLICE CABLE KIT,0,0,"60.88000","0","1","Scotchcast™","Active","Cable Splice Kit","-","-","-","6.50"" (165.1mm)","-"
