Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Mounting Type","Size / Dimension","For Use With/Related Products","Material","Color"
https://www.panduit.com/content/dam/panduit/en/products/assets/t/tm/tm1/tm1s/tm1s6c39/media/TM1S_R8.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_TM1SX-X.jpg,298-16842-ND,TM1S6-C39,Panduit Corp,"CABLE TIE MOUNT, .32"" (8.1MM)W,",1550,0,"0.47000","0","1","-","Active","Dual Opening","Screw, #6 (M3)","0.51"" L x 0.32"" W x 0.23"" H (13.0mm x 8.0mm x 5.8mm)","M Ties","Nylon 6.6, Heat Stabilized","Natural"
http://www.essentracomponents.com.sg/images-line/pdfs/FTH-33.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_FTH-33-01.jpg,RPC3995-ND,FTH-33-01,Essentra Components,CBL TIE HLDR ARROW MNT NATURAL,2000,0,"0.47654","0","1000","FTH","Active","Single Opening","Push In - Arrowhead, Cupped","0.75"" L x 0.62"" H (19.1mm x 15.8mm)","WIT-30 through -50,  WITE-30 through -50 and QTE-30 through -50 Ties","Nylon, Flame Retardant","Natural"
-,-,RPC6255-ND,WPM001B,Essentra Components,MASONRY MOUNT: 9.0 MM MAX TIE WI,5000,0,"0.48000","0","1","WPM","Active","Single Opening","Masonry Screw","0.38"" L x 0.49"" W (9.7mm x 12.4mm)","-","Nylon 6.6","Black"
-,//media.digikey.com/Photos/Essentra%20Components%20Photos/WPM002A.jpg,RPC6256-ND,WPM002A,Essentra Components,MASONRY MOUNT: 9.0 MM MAX TIE WI,5000,0,"0.48000","0","1","WPM","Active","Single Opening","Masonry Screw","0.38"" L x 0.49"" W x 1.94"" H (9.7mm x 12.4mm x 49.3mm)","-","Nylon 6.6","Black"
http://www.panduit.com/heiler/PartDrawings/C-WATA1SGB0239EP-R2--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_TA1S8-M69.jpg,298-15881-ND,TA1S8-M69,Panduit Corp,"TIE ANCHOR#8 HOLE,FLM RET",4999,0,"0.48000","0","1","-","Active","Quad Opening","Screw, #8 (M4)","0.75"" L x 0.37"" W x 0.20"" H (19.0mm x 9.5mm x 5.0mm)","M, I, S Ties","Nylon, Flame Retardant","Natural"
http://www.panduit.com/heiler/SelectionGuides/ABM%20Guide%20SA102N90-WA.PDF,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_SGTA1S8-C.jpg,298-15865-ND,SGTA1S8-C,Panduit Corp,SUPER GRIP TIE ANCHOR,1883,0,"0.48000","0","1","Super-Grip®","Active","Single Opening","Screw, #8 (M4)","0.80"" L x 0.37"" W x 0.22"" H (20.4mm x 9.4mm x 5.6mm)","Super-Grip® SGM, SGI, SGS Ties","Nylon","Natural"
-,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_23FCPM25095.jpg,RPC6351-ND,23FCPM25095,Essentra Components,"MASONRY MOUNT CABLE TIE HOLDER,",8000,0,"0.49000","0","1","MicroPlastics","Active","Single Opening","Masonry Screw","0.50"" L x 0.48"" W x 1.22"" H (12.7mm x 12.2mm x 30.9mm)","-","Polyethylene","Black"
http://www.panduit.com/heiler/PartDrawings/TM1S_R8.pdf,-,298-20426-ND,TM1S4-M69,Panduit Corp,CABLE TIE MOUNT #4 SCREW FR,3000,0,"0.49000","0","1","-","Active","Dual Opening","Screw, #4 (M2.5)","0.51"" L x 0.32"" W x 0.23"" H (13.0mm x 8.0mm x 5.8mm)","M Ties","Nylon, Flame Retardant","Ivory"
http://www.panduit.com/heiler/PartDrawings/C-WATM2S6-GB0239EM-r6--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_TMXXX-X.jpg,298-15898-ND,TM2S8-M69,Panduit Corp,CABLE TIE MOUNT #8 SCREW FR,2532,0,"0.51000","0","1","-","Active","Dual Opening","Screw, #8 (M4)","0.63"" L x 0.42"" W x 0.27"" H (16.0mm x 10.8mm x 7.0mm)","M, I, S Ties","Nylon, Flame Retardant","Ivory"
-,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_TMS005A.jpg,RPC6234-ND,TMS005A,Essentra Components,SCREW-IN CABLE TIE MOUNT: .354 I,6900,0,"0.52000","0","1","TMS","Active","Dual Opening","Screw, #10 (M5)","1.18"" L x 0.68"" W x 0.46"" H (30.0mm x 17.3mm x 11.6mm)","Cable Ties up to 0.354"" (9.0mm) Width","Nylon 6.6","Natural"
http://www.panduit.com/heiler/PartDrawings/C-WATA1SGB0239EP-R2--ENG.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/TA1S8-C.JPG,298-15877-ND,TA1S10-C,Panduit Corp,TIE ANCHOR,4501,0,"0.52000","0","1","-","Active","Quad Opening","Screw, #10 (M5)","0.75"" L x 0.37"" W x 0.20"" H (19.0mm x 9.5mm x 5.0mm)","M, I, S Ties","Nylon","Natural"
http://www.panduit.com/heiler/CatalogCutSheets/PM2H25-C%20Product%20Page.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/pbms-h25-m0.JPG,298-15213-ND,PBMS-H25-C,Panduit Corp,PUSH BUTTON MNT,3035,0,"0.52000","0","1","-","Active","Single Opening","Push In - Reverse Snap Lock","0.42"" Dia x 0.40"" H (10.7mm x 10.2mm)","M, I, S Ties","Nylon","Natural"
http://www.panduit.com/heiler/PartDrawings/TM2R-TM3R_REV9.pdf,-,298-20429-ND,TM2R6-C,Panduit Corp,CABLE TIE MNT RIVET/SCREW 3/16"",2000,0,"0.52000","0","1","-","Active","Dual Opening","Rivet or Screw, 3/16"" (M3)","0.63"" L x 0.42"" W x 0.27"" H (16.0mm x 10.8mm x 7.0mm)","M, I, S Ties","Nylon","Natural"
http://www.panduit.com/heiler/CatalogCutSheets/TP2-C%20Product%20Page.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_TP2-x.jpg,298-15921-ND,TP2-C,Panduit Corp,"PLATE,TIE",2245,0,"0.53000","0","1","-","Active","Single Opening","Screw, #10 (M5)","1.98"" L x 0.50"" W x 0.12"" H (50.3mm x 12.7mm x 3.2mm)","M, I, S Ties","Nylon","Natural"
http://www.essentracomponents.com.sg/images-line/pdfs/FTH-3.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/FTH-3-01-M.jpg,RPC3994-ND,FTH-3-01-C,Essentra Components,CBL TIE HLDR ARROW MNT NATURAL,1300,0,"0.55070","0","100","FTH","Active","Single Opening","Push In - Arrowhead, Winged","0.56"" L x 0.22"" W x 0.52"" H (14.3mm x 5.6mm x 13.2mm)","WIT-18 through -40 and QTE-18 Ties","Nylon, Flame Retardant","Natural"
