Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","RF Type","Frequency","Number of Mixers","Gain","Noise Figure","Secondary Attributes","Current - Supply","Voltage - Supply","Package / Case","Supplier Device Package"
https://www.analog.com/media/en/technical-documentation/data-sheets/hmc521A.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/24-VFQFN%20Exposed%20Pad.jpg,HMC521ALC4-ND,HMC521ALC4,Analog Devices Inc.,IC MMIC IQ MIXER 24CLCC,22,68,"37.30000","0","1","Strip","-","Active","Radar","8.5GHz ~ 13.5GHz","2","-","-","-","-","-","24-CLCC Exposed Pad","24-CLCC"
https://www.analog.com/media/en/technical-documentation/data-sheets/hmc977g.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/24-QFN%20Exposed%20Pad.jpg,1127-1629-ND,HMC977LP4E,Analog Devices Inc.,IC MMIC IQ DOWNCONVERTER 24-QFN,8,0,"40.79000","0","1","Strip","-","Active","General Purpose","20GHz ~ 28GHz","1","14dB","2.5dB","Down Converter","170mA","4.5V","24-VFQFN Exposed Pad","24-SMT (4x4)"
https://www.analog.com/media/en/technical-documentation/data-sheets/hmc1081.pdf,//media.digikey.com/Photos/Analog%20Devices%20Photos/MFG_HMC1081.jpg,1127-2525-ND,HMC1081-SX,Analog Devices Inc.,IC MMIC IQ MIXER DIE,18,48,"155.07000","0","2","Tray","-","Active","Radar","50GHz ~ 75GHz","1","-","-","Up/Down Converter","-","-","Die","Die"
https://nardamiteq.com/docs/MITEQ-TB0440.PDF,-,1949-1053-ND,TB0440LW1,L3 Narda-MITEQ,BROADBAND WIDE IF TRIPLE BALANCE,13,0,"2056.96000","0","1","-","-","Active","General Purpose","4GHz ~ 40GHz","3","-","10.5dB","Up/Down Converter","-","-","Module, SMA Connectors","Module"
https://nardamiteq.com/docs/MITEQ-M2640W1.PDF,-,1949-1050-ND,M2640W1,L3 Narda-MITEQ,WIDE IF BANDWIDTH,2,0,"2286.08000","0","1","-","-","Active","General Purpose","26GHz ~ 40GHz","2","-","10.5dB","-","-","-","Module, SMA Connectors","Module"
https://datasheets.maximintegrated.com/en/ds/MAX2680-MAX2682.pdf,//media.digikey.com/renders/Maxim%20Renders/SOT-23-6%20PKG.jpg,MAX2682EUT+-ND,MAX2682EUT+,Maxim Integrated,IC MXR 400MHZ-2.5GHZ DWN SOT23-6,206,0,"2.30000","0","1","Strip","-","Active","Cellular, ISM, PCS, WLL","400MHz ~ 2.5GHz","1","14.7dB","13.4dB","Down Converter","15mA","2.7V ~ 5.5V","SOT-23-6","SOT-23-6"
//media.digikey.com/pdf/Data%20Sheets/Analog%20Devices%20PDFs/AD8343.pdf,//media.digikey.com/Renders/Analog%20Devices%20Renders/14-TSSOP.jpg,AD8343ARUZ-ND,AD8343ARUZ,Analog Devices Inc.,IC MXR 0HZ-2.5GHZ UP/DWN 14TSSOP,84,96,"9.31000","0","1","Tube","AD8343","Active","Cellular, WLAN","0Hz ~ 2.5GHz","1","7dB","14dB","Up/Down Converter","60mA","4.5V ~ 5.5V","14-TSSOP (0.173"", 4.40mm Width)","14-TSSOP"
http://www.linear.com/docs/3852,//media.digikey.com/Renders/Linear%20Tech%20Renders/161;05-08-1692;UF;16.jpg,LT5520EUF#PBF-ND,LT5520EUF#PBF,Linear Technology/Analog Devices,IC MIXER 1.3-2.3GHZ UPCONV 16QFN,38,1729,"10.05000","0","1","Tube","LT5520","Active","General Purpose","1.3GHz ~ 2.3GHz","1","-1dB","15dB","Up Converter","60mA","4.5V ~ 5.25V","16-WQFN Exposed Pad","16-QFN (4x4)"
http://www.linear.com/docs/26098,//media.digikey.com/Renders/Linear%20Tech%20Renders/24%20QFN%2005-08-1747.jpg,LT5579IUH#PBF-ND,LT5579IUH#PBF,Linear Technology/Analog Devices,IC MIXER 1.5-3.8GHZ 24QFN,69,438,"13.34000","0","1","Tube","LT5579","Active","Cellular, CDMA2000, EDGE, GPRS, GSM","1.5GHz ~ 3.8GHz","1","2.6dB","9.9dB","Up Converter","250mA","3.3V","24-WQFN Exposed Pad","24-QFN (5x5)"
http://www.linear.com/docs/7797,//media.digikey.com/Renders/Linear%20Tech%20Renders/161;05-08-1692;UF;16.jpg,LT5527EUF#PBF-ND,LT5527EUF#PBF,Linear Technology/Analog Devices,IC MIXER 400MHZ-3.7GHZ DWN 16QFN,80,2275,"14.05000","0","1","Tube","LT5527","Active","Cellular, GSM, MMDS, TD-SCDMA, UMTS, WCDMA","400MHz ~ 3.7GHz","1","2.3dB","12.5dB","Down Converter","78mA","4.5V ~ 5.25V","16-WQFN Exposed Pad","16-QFN (4x4)"
