Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Coupler Type","Frequency","Coupling Factor","Applications","Insertion Loss","Power - Max","Isolation","Return Loss","Package / Case","Supplier Device Package"
https://cdn.anaren.com/product-documents/Xinger/90DegreeHybridCouplers/1M803S/1M803S_DataSheet(Rev_F).pdf,"//media.digikey.com/Photos/Anaren,%20Inc/1M803S.JPG",1173-1142-2-ND,1M803S,Anaren,RF DIR COUPLER 4.8GHZ-6GHZ SMD,2000,0,"1.45000","0","2000","Tape & Reel (TR)","Xinger®","Active","Standard","4.8GHz ~ 6GHz","-","General Purpose","0.25dB","20W","20dB","-","4-SMD, No Lead","-"
https://cdn.anaren.com/product-documents/Xinger/90DegreeHybridCouplers/1M803S/1M803S_DataSheet(Rev_F).pdf,"//media.digikey.com/Photos/Anaren,%20Inc/1M803S.JPG",1173-1142-1-ND,1M803S,Anaren,RF DIR COUPLER 4.8GHZ-6GHZ SMD,5000,0,"3.41000","0","1","Cut Tape (CT)","Xinger®","Active","Standard","4.8GHz ~ 6GHz","-","General Purpose","0.25dB","20W","20dB","-","4-SMD, No Lead","-"
https://cdn.anaren.com/product-documents/Xinger/90DegreeHybridCouplers/1M803S/1M803S_DataSheet(Rev_F).pdf,"//media.digikey.com/Photos/Anaren,%20Inc/1M803S.JPG",1173-1142-6-ND,1M803S,Anaren,RF DIR COUPLER 4.8GHZ-6GHZ SMD,5000,0,"Digi-Reel","0","1","Digi-Reel®","Xinger®","Active","Standard","4.8GHz ~ 6GHz","-","General Purpose","0.25dB","20W","20dB","-","4-SMD, No Lead","-"
-,//media.digikey.com/Photos/Knowles-Dielectric-Labs/FPC0688X.JPG,1761-1040-ND,FPC06881,Knowles Dielectric Labs,RF DIR COUPLER 40GHZ SMD,290,0,"18.90000","0","1","Bulk","-","Active","Standard","40GHz","-20 ± 3dB","General Purpose","-1dB","-","-20dB","-15dB","4-SMD, No Lead","-"
https://www.knowlescapacitors.com/getattachment/Products/Microwave-Products/Couplers/FPC06075-Datasheet.pdf.aspx,//media.digikey.com/Photos/Knowles-Dielectric-Labs/FPC060XX.JPG,1761-1028-ND,FPC06075,Knowles Dielectric Labs,RF DIR COUPLER 12GHZ-18GHZ SMD,186,0,"26.33000","0","1","Bulk","-","Active","Standard","12GHz ~ 18GHz","12dB","General Purpose","0.22dB","-","-","15dB","4-SMD, No Lead","-"
//media.digikey.com/pdf/Data%20Sheets/Knowles%20Dielectric%20Labs%20PDFs/FPC06719.pdf,//media.digikey.com/Photos/Knowles-Dielectric-Labs/FPC06719.jpg,1761-1038-ND,FPC06719,Knowles Dielectric Labs,RF DIR COUPLER 6GHZ-18GHZ SMD,155,0,"29.84000","0","1","Bulk","-","Active","Standard","6GHz ~ 18GHz","11.5dB","General Purpose","1dB","-","-","18dB","4-SMD, No Lead","-"
https://product.tdk.com/info/en/documents/data_sheet/rf_coupler_hhm2910e4_en.pdf,//media.digikey.com/Renders/TDK%20Renders/HHM2910E4.jpg,445-172644-2-ND,HHM2910E4,TDK Corporation,RF DIR COUPLER 1.71GHZ-1.98GHZ,10000,0,"0.09639","0","10000","Tape & Reel (TR)","HHM","Active","Standard","1.71GHz ~ 1.98GHz","21.2 ± 1dB","-","0.25dB","-","34dB","-","0402 (1005 Metric), 4 PC Pad","-"
https://product.tdk.com/info/en/documents/data_sheet/rf_coupler_hhm2910e4_en.pdf,//media.digikey.com/Renders/TDK%20Renders/HHM2910E4.jpg,445-172644-1-ND,HHM2910E4,TDK Corporation,RF DIR COUPLER 1.71GHZ-1.98GHZ,15969,0,"0.28000","0","1","Cut Tape (CT)","HHM","Active","Standard","1.71GHz ~ 1.98GHz","21.2 ± 1dB","-","0.25dB","-","34dB","-","0402 (1005 Metric), 4 PC Pad","-"
https://product.tdk.com/info/en/documents/data_sheet/rf_coupler_hhm2910e4_en.pdf,//media.digikey.com/Renders/TDK%20Renders/HHM2910E4.jpg,445-172644-6-ND,HHM2910E4,TDK Corporation,RF DIR COUPLER 1.71GHZ-1.98GHZ,15969,0,"Digi-Reel","0","1","Digi-Reel®","HHM","Active","Standard","1.71GHz ~ 1.98GHz","21.2 ± 1dB","-","0.25dB","-","34dB","-","0402 (1005 Metric), 4 PC Pad","-"
http://datasheets.avx.com/cp0302.pdf,//media.digikey.com/Renders/TDK%20Renders/TFSC%20Series.jpg,478-9329-2-ND,CP0302A5425ENTR,AVX Corporation,RF DIR COUPLER 2.4-2.5GHZ 0302,10000,0,"0.19950","0","5000","Tape & Reel (TR)","-","Active","Standard","2.4GHz ~ 2.5GHz, 4.9GHz ~ 5.95GHz","20dB","General Purpose","0.4dB","-","-","30dB","0302 (0806 Metric), 4 Lead","-"
http://datasheets.avx.com/cp0302.pdf,//media.digikey.com/Renders/TDK%20Renders/TFSC%20Series.jpg,478-9329-1-ND,CP0302A5425ENTR,AVX Corporation,RF DIR COUPLER 2.4-2.5GHZ 0302,13400,0,"0.55000","0","1","Cut Tape (CT)","-","Active","Standard","2.4GHz ~ 2.5GHz, 4.9GHz ~ 5.95GHz","20dB","General Purpose","0.4dB","-","-","30dB","0302 (0806 Metric), 4 Lead","-"
http://datasheets.avx.com/cp0302.pdf,//media.digikey.com/Renders/TDK%20Renders/TFSC%20Series.jpg,478-9329-6-ND,CP0302A5425ENTR,AVX Corporation,RF DIR COUPLER 2.4-2.5GHZ 0302,13400,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Standard","2.4GHz ~ 2.5GHz, 4.9GHz ~ 5.95GHz","20dB","General Purpose","0.4dB","-","-","30dB","0302 (0806 Metric), 4 Lead","-"
