Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Frequency","RF Type","Input Range","Accuracy","Voltage - Supply","Current - Supply","Package / Case","Supplier Device Package"
https://datasheets.maximintegrated.com/en/ds/MAX4003.pdf,//media.digikey.com/Renders/Maxim%20Renders/MSOP-8.jpg,MAX4003EUA-T-ND,MAX4003EUA-T,Maxim Integrated,IC RF DETECT 100MHZ-2.5GHZ 8UMAX,0,0,"Active","0","0","Tape & Reel (TR)","-","Active","100MHz ~ 2.5GHz","Cellular, TDMA, CDMA, GPRS, GSM","-45dBm ~ 0dBm","-","2.7V ~ 5V","5.9mA","8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)","8-uMAX"
//media.digikey.com/pdf/Data%20Sheets/Analog%20Devices%20PDFs/HMC612LP4_4E_1-10-17.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/24-QFN%20Exposed%20Pad.jpg,1127-1482-ND,HMC612LP4E,Analog Devices Inc.,IC RF DETECT 50HZ-3GHZ 24QFN,0,0,"Obsolete","0","1","Strip","-","Obsolete","50Hz ~ 3GHz","WiMAX / WiBro","-","±1dB","2.7V ~ 5.5V","30mA","24-VFQFN Exposed Pad","24-QFN (4x4)"
//media.digikey.com/pdf/Data%20Sheets/Rohm%20PDFs/BH4126FV.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/16-SSOP.jpg,BH4126FV-E2TR-ND,BH4126FV-E2,Rohm Semiconductor,IC RF DETECT 20-300MHZ 16SSOPB,0,0,"Active","0","0","Tape & Reel (TR)","-","Active","20MHz ~ 300MHz","RKE, Access Control","-","-","2.3V ~ 5.5V","5.5mA","16-LSSOP (0.173"", 4.40mm Width)","16-SSOP-B"
https://www.analog.com/media/en/technical-documentation/data-sheets/AD8313.pdf,//media.digikey.com/Renders/Analog%20Devices%20Renders/RM-8.jpg,AD8313ARM-REELTR-ND,AD8313ARM-REEL,Analog Devices Inc.,IC RF DETECT 100MHZ-2.5GHZ 8MSOP,0,0,"Obsolete","0","3000","Tape & Reel (TR)","-","Obsolete","100MHz ~ 2.5GHz","RADAR, 802.11/WiFi, 8.2.16/WiMax, Wireless LAN","-65dBm ~ 0dBm","±1dB","2.7V ~ 5.5V","13.7mA","8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)","8-MSOP"
https://www.analog.com/media/en/technical-documentation/data-sheets/AD8361.pdf,//media.digikey.com/Renders/Analog%20Devices%20Renders/RM-8.jpg,AD8361ARM-REEL7TR-ND,AD8361ARM-REEL7,Analog Devices Inc.,IC RF DETECT 100MHZ-2.5GHZ 8MSOP,0,0,"Obsolete","0","1000","Tape & Reel (TR)","-","Obsolete","100MHz ~ 2.5GHz","Cellular, CDMA, W-CDMA","0 ~ 700mV","±0.25dB","2.7V ~ 5.5V","1.1mA","8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)","8-MSOP"
https://www.analog.com/media/en/technical-documentation/data-sheets/hmc600.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/24-QFN%20Exposed%20Pad.jpg,HMC600LP4-ND,HMC600LP4,Analog Devices Inc.,IC RF DETECT 50MHZ-4GHZ 24QFN,0,0,"Obsolete","0","16","Strip","-","Obsolete","50MHz ~ 4GHz","WiMAX / WiBro","-","-","2.7V ~ 5.5V","29mA","24-VFQFN Exposed Pad","24-QFN (4x4)"
https://www.analog.com/media/en/technical-documentation/data-sheets/hmc600.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/24-QFN%20Exposed%20Pad.jpg,HMC600LP4TR-ND,HMC600LP4TR,Analog Devices Inc.,IC RF DETECT 50MHZ-4GHZ 24QFN,0,0,"Obsolete","0","500","Tape & Reel (TR)","-","Obsolete","50MHz ~ 4GHz","WiMAX / WiBro","-","-","3.3V","29mA","24-VFQFN Exposed Pad","24-QFN (4x4)"
//media.digikey.com/pdf/Data%20Sheets/Analog%20Devices%20PDFs/HMC612LP4_4E_1-10-17.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/24-QFN%20Exposed%20Pad.jpg,HMC612LP4ETR-ND,HMC612LP4ETR,Analog Devices Inc.,IC RF DETECT 50HZ-3GHZ 24QFN,0,0,"Obsolete","0","500","Tape & Reel (TR)","-","Obsolete","50Hz ~ 3GHz","WiMAX / WiBro","-","±1dB","2.7V ~ 5.5V","30mA","24-VFQFN Exposed Pad","24-QFN (4x4)"
-,//media.digikey.com/Renders/Maxim%20Renders/MSOP-8.jpg,MAX9933BGUA+-ND,MAX9933BGUA+,Maxim Integrated,IC RF DETECT 2MHZ-1.6GHZ 8UMAX,0,0,"Active","0","0","Tube","-","Active","2MHz ~ 1.6GHz","Cellular, TDMA, CDMA, GPRS, GSM","-45dBm ~ 0dBm","±1dB","2.7V ~ 5.25V","7mA","8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)","8-uMAX"
-,//media.digikey.com/Renders/Maxim%20Renders/MSOP-8.jpg,MAX9933BGUA+T-ND,MAX9933BGUA+T,Maxim Integrated,IC RF DETECT 2MHZ-1.6GHZ 8UMAX,0,0,"Active","0","0","Tape & Reel (TR)","-","Active","2MHz ~ 1.6GHz","Cellular, TDMA, CDMA, GPRS, GSM","-45dBm ~ 0dBm","±1dB","2.7V ~ 5.25V","7mA","8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)","8-uMAX"
https://datasheets.maximintegrated.com/en/ds/MAX2205-MAX2208.pdf,//media.digikey.com/renders/Maxim%20Renders/4-UCSP_21-0117G.jpg,MAX2206EBS+TR-ND,MAX2206EBS+T,Maxim Integrated,IC RF DETECT 800MHZ-2GHZ 4UCSP,0,0,"Obsolete","0","2500","Tape & Reel (TR)","-","Obsolete","800MHz ~ 2GHz","Cellular, GSM, EDGE","-25dB ~ 15dB","±0.3dB","2.7V ~ 5V","3.5mA","4-WFBGA, CSPBGA","4-UCSP (1.05x1.05)"
https://datasheets.maximintegrated.com/en/ds/MAX2205-MAX2208.pdf,//media.digikey.com/renders/Maxim%20Renders/4-UCSP_21-0117G.jpg,MAX2206EBS+CT-ND,MAX2206EBS+T,Maxim Integrated,IC RF DETECT 800MHZ-2GHZ 4UCSP,0,0,"Obsolete","0","1","Cut Tape (CT)","-","Obsolete","800MHz ~ 2GHz","Cellular, GSM, EDGE","-25dB ~ 15dB","±0.3dB","2.7V ~ 5V","3.5mA","4-WFBGA, CSPBGA","4-UCSP (1.05x1.05)"
https://datasheets.maximintegrated.com/en/ds/MAX2205-MAX2208.pdf,//media.digikey.com/renders/Maxim%20Renders/4-UCSP_21-0117G.jpg,MAX2206EBS+DKR-ND,MAX2206EBS+T,Maxim Integrated,IC RF DETECT 800MHZ-2GHZ 4UCSP,0,0,"Digi-Reel","0","1","Digi-Reel®","-","Obsolete","800MHz ~ 2GHz","Cellular, GSM, EDGE","-25dB ~ 15dB","±0.3dB","2.7V ~ 5V","3.5mA","4-WFBGA, CSPBGA","4-UCSP (1.05x1.05)"
