Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Frequency","For Use With/Related Products","Supplied Contents"
"//media.digikey.com/pdf/Data%20Sheets/Austriamicrosystems%20PDFs/AS3990,91.pdf",//media.digikey.com/Photos/Austria%20Microsystems/AS3991-DK%20MICRO.jpg,AS3991-DKMICRO-ND,AS3991-DK MICRO,ams,BOARD DEMO MICRO AS3991,0,0,"Active","0","1","-","Active","RFID Reader","-","AS3991","Board(s)"
"//media.digikey.com/pdf/Data%20Sheets/Austriamicrosystems%20PDFs/AS3990,91.pdf",//media.digikey.com/Photos/Austria%20Microsystems/AS3991-DK%20PICO.jpg,AS3991-DKPICO-ND,AS3991-DK PICO,ams,BOARD DEMO PICO AS3991,0,0,"Active","0","1","-","Active","RFID Reader","-","AS3991","Board(s)"
//media.digikey.com/pdf/Data%20Sheets/Austriamicrosystems%20PDFs/AS3992.pdf,//media.digikey.com/Photos/Austria%20Microsystems/AS3992-DK%20MICRO.jpg,AS3992-DKMICRO-ND,AS3992-DK MICRO,ams,BOARD DEMO MICRO AS3992,0,0,"Active","0","1","-","Active","RFID Reader","-","AS3992","Board(s)"
//media.digikey.com/pdf/Data%20Sheets/Austriamicrosystems%20PDFs/AS3992.pdf,//media.digikey.com/Photos/AMS-Taos%20USA%20Photos/AS3992-DK%20PICO.JPG,AS3992-DKPICO-ND,AS3992-DK PICO,ams,BOARD DEMO PICO AS3992,0,0,"Active","0","1","-","Active","RFID Reader","-","AS3992","Board(s)"
-,//media.digikey.com/Photos/Melexis%20Photos/DVK90130.jpg,DVK90130-ND,DVK90130,Melexis Technologies NV,BOARD EVAL FOR MLX90130,0,0,"Obsolete","0","1","-","Obsolete","RFID Reader","13.56MHz","MLX90130","Board(s)"
-,-,MAX66903-K00-ND,MAX66903-K00,Maxim Integrated,KIT ISO 15693 DEVELOPERS KIT,0,0,"Obsolete","0","1","-","Obsolete","RFID Reader","13.56MHz","MAX66100, MAX66120, MAX66140","Board(s), Cable(s)"
//media.digikey.com/pdf/Data%20Sheets/Texas%20Instruments%20PDFs/RF430CL330H.pdf,//media.digikey.com/Photos/Texas%20Instr%20Photos/RF430CL330HTB.JPG,296-36203-ND,RF430CL330HTB,Texas Instruments,RF430CL330H NFC DYNAMIC TAG TARG,0,0,"Obsolete","0","1","-","Obsolete","Near Field Communication (NFC)","13.56MHz","RF430CL330H","Board(s)"
//media.digikey.com/pdf/Data%20Sheets/Atmel%20PDFs/ATA2270-EK2_AN.pdf,//media.digikey.com/Photos/Atmel%20Photos/ATA2270-U2.JPG,ATA2270-U2-ND,ATA2270-U2,Microchip Technology,DAUGHTER BOARD LF RFID READER,0,0,"Obsolete","0","6","-","Obsolete","Read/Write","125kHz, 134.2kHz","ATA2270-EK2","Board(s)"
http://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-9333-RFID-ATA5577M1330C-PPMY_Datasheet.pdf,//media.digikey.com/Photos/Atmel%20Photos/ATA2270-EK2.jpg,ATA2270-EK2-ND,ATA2270-EK2,Microchip Technology,KIT EVAL LF RFID READER,0,0,"Active","0","0","-","Active","Read/Write","125kHz, 134.2kHz","ATA55xx, ATA6286, e5530, T55xx, TK55xx","Board(s), Cable(s), Power Supply, Accessories"
http://datasheets.bluetechnix.at/goto/NFC/NFC_Adapter/NFC_Adapter_QSG_V1.pdf,//media.digikey.com/Photos/Bluetechnix/100-3601-1.jpg,978-1025-ND,100-3601-1,Bluetechnix GmbH,KIT NFC ADAPTER READER/WRITER,0,0,"Obsolete","0","10","-","Obsolete","Near Field Communication (NFC)","13.56MHz","NFC Cards","Board(s), Accessories"
http://datasheets.bluetechnix.at/goto/NFC/NFC_Adapter-Programmable/NFC_Adapter-Programmable_HUM_V1.pdf,//media.digikey.com/photos/Bluetechnix/100-3600-1.jpg,978-1022-ND,100-3600-1,Bluetechnix GmbH,KIT NFC ADAPTER PROGRAMMABLE,0,0,"Obsolete","0","10","-","Obsolete","Near Field Communication (NFC)","13.56MHz","NFC Cards","Board(s), Accessories"
http://www.st.com/content/ccc/resource/technical/document/data_brief/7b/25/0f/c3/3e/62/4f/f9/DM00100335.pdf/files/DM00100335.pdf/jcr:content/translations/en.DM00100335.pdf,//media.digikey.com/photos/STMicro%20Photos/MATRIX-M24SR.jpg,497-14340-ND,MATRIX-M24SR,STMicroelectronics,KIT EVAL MATRIX ANTENNA,0,0,"Active","0","1","-","Active","Antenna","13.56MHz","M24SR","Board(s)"
http://www.st.com/content/ccc/resource/technical/document/data_brief/db/a5/48/65/b3/46/41/c4/DM00102423.pdf/files/DM00102423.pdf/jcr:content/translations/en.DM00102423.pdf,-,M24SR-DISCOVERY-ND,M24SR-DISCOVERY,STMicroelectronics,DEMO KIT,0,0,"Obsolete","0","1","-","Obsolete","Read/Write","13.56MHz","M24SR","Board(s)"
http://www.st.com/content/ccc/resource/technical/document/data_brief/e2/c0/0a/f2/78/19/4e/e2/DM00080473.pdf/files/DM00080473.pdf/jcr:content/translations/en.DM00080473.pdf,//media.digikey.com/photos/STMicro%20Photos/ANT3-M24LR04E.jpg,497-14587-ND,ANT3-M24LR04E,STMicroelectronics,ANTENNA REFERENCE BOARD M24LR,0,0,"Discontinued at Digi-Key","0","0","-","Discontinued at Digi-Key","Antenna","13.56MHz","M24LR04E-R","Board(s)"
-,-,SL13A-DK-STQFN16-ND,SL13A-DK-STQFN16,ams,DEMO KIT SL13A,0,0,"Obsolete","0","1","-","Obsolete","Data Logger","-","SL13A","Board(s)"
//media.digikey.com/pdf/Data%20Sheets/Texas%20Instruments%20PDFs/TMS3705_Rev2018.pdf,-,296-48329-ND,RI-ACC-ADR2-10,Texas Instruments,KIT DEMO READER LOW FREQUENCY,0,0,"Obsolete","0","1","-","Obsolete","RFID Reader","-","-","Board(s), Cable(s)"
https://ams.com/documents/20143/36005/SL900A_DS000294_5-00.pdf,//media.digikey.com/photos/AMS-Taos%20USA%20Photos/SL900A-DK-STQFN16.jpg,SL900A-DK-STQFN16-ND,SL900A-DK-STQFN16,ams,BOARD DEMO FOR SL900A,0,0,"Obsolete","0","1","-","Obsolete","Data Logger","860MHz ~ 960MHz","SL900A","Board(s)"
-,-,ATA2270-U3-ND,ATA2270-U3,Microchip Technology,KIT RFID IDIC UPGRADE 125/134KHZ,0,0,"Active","0","0","-","Active","Read/Write","125kHz, 134.2kHz","-","Board(s)"
https://ams.com/documents/20143/36005/AS39513_DS000576_2-00.pdf,-,AS39513-QF_DK_ST-ND,AS39513-QF_DK_ST,ams,AS39513 DEMO KIT,0,0,"Obsolete","0","1","-","Obsolete","Near Field Communication (NFC)","13.56MHz","AS39513","Board(s)"
https://ams.com/documents/20143/36005/AS3956_UG000361_1-00.pdf,//media.digikey.com/Photos/Austria%20Microsystems/AS3956-WL_DK_ST.jpg,AS3956-WL_DK_ST-ND,AS3956-WL_DK_ST,ams,EVAL BOARD FOR AS3956,0,0,"Obsolete","0","1","-","Obsolete","Active Tag","13.56MHz","AS3956","Board(s), Cable(s)"
//media.digikey.com/pdf/Data%20Sheets/NXP%20PDFs/HTEV800.pdf,-,568-2205-ND,"HTEV800,122",NXP USA Inc.,KIT EVAL RFID LR 125KHZ HITAG,0,0,"Obsolete","0","1","HITAG™","Obsolete","Read/Write","125kHz","HITAG™ Transponders","Board(s), Cable(s), Power Supply"
https://www.nxp.com/docs/en/data-sheet/066120.pdf,"//media.digikey.com/photos/NXP%20Semi%20Photos/MFEV700^HAB,122.jpg",568-2221-ND,"MFEV700/HAB,122",NXP USA Inc.,KIT EVAL MIFARE RFID 13.56MHZ,0,0,"Obsolete","0","1","MIFARE®","Obsolete","RFID Reader","13.56MHz","MFRD700","Board(s)"
https://www.nxp.com/docs/en/data-sheet/065210.pdf,//media.digikey.com/photos/NXP%20Semi%20Photos/SLEV400^HAB.jpg,568-2230-ND,"SLEV400/HAB,122",NXP USA Inc.,KIT EVAL I.CODE RFID 13.56MHZ,0,0,"Obsolete","0","2","ICODE","Obsolete","Read/Write","13.56MHz","SLRC400","Board(s)"
//media.digikey.com/pdf/Data%20Sheets/NXP%20PDFs/slev900_2.pdf,-,568-2231-ND,SLEV900/AFB,NXP USA Inc.,KIT EVAL I.CODE RFID 13.56MHZ,0,0,"Obsolete","0","1","ICODE","Obsolete","Read/Write","13.56MHz","ICODE Transponders","Board(s), Cable(s)"
