Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Insertion Loss","Frequency","Specifications","Size / Dimension","Package / Case"
https://cdn.macom.com/datasheets/MAPD-011020.pdf,//media.digikey.com/Photos/MACom%20Technology%20Solutions/MFG_MAPD-011020.jpg,1465-1846-2-ND,MAPD-011020,M/A-Com Technology Solutions,RF POWER DVDR 5MHZ-1.2GHZ 6SMD,900,6300,"2.57600","0","900","Tape & Reel (TR)","-","Active","1.2dB","5MHz ~ 1.2GHz","Isolation (Typ) 32.3dB, 32.1dB Return Loss, 4.7° Imbalance (Max)","0.319"" L x 0.250"" W x 0.200"" H (8.10mm x 6.35mm x 5.08mm)","6-SMD Module"
https://cdn.macom.com/datasheets/MAPD-011020.pdf,//media.digikey.com/Photos/MACom%20Technology%20Solutions/MFG_MAPD-011020.jpg,1465-1846-1-ND,MAPD-011020,M/A-Com Technology Solutions,RF POWER DVDR 5MHZ-1.2GHZ 6SMD,1798,6300,"5.14000","0","1","Cut Tape (CT)","-","Active","1.2dB","5MHz ~ 1.2GHz","Isolation (Typ) 32.3dB, 32.1dB Return Loss, 4.7° Imbalance (Max)","0.319"" L x 0.250"" W x 0.200"" H (8.10mm x 6.35mm x 5.08mm)","6-SMD Module"
https://cdn.macom.com/datasheets/MAPD-011020.pdf,//media.digikey.com/Photos/MACom%20Technology%20Solutions/MFG_MAPD-011020.jpg,1465-1846-6-ND,MAPD-011020,M/A-Com Technology Solutions,RF POWER DVDR 5MHZ-1.2GHZ 6SMD,1798,6300,"Digi-Reel","0","1","Digi-Reel®","-","Active","1.2dB","5MHz ~ 1.2GHz","Isolation (Typ) 32.3dB, 32.1dB Return Loss, 4.7° Imbalance (Max)","0.319"" L x 0.250"" W x 0.200"" H (8.10mm x 6.35mm x 5.08mm)","6-SMD Module"
https://www.knowlescapacitors.com/getattachment/Products/Microwave-Products/Power-Dividers/PDW06399-10-GHz-2-way-Datasheet.pdf.aspx,//media.digikey.com/Photos/Knowles-Dielectric-Labs/PDW06399.JPG,1761-1068-ND,PDW06399,Knowles Dielectric Labs,RF PWR DIVIDER 9GHZ-11GHZ MODULE,360,0,"15.20000","0","1","Bulk","-","Active","0.25dB","9GHz ~ 11GHz","Isolation (Min) 14dB, 20dB Return Loss, 5° Imbalance (Max)","0.150"" L x 0.100"" W x 0.015"" H (3.81mm x 2.54mm x 0.38mm)","Module"
//media.digikey.com/pdf/Data%20Sheets/Knowles%20Dielectric%20Labs%20PDFs/PDW07069_DS.pdf,//media.digikey.com/Photos/Knowles-Dielectric-Labs/PDW07069.jpg,1761-1073-ND,PDW07069,Knowles Dielectric Labs,RF POWER DVDR 25GHZ-45GHZ MODULE,219,0,"60.52000","0","1","Bulk","-","Active","1dB","25GHz ~ 45GHz","Isolation (Min) 10dB, 14dB Return Loss, 6° Imbalance (Max)","0.170"" L x 0.140"" W x 0.010"" H (4.32mm x 3.56mm x 0.25mm)","Module"
https://nardamiteq.com/docs/138-POWERDIVIDERS.PDF,//media.digikey.com/Photos/L3-Narda-MITEQ/4326B-2.JPG,1949-1022-ND,4326B-2,L3 Narda-MITEQ,RF PWR DIVIDER 5GHZ-18GHZ MODULE,48,0,"896.10000","0","1","-","-","Active","0.6dB","5GHz ~ 18GHz","Isolation (Min) 19dB","0.750"" L x 1.000"" W x 0.375"" H (19.05mm x 25.40mm x 9.52mm)","Module"
https://nardamiteq.com/docs/138-POWERDIVIDERS.PDF,//media.digikey.com/Photos/L3-Narda-MITEQ/MFG_4326B-4.JPG,1949-1023-ND,4326B-4,L3 Narda-MITEQ,RF PWR DIVIDER 5GHZ-18GHZ MODULE,47,0,"1299.20000","0","1","-","-","Active","0.9dB","5GHz ~ 18GHz","Isolation (Min) 19dB","1.940"" L x 1.418"" W x 0.380"" H (49.27mm x 36.01mm x 9.64mm)","Module"
//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Electronic%20Components/EHFFD_Series.pdf,//media.digikey.com/photos/Panasonic%20Photos/EHF-FD1503.JPG,P10717TR-ND,EHF-FD1503,Panasonic Electronic Components,RF POWER DIVIDER 1.54GHZ-1.64GHZ,4000,0,"0.69000","0","4000","Tape & Reel (TR)","-","Obsolete","4dB","1.54GHz ~ 1.64GHz","-","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Electronic%20Components/EHFFD_Series.pdf,//media.digikey.com/photos/Panasonic%20Photos/EHF-FD1503.JPG,P10717CT-ND,EHF-FD1503,Panasonic Electronic Components,RF POWER DIVIDER 1.54GHZ-1.64GHZ,6995,0,"1.02000","0","1","Cut Tape (CT)","-","Obsolete","4dB","1.54GHz ~ 1.64GHz","-","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","-"
https://cdn.anaren.com/product-documents/Xinger/PowerDividers/PD0409J7575S2HF/PD0409J7575S2HF_DataSheet(Rev_A).pdf,//media.digikey.com/Renders/Anaren%20Renders/0805%20(2012%20Metric).jpg,1173-1092-2-ND,PD0409J7575S2HF,Anaren,RF POWER DVDR 400MHZ-900MHZ 0805,0,0,"0.36000","0","4000","Tape & Reel (TR)","Xinger®","Active","0.5dB","400MHz ~ 900MHz","Isolation (Min) 8.2dB, 12dB Return Loss","0.079"" L x 0.050"" W (2.00mm x 1.27mm)","0805 (2012 Metric)"
